Country,Year,Employment by industry: Agriculture (%) Male
Afghanistan,2010.0,1.5028978741021057
Afghanistan,2015.0,0.9751019815735485
Albania,2010.0,0.6712194979965007
Albania,2015.0,0.8045012890390656
Angola,2015.0,1.5348855039523213
Argentina,2010.0,-0.4483475467610451
Argentina,2015.0,-0.5389791646699892
Armenia,2010.0,0.5379377069539355
Armenia,2015.0,0.5112813487454225
Australia,2010.0,-1.1414128601823827
Australia,2015.0,-0.9761434392896022
Austria,2010.0,-0.8641867348138476
Austria,2015.0,-0.8961743646640633
Azerbaijan,2010.0,0.569925336804151
Azerbaijan,2015.0,0.5006188054620174
Bahamas,2015.0,-0.8641867348138476
Bahrain,2015.0,-1.0774376004819517
Bangladesh,2015.0,0.8098325606807679
Barbados,2010.0,-0.9441558094393867
Barbados,2015.0,-0.9281619945142789
Belarus,2010.0,-0.4003661019857217
Belarus,2015.0,-0.5496417079533944
Belgium,2010.0,-1.061443785556844
Belgium,2015.0,-1.0667750571985464
Belize,2010.0,0.21806140845177965
Belize,2015.0,0.2287239517351848
Bhutan,2010.0,1.3269659099259201
Bhutan,2015.0,1.6415109367863734
Bolivia (Plurin. State of),2010.0,0.4952875338203147
Bolivia (Plurin. State of),2015.0,0.3939933726279654
Brazil,2010.0,-0.2830781258682645
Brazil,2015.0,-0.4216911885525321
Bulgaria,2010.0,-0.714911128846175
Bulgaria,2015.0,-0.6669296840708516
Burundi,2010.0,3.1769171695967215
Burundi,2015.0,3.0116477487039406
Cabo Verde,2010.0,-0.027177087066539735
Cabo Verde,2015.0,-0.11780870497548405
Cambodia,2010.0,1.710817468128507
Cameroon,2010.0,1.4975666024604033
Cameroon,2015.0,1.076396142765898
Canada,2010.0,-1.0241248840649257
Canada,2015.0,-1.0347874273483308
Chile,2010.0,-0.3950348303440191
Chile,2015.0,-0.4963289915363684
China,2010.0,0.9751019815735485
China,2015.0,0.5272751636705304
Colombia,2010.0,0.24471776666029266
Colombia,2015.0,0.04212944427559389
Costa Rica,2010.0,-0.2297654094512385
Costa Rica,2015.0,-0.09115234676697107
Croatia,2010.0,-0.4483475467610451
Croatia,2015.0,-0.5762980661619074
Cuba,2010.0,0.17541123531815883
Cyprus,2010.0,-0.8908430930223605
Cyprus,2015.0,-0.8481929198887399
Czechia,2010.0,-1.1414128601823827
Czechia,2015.0,-0.9441558094393867
Denmark,2010.0,-1.1414128601823827
Denmark,2015.0,-0.9494870810810893
Dominican Republic,2015.0,-0.3683784721355061
Ecuador,2010.0,0.5645940651624487
Ecuador,2015.0,0.36733701441945243
El Salvador,2010.0,0.5539315218790434
El Salvador,2015.0,0.36733701441945243
Estonia,2010.0,-0.8481929198887399
Estonia,2015.0,-0.874849278097253
Eswatini,2010.0,-0.251090496018049
Eswatini,2015.0,-0.34172211392699314
Finland,2010.0,-1.13608158854068
Finland,2015.0,-0.8268678333219296
France,2010.0,-0.9441558094393867
France,2015.0,-0.9548183527227919
Georgia,2010.0,1.3216346382842175
Germany,2010.0,-1.1467441318240854
Germany,2015.0,-1.0561125139151413
Ghana,2015.0,1.0817274144076006
Greece,2010.0,-0.4963289915363684
Greece,2015.0,-0.44301627511934244
Guatemala,2010.0,1.1883528472416525
Guatemala,2015.0,1.1190463158995188
Guyana,2010.0,0.2553803099436978
Honduras,2015.0,1.0124208830654668
Hungary,2010.0,-0.8055427467551192
Hungary,2015.0,-0.7895489318300113
Iceland,2010.0,-0.688254770637662
Iceland,2015.0,-0.8055427467551192
India,2010.0,1.3429597248510277
India,2015.0,1.076396142765898
Indonesia,2010.0,0.9591081666484409
Indonesia,2015.0,0.623238053221177
Ireland,2010.0,-0.6669296840708516
Ireland,2015.0,-0.6989173139210672
Israel,2010.0,-1.0241248840649257
Israel,2015.0,-1.0774376004819517
Italy,2010.0,-0.9121681795891711
Italy,2015.0,-0.901505636305766
Jamaica,2010.0,0.18074250695986152
Jamaica,2015.0,0.18607377860156418
Japan,2015.0,-0.9494870810810893
Kazakhstan,2010.0,0.3993246442696681
Kazakhstan,2015.0,-0.14446506318399704
Kenya,2015.0,0.596581695012664
Kyrgyzstan,2010.0,0.5805878800875564
Kyrgyzstan,2015.0,0.3140242980024265
Latvia,2010.0,-0.5229853497448814
Latvia,2015.0,-0.5709667945202048
Lebanon,2010.0,-0.9068369079474686
Lithuania,2010.0,-0.5443104363116918
Lithuania,2015.0,-0.5336478930282866
Luxembourg,2010.0,-1.0774376004819517
Luxembourg,2015.0,-1.0827688721236541
Madagascar,2015.0,2.8996910442281862
Malawi,2010.0,2.201294459165146
Malaysia,2010.0,-0.30973448407677745
Malaysia,2015.0,-0.3363908422852905
Maldives,2010.0,-0.2724155825848593
Maldives,2015.0,-0.5976231527287178
Malta,2010.0,-1.061443785556844
Malta,2015.0,-1.1467441318240854
