Country,Year,Employment by industry: Agriculture (%) Male and Female
Afghanistan,2010.0,1.5928444668291937
Afghanistan,2015.0,1.1496262569176103
Albania,2010.0,1.022992482657158
Albania,2015.0,0.9840282444231723
Angola,2015.0,1.797406717557617
Argentina,2010.0,-0.564800225377746
Argentina,2015.0,-0.623246582728724
Armenia,2010.0,0.8525239403834719
Armenia,2015.0,0.691796457668282
Australia,2010.0,-0.8716436014703808
Australia,2015.0,-0.9008667801458697
Austria,2010.0,-0.7742330058854174
Austria,2015.0,-0.8083267143401546
Azerbaijan,2010.0,0.8330418212664792
Azerbaijan,2015.0,0.745372285240012
Bahamas,2015.0,-0.8521614823533881
Bahrain,2015.0,-0.9739247268345923
Bangladesh,2015.0,1.0911798995666322
Barbados,2010.0,-0.8862551908081253
Barbados,2015.0,-0.8862551908081253
Belarus,2010.0,-0.41868433200030086
Belarus,2015.0,-0.5550591658192497
Belgium,2010.0,-0.9593131374968479
Belgium,2015.0,-0.9690541970553442
Belize,2010.0,-0.1459346643624032
Belize,2015.0,-0.1459346643624032
Bhutan,2010.0,1.6366792348424275
Bhutan,2015.0,1.797406717557617
Bolivia (Plurin. State of),2010.0,0.5164573856153479
Bolivia (Plurin. State of),2015.0,0.41904679003038453
Brazil,2010.0,-0.42355486177954904
Brazil,2015.0,-1.0080184352893296
Bulgaria,2010.0,-0.6963045294174466
Bulgaria,2015.0,-0.6914339996381984
Burundi,2010.0,3.278047770449062
Burundi,2015.0,3.175766645084849
Cabo Verde,2010.0,-0.165416783479396
Cabo Verde,2015.0,-0.26282737906435943
Cambodia,2010.0,1.6415497646216755
Cameroon,2010.0,1.6512908241801718
Cameroon,2015.0,1.2470368525025737
Canada,2010.0,-0.9398310183798552
Canada,2015.0,-0.9495720779383514
Chile,2010.0,-0.506353868026768
Chile,2015.0,-0.5794118147154905
China,2010.0,0.7599838745777566
China,2015.0,0.36547096245865474
Colombia,2010.0,-0.13132307502465884
Colombia,2015.0,-0.24821578972661487
Costa Rica,2010.0,-0.42355486177954904
Costa Rica,2015.0,-0.28230949818135204
Croatia,2010.0,-0.33101479597383376
Croatia,2015.0,-0.5794118147154905
Cuba,2010.0,-0.12158201546616236
Cyprus,2010.0,-0.8424204227948917
Cyprus,2015.0,-1.017759494847826
Czechia,2010.0,-0.8765141312496288
Czechia,2015.0,-0.8862551908081253
Denmark,2010.0,-0.905737309925118
Denmark,2015.0,-0.905737309925118
Dominican Republic,2015.0,-0.5550591658192497
Ecuador,2010.0,0.33137725400391743
Ecuador,2015.0,0.24857824775669854
El Salvador,2010.0,-0.01443036032270263
El Salvador,2015.0,-0.1459346643624032
Estonia,2010.0,-0.8229383036778991
Estonia,2015.0,-0.8375498930156436
Eswatini,2010.0,-0.28230949818135204
Eswatini,2015.0,-0.36997903420781914
Finland,2010.0,-0.8131972441194028
Finland,2015.0,-0.8229383036778991
France,2010.0,-0.8862551908081253
France,2015.0,-0.8959962503666217
Georgia,2010.0,1.3152242694120482
Germany,2010.0,-0.9495720779383514
Germany,2015.0,-0.9593131374968479
Ghana,2015.0,0.6869259278890341
Greece,2010.0,-0.42355486177954904
Greece,2015.0,-0.39920221288330815
Guatemala,2010.0,0.604126921641815
Guatemala,2015.0,0.5261984451738443
Guyana,2010.0,-0.04365353899819173
Honduras,2015.0,0.3703414922379028
