Country,Year,Employment by industry: Industry (%) Male
Afghanistan,2010.0,-1.183712819535139
Afghanistan,2015.0,-1.0929682251925814
Albania,2010.0,0.12704243207958027
Albania,2015.0,-0.43759059938522166
Angola,2015.0,-1.2139610176493247
Argentina,2010.0,0.32869708617415244
Argentina,2015.0,0.5001035421545388
Armenia,2010.0,-0.6392452534797938
Armenia,2015.0,-0.3367632723379355
Australia,2010.0,-0.7400725805270799
Australia,2015.0,0.4093589478119814
Austria,2010.0,0.8227509887058545
Austria,2015.0,1.1554811679618984
Azerbaijan,2010.0,-0.5585833918419653
Azerbaijan,2015.0,-0.7602380459365374
Bahamas,2015.0,-0.6594107188892513
Bahrain,2015.0,1.5789559415605003
Bangladesh,2015.0,-0.46783879749940754
Barbados,2010.0,0.2883661553552382
Barbados,2015.0,0.2782834226505094
Belarus,2010.0,1.4075494855801136
Belarus,2015.0,1.326887623942285
Belgium,2010.0,0.802585523296397
Belgium,2015.0,0.6412618000207392
Belize,2010.0,-0.6795761842987085
Belize,2015.0,-0.6896589170034368
Bhutan,2010.0,-2.091158762960714
Bhutan,2015.0,-1.6676839893621118
Bolivia (Plurin. State of),2010.0,-0.22585321258592106
Bolivia (Plurin. State of),2015.0,0.268200689945781
Brazil,2010.0,0.3791107496977955
Brazil,2015.0,0.39927621510725264
Bulgaria,2010.0,1.4377976836942998
Bulgaria,2015.0,0.9941574446862405
Burundi,2010.0,-2.131489693779628
Burundi,2015.0,-2.040745099437071
Cabo Verde,2010.0,-0.29643234151902126
Cabo Verde,2015.0,-0.19560501447173514
Cambodia,2010.0,-0.9921408981452952
Cameroon,2010.0,-2.2020688227127287
Cameroon,2015.0,-0.9114790365074665
Canada,2010.0,0.4295244132214386
Canada,2015.0,0.3791107496977955
Chile,2010.0,0.46985534404035323
Chile,2015.0,0.01613237232756579
China,2010.0,0.2480352245363235
China,2015.0,0.45977261133562447
Colombia,2010.0,-1.2240437503540533
Colombia,2015.0,-0.42750786668049323
Costa Rica,2010.0,-0.2056877471764639
Costa Rica,2015.0,-0.1855222817670064
Croatia,2010.0,1.1655639006666272
Croatia,2015.0,1.0344883755051555
Cuba,2010.0,-1.647518523952655
Cyprus,2010.0,0.32869708617415244
Cyprus,2015.0,-0.16535681635754926
Czechia,2010.0,2.274664498186774
Czechia,2015.0,2.2847472308915027
Denmark,2010.0,0.31861435346942407
Denmark,2015.0,0.15729063019376618
Dominican Republic,2015.0,-0.42750786668049323
Ecuador,2010.0,-0.3367632723379355
Ecuador,2015.0,-0.12502588553863495
El Salvador,2010.0,-1.1635473541256816
El Salvador,2015.0,-0.23593594529064946
Estonia,2010.0,1.6797832686077863
Estonia,2015.0,1.689866001312515
Eswatini,2010.0,-1.1332991560114958
Eswatini,2015.0,-0.0846949547197203
Finland,2010.0,0.9538265138673262
Finland,2015.0,0.5706826710876393
France,2010.0,0.6715099981349254
France,2015.0,0.39927621510725264
Georgia,2010.0,-1.022389096259481
Germany,2010.0,1.3974667528753848
Germany,2015.0,0.2883661553552382
Ghana,2015.0,-1.10305095789731
Greece,2010.0,0.11695969937485189
Greece,2015.0,-0.6493279861845226
Guatemala,2010.0,-0.6493279861845226
Guatemala,2015.0,-0.7098243824128944
Guyana,2010.0,0.4295244132214386
Honduras,2015.0,-1.6273530585431977
Hungary,2010.0,1.3873840201706569
Hungary,2015.0,1.3672185547611992
Iceland,2010.0,0.1774560956032233
Iceland,2015.0,-0.07461222201499192
India,2010.0,-0.2762668761095641
India,2015.0,-0.01411582578662011
Indonesia,2010.0,-0.5585833918419653
Indonesia,2015.0,-0.04436402390080601
Ireland,2010.0,-0.01411582578662011
Ireland,2015.0,-0.024198558491348863
Israel,2010.0,0.23795249183159511
Israel,2015.0,-0.04436402390080601
Italy,2010.0,1.2159775641902701
Italy,2015.0,0.9840747119815124
Jamaica,2010.0,-0.36701147045212146
Jamaica,2015.0,-0.4577560647946791
Japan,2015.0,0.6815927308396541
Kazakhstan,2010.0,-0.09477768742444906
Kazakhstan,2015.0,0.2480352245363235
Kenya,2015.0,-0.790486244050723
Kyrgyzstan,2010.0,-0.49808699561359343
Kyrgyzstan,2015.0,0.12704243207958027
Latvia,2010.0,0.7118409289538397
Latvia,2015.0,0.8328337214105833
Lebanon,2010.0,0.11695969937485189
Lithuania,2010.0,0.701758196249111
Lithuania,2015.0,0.7622545924774827
Luxembourg,2010.0,-0.6594107188892513
Luxembourg,2015.0,-0.7199071151176227
Madagascar,2015.0,-1.7886767818188556
Malawi,2010.0,-2.081076030255985
Malaysia,2010.0,0.32869708617415244
Malaysia,2015.0,0.6210963346112823
Maldives,2010.0,-1.0123063635547527
Maldives,2015.0,-1.0022236308500239
Malta,2010.0,0.5706826710876393
Malta,2015.0,0.10687696667012313
Mauritius,2010.0,0.5303517402687247
Mauritius,2015.0,0.38919348240252427
Mexico,2010.0,0.2782834226505094
Mexico,2015.0,0.3791107496977955
Mongolia,2010.0,-0.6190797880703367
Mongolia,2015.0,0.006049639622837037
Morocco,2015.0,-0.1149431528339062
Mozambique,2010.0,-1.6273530585431977
Namibia,2010.0,-0.7400725805270799
Nepal,2010.0,-1.6777667220668406
Nepal,2015.0,-0.7703207786412658
Netherlands (Kingdom of the),2010.0,0.04638057044175133
Netherlands (Kingdom of the),2015.0,-0.9820581654405668
New Zealand,2010.0,0.4396071459261673
New Zealand,2015.0,0.6210963346112823
Nicaragua,2010.0,-1.4761120679722686
Nicaragua,2015.0,-0.6190797880703367
Norway,2010.0,0.4799380767450816
Norway,2015.0,0.5605999383829106
Oman,2015.0,1.5083768126273998
Pakistan,2010.0,-0.23593594529064946
Pakistan,2015.0,0.01613237232756579
Panama,2015.0,-0.19560501447173514
Paraguay,2010.0,-0.0846949547197203
Paraguay,2015.0,-1.072802759783124
Peru,2010.0,-0.3165978069284784
Peru,2015.0,-0.2460186779953782
Philippines,2015.0,-0.6190797880703367
Poland,2010.0,1.548707743446314
Poland,2015.0,1.5688732088557715
Portugal,2010.0,1.115150237142984
Portugal,2015.0,0.46985534404035323
Qatar,2010.0,3.6862470768487796
Qatar,2015.0,3.5350060862778507
Republic of Korea,2010.0,0.49002080944981036
Republic of Korea,2015.0,0.7320063943632972
Republic of Moldova,2010.0,-0.15527408365282086
Republic of Moldova,2015.0,-0.36701147045212146
Romania,2010.0,0.8630819195247689
Romania,2015.0,0.46985534404035323
Russian Federation,2015.0,1.1554811679618984
Rwanda,2010.0,-1.768511316409398
Rwanda,2015.0,-1.0425545616689382
Saint Lucia,2010.0,0.18753882830795207
