Country,Year,Employment by industry: Industry (%) Male and Female
Afghanistan,2010.0,-0.6472472925889523
Afghanistan,2015.0,0.05243064660636741
Albania,2010.0,0.03947364773238028
Albania,2015.0,-0.21966632974736783
Angola,2015.0,-1.593108210390033
Argentina,2010.0,-0.8545592745727509
Argentina,2015.0,0.24678562971617848
Armenia,2010.0,-0.3881073151092042
Armenia,2015.0,-0.5824622982190153
Australia,2010.0,-0.28445132411730484
Australia,2015.0,-0.03826834551154434
Austria,2010.0,0.5836676004398512
Austria,2015.0,0.7132375891797252
Azerbaijan,2010.0,-0.8675162734467383
Azerbaijan,2015.0,-0.8156882779507887
Bahamas,2015.0,-1.1266562509264864
Bahrain,2015.0,1.918238484460554
Bangladesh,2015.0,0.026516648858392694
Barbados,2010.0,-0.14192433650344366
Barbados,2015.0,-0.11601033875546896
Belarus,2010.0,1.5424855171149194
Belarus,2015.0,1.399958529501058
Belgium,2010.0,0.38931261733004013
Belgium,2015.0,0.14312963872427917
Belize,2010.0,-0.5824622982190153
Belize,2015.0,-0.6342902937149649
Bhutan,2010.0,-1.8263341901218064
Bhutan,2015.0,-1.3728392295322471
Bolivia (Plurin. State of),2010.0,-0.1678383342514184
Bolivia (Plurin. State of),2015.0,0.07834464435434213
Brazil,2010.0,0.35044162070807783
Brazil,2015.0,0.29861362521212836
Bulgaria,2010.0,1.6331845092328308
Bulgaria,2015.0,1.2444745430132087
Burundi,2010.0,-2.2409581540894035
Burundi,2015.0,-2.176173159719466
Cabo Verde,2010.0,-0.31036532186528004
Cabo Verde,2015.0,-0.1937523319993931
Cambodia,2010.0,-0.5565483004710405
Cameroon,2010.0,-1.048914257682562
Cameroon,2015.0,-0.7768172813288263
Canada,2010.0,-0.025311346637556745
Canada,2015.0,-0.06418234325951905
Chile,2010.0,-0.6472472925889523
Chile,2015.0,0.4411406128259896
China,2010.0,1.08899055652536
China,2015.0,1.153775550895297
Colombia,2010.0,-0.03826834551154434
Colombia,2015.0,-0.06418234325951905
Costa Rica,2010.0,-0.33627931961325475
Costa Rica,2015.0,-0.1678383342514184
Croatia,2010.0,0.9205495711635234
Croatia,2015.0,0.8298505790456118
Cuba,2010.0,-0.4269783117311665
Cyprus,2010.0,-1.3469252317842721
Cyprus,2015.0,-0.5176773038490783
Czechia,2010.0,2.2939914518061886
Czechia,2015.0,2.306948450680176
Denmark,2010.0,-0.7897742802028139
Denmark,2015.0,-1.6708502036339574
Dominican Republic,2015.0,-0.245580327495343
Ecuador,2010.0,-0.36219331736122945
Ecuador,2015.0,-1.4376242239021841
El Salvador,2010.0,0.14312963872427917
El Salvador,2015.0,0.23382863084219135
Estonia,2010.0,1.2963025385091584
Estonia,2015.0,1.348130534005108
Eswatini,2010.0,0.5966245993138384
Eswatini,2015.0,0.5577536026918765
Finland,2010.0,0.4022696162040273
Finland,2015.0,0.18200063534624147
France,2010.0,0.25974262859016606
France,2015.0,0.0006026511104179739
Georgia,2010.0,-1.2562262396663604
Germany,2010.0,1.0501195599033974
Germany,2015.0,0.9594205677854858
Ghana,2015.0,-0.2067093308733807
Greece,2010.0,-0.09009634100749377
Greece,2015.0,-1.178484246422436
Guatemala,2010.0,0.22087163196820378
Guatemala,2015.0,-0.18079533312540597
Guyana,2010.0,0.45409761169997714
Honduras,2015.0,0.20791463309421618
Hungary,2010.0,1.348130534005108
Hungary,2015.0,1.2963025385091584
Iceland,2010.0,-0.2326233286213554
Iceland,2015.0,-0.31036532186528004
India,2010.0,0.065387645480355
India,2015.0,0.5577536026918765
Indonesia,2010.0,-0.21966632974736783
Indonesia,2015.0,0.23382863084219135
Ireland,2010.0,-0.28445132411730484
Ireland,2015.0,-0.28445132411730484
Israel,2010.0,-0.07713934213350664
Israel,2015.0,-1.087785254304524
Italy,2010.0,1.0760335576513727
Italy,2015.0,0.803936581297637
Jamaica,2010.0,-0.6861182892109146
Jamaica,2015.0,-0.6990752880849019
Japan,2015.0,0.49296860832193945
Kazakhstan,2010.0,-1.9429471799876927
Kazakhstan,2015.0,-0.9582152655646501
Kenya,2015.0,-0.8416022756987633
Kyrgyzstan,2010.0,0.1042586421023173
Kyrgyzstan,2015.0,0.07834464435434213
Latvia,2010.0,0.36339861958206543
Latvia,2015.0,-0.5695052993450279
Lebanon,2010.0,0.42818361395200244
Lithuania,2010.0,-0.31036532186528004
Lithuania,2015.0,0.37635561845605253
Luxembourg,2010.0,-0.9063872700687005
Luxembourg,2015.0,-0.9970862621866123
Madagascar,2015.0,-1.4246672250281966
Malawi,2010.0,-1.6967642013819324
Malaysia,2010.0,0.9464635689114986
Malaysia,2015.0,0.933506570037511
Maldives,2010.0,-0.3881073151092042
Maldives,2015.0,0.38931261733004013
Malta,2010.0,0.674366592557763
Malta,2015.0,-0.03826834551154434
Mauritius,2010.0,1.08899055652536
Mauritius,2015.0,0.6484525948097882
Mexico,2010.0,0.4022696162040273
Mexico,2015.0,0.6354955959358006
Mongolia,2010.0,-0.5306343027230658
Mongolia,2015.0,0.013559649984405103
Morocco,2015.0,0.23382863084219135
Mozambique,2010.0,-1.9429471799876927
Namibia,2010.0,-0.9841292633126251
Nepal,2010.0,-0.7897742802028139
Nepal,2015.0,-0.6990752880849019
Netherlands (Kingdom of the),2010.0,-1.2173552430443981
Netherlands (Kingdom of the),2015.0,-0.5176773038490783
New Zealand,2010.0,0.07834464435434213
New Zealand,2015.0,0.22087163196820378
Nicaragua,2010.0,-0.32332232073926714
Nicaragua,2015.0,-0.31036532186528004
Norway,2010.0,-0.4528923094791412
Norway,2015.0,-0.025311346637556745
Oman,2015.0,2.2032924596882766
Pakistan,2010.0,-0.7249892858328769
Pakistan,2015.0,0.35044162070807783
Panama,2015.0,-1.5671942126420582
Paraguay,2010.0,-0.14192433650344366
Paraguay,2015.0,-0.06418234325951905
Peru,2010.0,-0.37515031623521705
Peru,2015.0,-0.37515031623521705
Philippines,2015.0,-1.5153662171461086
Poland,2010.0,1.2963025385091584
Poland,2015.0,1.3222165362571332
Portugal,2010.0,0.9075925722895364
Portugal,2015.0,0.5188826060699142
Qatar,2010.0,4.678079244619871
Qatar,2015.0,3.524906344834992
Republic of Korea,2010.0,0.5836676004398512
Republic of Korea,2015.0,0.674366592557763
Republic of Moldova,2010.0,-0.2067093308733807
Republic of Moldova,2015.0,-0.4140213128571789
Romania,2010.0,1.0371625610294104
Romania,2015.0,1.0630765587773852
Russian Federation,2015.0,0.9075925722895364
Rwanda,2010.0,-1.8911191844917434
Rwanda,2015.0,-1.398753227280222
Saint Lucia,2010.0,-0.14192433650344366
Saint Lucia,2015.0,-0.43993531060515406
Saint Vincent & Grenadines,2010.0,0.05243064660636741
San Marino,2010.0,1.8145824934686543
Sao Tome and Principe,2010.0,-0.29740832299129244
Saudi Arabia,2015.0,0.45409761169997714
Senegal,2010.0,-0.27149432524331774
Senegal,2015.0,-0.245580327495343
Serbia,2010.0,0.065387645480355
Serbia,2015.0,0.5318396049439014
Sierra Leone,2015.0,-1.7615491957518694
Singapore,2010.0,0.42818361395200244
Singapore,2015.0,-0.4140213128571789
Slovakia,2010.0,2.177378461940302
Slovakia,2015.0,2.047808473200428
Slovenia,2010.0,0.8428075779195994
Slovenia,2015.0,1.5165715193669442
South Africa,2010.0,0.16904363647225434
South Africa,2015.0,0.14312963872427917
Spain,2010.0,0.3374846218340902
Spain,2015.0,-0.7897742802028139
Sri Lanka,2010.0,0.5836676004398512
Sri Lanka,2015.0,0.7132375891797252
Suriname,2015.0,0.8816785745415616
Sweden,2010.0,-0.051225344385531925
Sweden,2015.0,-0.25853732636933013
Switzerland,2010.0,0.15608663759826674
Switzerland,2015.0,-0.07713934213350664
Tajikistan,2010.0,-0.5824622982190153
Thailand,2010.0,0.05243064660636741
Thailand,2015.0,-0.29740832299129244
Timor-Leste,2010.0,-1.4246672250281966
Timor-Leste,2015.0,-1.3469252317842721
Tunisia,2010.0,1.5554425159889063
Türkiye,2010.0,0.7521085858016876
Türkiye,2015.0,0.9075925722895364
Uganda,2010.0,-1.6708502036339574
Uganda,2015.0,-1.6190222081380077
Ukraine,2010.0,0.8557645767935864
United Arab Emirates,2015.0,1.6720555058547935
United Kingdom,2010.0,-0.14192433650344366
United Kingdom,2015.0,-0.2067093308733807
United Rep. of Tanzania,2010.0,-1.8781621856177557
United Rep. of Tanzania,2015.0,-1.8004201923738314
United States of America,2015.0,-0.10305333988148137
Uruguay,2015.0,0.026516648858392694
Uzbekistan,2015.0,0.37635561845605253
Venezuela (Boliv. Rep. of),2010.0,0.20791463309421618
Viet Nam,2010.0,0.18200063534624147
Yemen,2010.0,-0.1678383342514184
Zambia,2010.0,-1.5024092182721211
Zambia,2015.0,-1.1396132498004738
