Country,Year,Employment by industry: Services (%) Female
Afghanistan,2010.0,-2.547252255127146
Afghanistan,2015.0,-2.5016578528976567
Albania,2010.0,-1.291333720987584
Albania,2015.0,-1.2084348078430585
Angola,2015.0,-1.4364068189905037
Argentina,2010.0,0.7852840532827812
Argentina,2015.0,0.8101537272261387
Armenia,2010.0,-0.8519694813215986
Armenia,2015.0,-0.6239974701741533
Australia,2010.0,0.8971975860278902
Australia,2015.0,0.9469369339146056
Austria,2010.0,0.6650806292232189
Austria,2015.0,0.669225574880445
Azerbaijan,2010.0,-0.7483458398909416
Azerbaijan,2015.0,-0.6405772528030583
Bahamas,2015.0,1.1541842167759195
Bahrain,2015.0,0.963516716543511
Bangladesh,2015.0,-1.8964957869426202
Barbados,2010.0,0.9096324229995695
Barbados,2015.0,0.8723279120845328
Belarus,2010.0,-0.09758937170641628
Belarus,2015.0,0.07649834589708747
Belgium,2010.0,0.8930526403706641
Belgium,2015.0,0.9718066078579637
Belize,2010.0,0.8433132924839487
Belize,2015.0,0.8184436185405913
Bhutan,2010.0,-1.6395091561945911
Bhutan,2015.0,-1.784582254197511
Bolivia (Plurin. State of),2010.0,-0.350431056797219
Bolivia (Plurin. State of),2015.0,-0.2882568719388248
Brazil,2010.0,0.5282974225347519
Brazil,2015.0,0.6485008465943136
Bulgaria,2010.0,0.13452758509825558
Bulgaria,2015.0,0.22986133521445984
Burundi,2010.0,-2.700615244444518
Burundi,2015.0,-2.584556766042182
Cabo Verde,2010.0,0.43710861807577367
Cabo Verde,2015.0,0.43296367241854766
Cambodia,2010.0,-1.5980596996223284
Cameroon,2010.0,-1.593914753965102
Cameroon,2015.0,-1.2581741557297736
Canada,2010.0,0.9469369339146056
Canada,2015.0,0.9552268252290583
Chile,2010.0,0.7023851401382557
Chile,2015.0,0.6816604118521242
China,2010.0,-1.1835651338997006
China,2015.0,-0.802230133434883
Colombia,2010.0,0.39980410716073694
Colombia,2015.0,0.4702681833335838
Costa Rica,2010.0,0.7231098684243871
Costa Rica,2015.0,0.6194862269937301
Croatia,2010.0,0.08893318286876618
Croatia,2015.0,0.4163838897896423
Cuba,2010.0,0.5200075312202992
Cyprus,2010.0,0.8640380207700801
Cyprus,2015.0,1.000821227458547
Czechia,2010.0,0.30861530270175935
Czechia,2015.0,0.29618046573008006
Denmark,2010.0,0.9262122056284743
Denmark,2015.0,0.9096324229995695
Dominican Republic,2015.0,0.9220672599712482
Ecuador,2010.0,0.022614052353145984
Ecuador,2015.0,-0.05199496947692689
El Salvador,2010.0,0.36249959624570083
El Salvador,2015.0,0.3790793788746056
Estonia,2010.0,0.48684796596248914
Estonia,2015.0,0.5200075312202992
Eswatini,2010.0,-0.20535795879429924
Eswatini,2015.0,-0.11416915433532104
Finland,2010.0,0.826733509855044
Finland,2015.0,0.8971975860278902
France,2010.0,0.8516031837984014
France,2015.0,0.8889076947134381
Georgia,2010.0,-0.8975638835510876
Germany,2010.0,0.7065300857954817
Germany,2015.0,0.7313997597388391
Ghana,2015.0,-0.6281424158313796
Greece,2010.0,0.5034277485913938
Greece,2015.0,0.5075726942486205
Guatemala,2010.0,-0.20535795879429924
Guatemala,2015.0,0.20913660692832844
