Country,Year,Employment by industry: Services (%) Male
Afghanistan,2010.0,-1.0925493520536855
Afghanistan,2015.0,-0.6949037212394503
Albania,2010.0,-0.8937265366465676
Albania,2015.0,-0.6580846813492434
Angola,2015.0,-1.0999131600317271
Argentina,2010.0,0.5127607871593387
Argentina,2015.0,0.5053969791812972
Armenia,2010.0,-0.6286294494370774
Armenia,2015.0,-0.3414409382934631
Australia,2010.0,1.0797740014685262
Australia,2015.0,1.1755035051830642
Austria,2010.0,0.5790350589617111
Austria,2015.0,0.5201245951373796
Azerbaijan,2010.0,-0.25307524255696673
Azerbaijan,2015.0,-0.21625620266675974
Bahamas,2015.0,1.8087909912946236
Bahrain,2015.0,0.4612141313130487
Bangladesh,2015.0,-0.6433570653931604
Barbados,2010.0,1.227050161029354
Barbados,2015.0,1.234413969007395
Belarus,2010.0,-0.35616855424954613
Belarus,2015.0,-0.09107146704005584
Belgium,2010.0,1.0134997296661532
Belgium,2015.0,1.1386844652928572
Belize,2010.0,0.3139379717522208
Belize,2015.0,0.30657416377417934
Bhutan,2010.0,-0.17207335479851127
Bhutan,2015.0,-0.9231817685587331
Bolivia (Plurin. State of),2010.0,-0.599174217524912
Bolivia (Plurin. State of),2015.0,-0.6286294494370774
Brazil,2010.0,0.24766369994984838
Brazil,2015.0,0.42439509142284176
Bulgaria,2010.0,0.05620469252077204
Bulgaria,2015.0,0.32866558770830384
Burundi,2010.0,-2.712587107222792
Burundi,2015.0,-3.1765070098394
Cabo Verde,2010.0,0.3654846275985108
Cabo Verde,2015.0,0.43175889940088324
Cambodia,2010.0,-1.512286406802045
Cameroon,2010.0,-1.0410026962073955
Cameroon,2015.0,-1.5859244865824589
Canada,2010.0,1.219686353051312
Canada,2015.0,1.278596816875643
Chile,2010.0,0.32866558770830384
Chile,2015.0,0.38021224355459327
China,2010.0,-1.401829287131424
China,2015.0,-0.9379093845148162
Colombia,2010.0,0.05620469252077204
Colombia,2015.0,0.24766369994984838
Costa Rica,2010.0,0.5937626749177936
Costa Rica,2015.0,0.38757605153263475
Croatia,2010.0,-0.10579908299613884
Croatia,2015.0,0.16666181219139295
Cuba,2010.0,0.3213017797302623
Cyprus,2010.0,1.1239568493367742
Cyprus,2015.0,1.41850916845843
Czechia,2010.0,-0.2383476266008837
Czechia,2015.0,-0.2383476266008837
Denmark,2010.0,1.1975949291171881
Denmark,2015.0,1.322779664743892
Dominican Republic,2015.0,0.8073131062809944
Ecuador,2010.0,-0.40771521009583556
Ecuador,2015.0,-1.173551239812141
El Salvador,2010.0,-0.4150790180738771
El Salvador,2015.0,-0.20889239468871826
Estonia,2010.0,0.07093230847685503
Estonia,2015.0,0.09302373241097901
Eswatini,2010.0,0.5201245951373796
Eswatini,2015.0,0.6674007546982075
Finland,2010.0,0.5790350589617111
Finland,2015.0,0.711583602566456
France,2010.0,0.9398616498857393
France,2015.0,1.1386844652928572
Georgia,2010.0,-0.9526370004708992
Germany,2010.0,0.5495798270495457
Germany,2015.0,0.6084902908738766
Ghana,2015.0,-0.6949037212394503
Greece,2010.0,0.726311218522539
Greece,2015.0,1.219686353051312
Guatemala,2010.0,-1.1146407759878094
Guatemala,2015.0,-0.9084541526026507
Guyana,2010.0,-0.5476275616786225
Honduras,2015.0,-0.9673646164269816
Hungary,2010.0,0.22557227601572388
Hungary,2015.0,0.2182084680376829
Iceland,2010.0,0.9619530738198633
Iceland,2015.0,1.1681396972050222
India,2010.0,-1.5270140227581277
India,2015.0,-1.3502826312851344
Indonesia,2010.0,-0.7906332249539882
Indonesia,2015.0,-1.5785606786044173
Ireland,2010.0,1.0650463855124432
Ireland,2015.0,1.1092292333806912
Israel,2010.0,1.374326320590182
Israel,2015.0,1.6467872157777128
Italy,2010.0,0.4980331712032557
Italy,2015.0,0.6600369467201666
Jamaica,2010.0,0.13720658027922747
Jamaica,2015.0,0.2034808520815999
Japan,2015.0,0.9398616498857393
Kazakhstan,2010.0,-0.3635323622275876
Kazakhstan,2015.0,0.13720658027922747
Kenya,2015.0,-0.12052669895222132
Kyrgyzstan,2010.0,-0.8127246488881122
Kyrgyzstan,2015.0,-0.40771521009583556
Latvia,2010.0,0.32866558770830384
Latvia,2015.0,0.3139379717522208
Lebanon,2010.0,1.219686353051312
Lithuania,2010.0,0.3654846275985108
Lithuania,2015.0,0.30657416377417934
Luxembourg,2010.0,2.1033433104162795
Luxembourg,2015.0,2.1548899662625693
Madagascar,2015.0,-2.992411810388365
Malawi,2010.0,-1.6742901823189555
Malaysia,2010.0,0.16666181219139295
Malaysia,2015.0,0.14457038825726898
Maldives,2010.0,1.227050161029354
Maldives,2015.0,1.1975949291171881
Malta,2010.0,1.1755035051830642
Malta,2015.0,1.484783440260803
Mauritius,2010.0,0.5863988669397526
Mauritius,2015.0,0.7925854903249114
Mexico,2010.0,0.06356850049881353
Mexico,2015.0,0.034113268586648066
Mongolia,2010.0,-0.3856237861617116
Mongolia,2015.0,-0.48135328987624953
Morocco,2015.0,-0.4003514021177946
Mozambique,2010.0,-1.8731129977260732
Namibia,2010.0,-0.1647095468204698
Nepal,2010.0,-1.7700196860334938
Nepal,2015.0,-1.4975587908459622
Netherlands (Kingdom of the),2010.0,1.381690128568223
Netherlands (Kingdom of the),2015.0,1.5805129439753407
New Zealand,2010.0,0.7336750265005805
New Zealand,2015.0,0.6747645626762491
Nicaragua,2010.0,-0.8053608409100713
Nicaragua,2015.0,-1.085185544075644
Norway,2010.0,1.0724101934904842
Norway,2015.0,1.0945016174246083
Oman,2015.0,0.17402562016943446
Pakistan,2010.0,-0.7022675292174914
Pakistan,2015.0,-0.6801761052833674
Panama,2015.0,0.4538503233350072
Paraguay,2010.0,-0.4445342499860426
Paraguay,2015.0,0.004658036674482069
Peru,2010.0,-0.12052669895222132
Peru,2015.0,-0.19416477873263527
Philippines,2015.0,-1.247189319592555
Poland,2010.0,-0.3929875941397531
Poland,2015.0,-0.34880474627150465
Portugal,2010.0,0.05620469252077204
Portugal,2015.0,0.5274884031154211
Qatar,2010.0,-1.0925493520536855
Qatar,2015.0,-0.9673646164269816
Republic of Korea,2010.0,0.8146769142590354
Republic of Korea,2015.0,0.8073131062809944
Republic of Moldova,2010.0,-0.4150790180738771
Republic of Moldova,2015.0,-0.8642713047344022
Romania,2010.0,-1.1146407759878094
Romania,2015.0,-0.7906332249539882
Russian Federation,2015.0,0.2697551238839724
Rwanda,2010.0,-3.0586860821907376
Rwanda,2015.0,-1.4828311748898793
Saint Lucia,2010.0,0.3360293956863448
Saint Lucia,2015.0,0.6158540988519181
Saint Vincent & Grenadines,2010.0,0.2034808520815999
San Marino,2010.0,0.27711893186201386
Sao Tome and Principe,2010.0,-0.1499819308643868
Saudi Arabia,2015.0,1.1681396972050222
Senegal,2010.0,-0.9231817685587331
Senegal,2015.0,-0.5549913696566634
Serbia,2010.0,-0.45926186594212554
Serbia,2015.0,-0.1499819308643868
Sierra Leone,2015.0,-1.4975587908459622
Singapore,2010.0,1.5068748641949268
Singapore,2015.0,2.0886156944601963
Slovakia,2010.0,-0.3414409382934631
Slovakia,2015.0,-0.24571143457892522
Slovenia,2010.0,-0.15734573884242828
Slovenia,2015.0,-0.054252427149848875
South Africa,2010.0,0.38757605153263475
South Africa,2015.0,0.3581208196204693
Spain,2010.0,0.7778578743688285
Spain,2015.0,1.0797740014685262
Sri Lanka,2010.0,-0.23098381862284223
Sri Lanka,2015.0,-0.22362001064480072
Suriname,2015.0,0.26239131590593084
Sweden,2010.0,1.160775889226981
Sweden,2015.0,1.330143472721933
Switzerland,2010.0,0.9840444977539878
Switzerland,2015.0,1.1681396972050222
Tajikistan,2010.0,-1.0999131600317271
Thailand,2010.0,-0.9600008084489401
Thailand,2015.0,-0.7906332249539882
Timor-Leste,2010.0,-0.6507208733712019
Timor-Leste,2015.0,-0.7538141850637813
Tunisia,2010.0,-0.08370765906201434
Türkiye,2010.0,0.14457038825726898
Türkiye,2015.0,0.14457038825726898
Uganda,2010.0,-2.020389157286901
Uganda,2015.0,-1.7700196860334938
Ukraine,2010.0,-0.4224428260519186
United Arab Emirates,2015.0,0.6305817148080005
United Kingdom,2010.0,1.3669625126121399
United Kingdom,2015.0,1.462692016326678
United Rep. of Tanzania,2010.0,-1.8731129977260732
United Rep. of Tanzania,2015.0,-1.8068387259237007
United States of America,2015.0,1.359598704634099
Uruguay,2015.0,0.6084902908738766
Uzbekistan,2015.0,-0.5697189856127465
Venezuela (Boliv. Rep. of),2010.0,0.5643074430056281
Viet Nam,2010.0,-1.6521987583848312
Yemen,2010.0,0.48330555524717267
Zambia,2010.0,-1.814202533901742
Zambia,2015.0,-1.64483495040679
