Country,Year,Employment by industry: Services (%) Male and Female
Afghanistan,2010.0,-1.5782384087870258
Afghanistan,2015.0,-1.3595121624124473
Albania,2010.0,-1.2058126379330143
Albania,2015.0,-1.040290073109009
Angola,2015.0,-1.3949812834461628
Argentina,2010.0,0.6740507768539011
Argentina,2015.0,0.6976968575430451
Armenia,2010.0,-0.8097407863898589
Armenia,2015.0,-0.525987818120136
Australia,2010.0,1.0701226283970566
Australia,2015.0,1.158795430981345
Austria,2010.0,0.7213429382321891
Austria,2015.0,0.709519897887617
Azerbaijan,2010.0,-0.567368459326137
Azerbaijan,2015.0,-0.47869565674184855
Bahamas,2015.0,1.6080709640750739
Bahrain,2015.0,0.36074020772274873
Bangladesh,2015.0,-1.282662400172731
Barbados,2010.0,1.194264552015061
Barbados,2015.0,1.1883530318427744
Belarus,2010.0,-0.1417390069215526
Belarus,2015.0,0.09472179996988332
Belgium,2010.0,1.040565027535627
Belgium,2015.0,1.1647069511536314
Belize,2010.0,0.49079365151303866
Belize,2015.0,0.5144397322021826
Bhutan,2010.0,-1.093493754659582
Bhutan,2015.0,-1.4954771263750233
Bolivia (Plurin. State of),2010.0,-0.4964302172587065
Bolivia (Plurin. State of),2015.0,-0.4964302172587065
Brazil,2010.0,0.40803236910103574
Brazil,2015.0,0.5735549339250415
Bulgaria,2010.0,0.14792548152045673
Bulgaria,2015.0,0.33118260686131923
Burundi,2010.0,-2.896507407206781
Burundi,2015.0,-2.8078346046224922
Cabo Verde,2010.0,0.39620932875646464
Cabo Verde,2015.0,0.46123605065160916
Cambodia,2010.0,-1.684645771888172
Cameroon,2010.0,-1.4718310456858796
Cameroon,2015.0,-1.1053167950041538
Canada,2010.0,1.2001760721873465
Canada,2015.0,1.229733673048776
Chile,2010.0,0.5144397322021826
Chile,2015.0,0.5558203734081832
China,2010.0,-1.3654236825847332
China,2015.0,-0.916148149491005
Colombia,2010.0,0.23068676393245924
Colombia,2015.0,0.38438628841189265
Costa Rica,2010.0,0.6090240549587567
Costa Rica,2015.0,0.47897061116846673
Croatia,2010.0,0.035606598247024335
Croatia,2015.0,0.3725632480673207
Cuba,2010.0,0.39029780858417823
Cyprus,2010.0,1.0701226283970566
Cyprus,2015.0,1.3065834352884924
Czechia,2010.0,0.0710757192807398
Czechia,2015.0,0.07698723945302578
Denmark,2010.0,1.1765299914982026
Denmark,2015.0,1.206087592359632
Dominican Republic,2015.0,0.839573341677907
Ecuador,2010.0,-0.24223484985041263
Ecuador,2015.0,-0.21267724898898313
El Salvador,2010.0,0.011960517557880824
El Salvador,2015.0,0.11836788065902724
Estonia,2010.0,0.45532453047932364
Estonia,2015.0,0.45532453047932364
Eswatini,2010.0,0.12427940083131281
Eswatini,2015.0,0.24250980427703078
Finland,2010.0,0.8632194223670501
Finland,2015.0,0.9637152652959106
France,2010.0,1.0169189468464839
France,2015.0,1.1410608704644876
Georgia,2010.0,-0.9634403108692924
Germany,2010.0,0.7272544584044746
Germany,2015.0,0.780458139955048
Ghana,2015.0,-0.685598862771855
Greece,2010.0,0.6090240549587567
Greece,2015.0,0.8573079021947645
Guatemala,2010.0,-0.7801831855284295
Guatemala,2015.0,-0.5023417374309921
Guyana,2010.0,-0.09444684554326518
Honduras,2015.0,-0.4846071769141346
Hungary,2010.0,0.41985540944560773
Hungary,2015.0,0.41985540944560773
Iceland,2010.0,1.076034148569343
Iceland,2015.0,1.194264552015061
India,2010.0,-1.8324337761953193
India,2015.0,-1.619619049993027
Indonesia,2010.0,-0.916148149491005
Indonesia,2015.0,-0.7565371048392859
Ireland,2010.0,1.0937687090862005
Ireland,2015.0,1.111503269603058
Israel,2010.0,1.2415567133933478
Israel,2015.0,1.4011677580450674
Italy,2010.0,0.5912894944418992
Italy,2015.0,0.7036083777153307
Jamaica,2010.0,0.5085282120298962
Jamaica,2015.0,0.5676434137527552
Japan,2015.0,0.8100157408164775
Kazakhstan,2010.0,-0.2777039708841281
Kazakhstan,2015.0,0.21886372358788728
Kenya,2015.0,-0.47869565674184855
Kyrgyzstan,2010.0,-0.6501297417381395
Kyrgyzstan,2015.0,-0.466872616397277
Latvia,2010.0,0.6267586154756142
Latvia,2015.0,0.6326701356479005
Lebanon,2010.0,0.8750424627116221
Lithuania,2010.0,0.5262627725467537
Lithuania,2015.0,0.4848821313407531
Luxembourg,2010.0,1.643540085108789
Luxembourg,2015.0,1.7026552868316478
Madagascar,2015.0,-2.4531433942853385
Malawi,2010.0,-1.9329296191241796
Malaysia,2010.0,0.08289875962531178
Malaysia,2015.0,0.14201396134817076
Maldives,2010.0,0.7272544584044746
Maldives,2015.0,0.6385816558201861
Malta,2010.0,0.9105115837453371
Malta,2015.0,1.229733673048776
Mauritius,2010.0,0.28980196565531824
Mauritius,2015.0,0.5558203734081832
Mexico,2010.0,0.2365982841047452
Mexico,2015.0,0.22477524376017324
Mongolia,2010.0,-0.4373150155358475
Mongolia,2015.0,-0.3841113339852741
Morocco,2015.0,-0.9693518310415784
Mozambique,2010.0,-2.3349129908396207
Namibia,2010.0,-0.12400444640469467
Nepal,2010.0,-2.3467360311841925
Nepal,2015.0,-2.2166825873939024
Netherlands (Kingdom of the),2010.0,1.2711143142547774
Netherlands (Kingdom of the),2015.0,1.3893447177004954
New Zealand,2010.0,0.8513963820224781
New Zealand,2015.0,0.839573341677907
Nicaragua,2010.0,-0.3072615717455576
Nicaragua,2015.0,-0.3841113339852741
Norway,2010.0,1.1883530318427744
Norway,2015.0,1.194264552015061
Oman,2015.0,-0.01759708330354867
Pakistan,2010.0,-1.3299545615510178
Pakistan,2015.0,-1.3417776018955898
Panama,2015.0,0.5262627725467537
Paraguay,2010.0,-0.1476505270938382
Paraguay,2015.0,0.16566004203731427
Peru,2010.0,-0.11218140606012313
Peru,2015.0,-0.12400444640469467
Philippines,2015.0,-0.17720812795526766
Poland,2010.0,-0.06488924468183568
Poland,2015.0,0.011960517557880824
Portugal,2010.0,0.22477524376017324
Portugal,2015.0,0.6149355751310422
Qatar,2010.0,-0.9220596696632909
Qatar,2015.0,-0.7742716653561434
Republic of Korea,2010.0,0.650404696164758
Republic of Korea,2015.0,0.6858738171984732
Republic of Moldova,2010.0,-0.2304118095058411
Republic of Moldova,2015.0,-0.5318993382924215
Romania,2010.0,-1.0048209520752935
Romania,2015.0,-0.691510382944141
Russian Federation,2015.0,0.49079365151303866
Rwanda,2010.0,-2.5240816363527694
Rwanda,2015.0,-1.9388411392964655
Saint Lucia,2010.0,0.6326701356479005
Saint Lucia,2015.0,0.8454848618501926
Saint Vincent & Grenadines,2010.0,0.5439973330636121
San Marino,2010.0,0.45532453047932364
Sao Tome and Principe,2010.0,0.08881027979759776
Saudi Arabia,2015.0,0.7449890189213322
Senegal,2010.0,-0.8333868670790024
Senegal,2015.0,-0.43140349536356154
Serbia,2010.0,-0.3309076524347011
Serbia,2015.0,-0.09444684554326518
Sierra Leone,2015.0,-1.2590163194835873
Singapore,2010.0,1.0582995880524846
Singapore,2015.0,1.45437143959564
Slovakia,2010.0,0.11836788065902724
Slovakia,2015.0,0.17748308238188623
Slovenia,2010.0,0.053341158763882277
Slovenia,2015.0,0.19521764289874374
South Africa,2010.0,0.24842132444931675
South Africa,2015.0,0.3193595665167477
Spain,2010.0,0.898688543400766
Spain,2015.0,1.0819456687416285
Sri Lanka,2010.0,-0.797917746045287
Sri Lanka,2015.0,-0.7151564636332846
Suriname,2015.0,0.46714757082389474
Sweden,2010.0,1.2001760721873465
Sweden,2015.0,1.2947603949439206
Switzerland,2010.0,0.9637152652959106
Switzerland,2015.0,1.0701226283970566
Tajikistan,2010.0,-1.5250347272364528
Thailand,2010.0,-0.975263351213864
Thailand,2015.0,-0.8156523065621449
Timor-Leste,2010.0,-0.916148149491005
Timor-Leste,2015.0,-0.8747675082850039
Tunisia,2010.0,-0.5378108584647076
Türkiye,2010.0,-0.44913805588041905
Türkiye,2015.0,-0.31908461209012956
Uganda,2010.0,-2.151655865498758
Uganda,2015.0,-1.968398740157895
Ukraine,2010.0,-0.0589777245095497
United Arab Emirates,2015.0,0.39620932875646464
United Kingdom,2010.0,1.2947603949439206
United Kingdom,2015.0,1.3302295159776365
United Rep. of Tanzania,2010.0,-1.9920448208470387
United Rep. of Tanzania,2015.0,-1.8619913770567489
United States of America,2015.0,1.2415567133933478
Uruguay,2015.0,0.768635099610476
Uzbekistan,2015.0,-0.4550495760527051
Venezuela (Boliv. Rep. of),2010.0,0.6976968575430451
Viet Nam,2010.0,-1.6609996911990281
Yemen,2010.0,-0.05306620433726414
Zambia,2010.0,-1.9211065787796078
Zambia,2015.0,-1.7555840139556027
