Country,Year,GDP in constant 2015 prices (millions of US dollars)
Afghanistan,2010.0,-0.30200116729315474
Afghanistan,2015.0,-0.2995668493483754
Albania,2010.0,-0.3046532183874419
Albania,2015.0,-0.3040601255548388
Angola,2015.0,-0.23977855315915095
Argentina,2010.0,0.05655626332103242
Argentina,2015.0,0.08449602639900589
Armenia,2010.0,-0.30582039073536704
Armenia,2015.0,-0.3045716451229784
Australia,2010.0,0.3546317183316475
Australia,2015.0,0.45270731552940024
Austria,2010.0,-0.0888471605859406
Austria,2015.0,-0.07686263737077614
Azerbaijan,2010.0,-0.2820807307780408
Azerbaijan,2015.0,-0.2784908938088311
Bahamas,2015.0,-0.3037687924674692
Bahrain,2015.0,-0.2919995490705505
Bangladesh,2015.0,-0.17072279812749377
Barbados,2010.0,-0.30814001544364505
Barbados,2015.0,-0.3081461487718002
Belarus,2010.0,-0.27840318721621243
Belarus,2015.0,-0.2764184422252057
Belgium,2010.0,-0.0453299706595154
Belgium,2015.0,-0.02759238563481959
Belize,2010.0,-0.30988188063970784
Belize,2015.0,-0.30968868080282064
Bhutan,2010.0,-0.3101045204517398
Bhutan,2015.0,-0.30981502736281674
Bolivia (Plurin. State of),2010.0,-0.29554706607548964
Bolivia (Plurin. State of),2015.0,-0.2908041634131116
Brazil,2010.0,0.7335536384193816
Brazil,2015.0,0.7943116137899353
Bulgaria,2010.0,-0.28188753094115354
Bulgaria,2015.0,-0.27989787928762266
Burundi,2010.0,-0.3095868675554451
Burundi,2015.0,-0.30932006778069604
Cabo Verde,2010.0,-0.31013457375970005
Cabo Verde,2015.0,-0.31006526715154686
Cambodia,2010.0,-0.30321801959913663
Cameroon,2010.0,-0.2954838927954916
Cameroon,2015.0,-0.2913034163249409
Canada,2010.0,0.5471115024934797
Canada,2015.0,0.6433808345495405
Chile,2010.0,-0.18746126399571553
Chile,2015.0,-0.1614406192974887
China,2010.0,4.322140022018248
China,2015.0,6.473379725791918
Colombia,2010.0,-0.16784872055399014
Colombia,2015.0,-0.13104200496211532
Costa Rica,2010.0,-0.2823045972557038
Costa Rica,2015.0,-0.27642641555180736
Croatia,2010.0,-0.27998619921305684
Croatia,2015.0,-0.2802284656751853
Cuba,2010.0,-0.264465812316448
Cyprus,2010.0,-0.2977765308598869
Cyprus,2015.0,-0.29883820996354354
