Country,Year,GDP in current prices (millions of US dollars)
Afghanistan,2010.0,-0.30908803322527095
Afghanistan,2015.0,-0.30659777061268895
Albania,2010.0,-0.3108077661505518
Albania,2015.0,-0.311142779058074
Angola,2015.0,-0.2461211164679195
Argentina,2010.0,-0.05361711625718151
Argentina,2015.0,0.08188691931574005
Armenia,2010.0,-0.31208081519913633
Armenia,2015.0,-0.3116601878819139
Australia,2010.0,0.4889859190169419
Australia,2015.0,0.4543375192535908
Austria,2010.0,-0.07507903574389334
Austria,2015.0,-0.08132950804627587
Azerbaijan,2010.0,-0.28538462922952607
Azerbaijan,2015.0,-0.2852791622030839
Bahamas,2015.0,-0.3108480917783091
Bahrain,2015.0,-0.29894334607007894
Bangladesh,2015.0,-0.1762703048552592
Barbados,2010.0,-0.31539682258933327
Barbados,2015.0,-0.3152758457060614
Belarus,2010.0,-0.282700803603709
Belarus,2015.0,-0.28318284995397713
Belgium,2010.0,-0.01982734216792444
Belgium,2015.0,-0.0314919952924303
Belize,2010.0,-0.3171283430058047
Belize,2015.0,-0.31683613730313254
Bhutan,2010.0,-0.3172468383119839
Bhutan,2015.0,-0.31696393852340954
Bolivia (Plurin. State of),2010.0,-0.30601646117871056
Bolivia (Plurin. State of),2015.0,-0.29773419763163295
Brazil,2010.0,1.052143236956101
Brazil,2015.0,0.799874795226215
Bulgaria,2010.0,-0.2867643860930992
Bulgaria,2015.0,-0.2867023466657802
Burundi,2010.0,-0.31694656748376027
Burundi,2015.0,-0.31646328034494575
Cabo Verde,2010.0,-0.3171748725762939
Cabo Verde,2015.0,-0.3172170593868708
Cambodia,2010.0,-0.3112327362276865
Cameroon,2010.0,-0.3011581536253649
Cameroon,2015.0,-0.2982391985700091
Canada,2010.0,0.6851359763712136
Canada,2015.0,0.647206311296964
Chile,2010.0,-0.18262748497263032
Chile,2015.0,-0.16688125792481184
China,2010.0,3.4582493663799543
China,2015.0,6.544327471836059
Colombia,2010.0,-0.14042516453892587
Colombia,2015.0,-0.13613265656272888
Costa Rica,2010.0,-0.29484378071284384
Costa Rica,2015.0,-0.2831909150795286
Croatia,2010.0,-0.2805666473039377
Croatia,2015.0,-0.2870367391790293
Cuba,2010.0,-0.2782984858411575
Cyprus,2010.0,-0.3022165462554259
Cyprus,2015.0,-0.30586074221614007
Czechia,2010.0,-0.18850137795118693
Czechia,2015.0,-0.20155261227627094
Denmark,2010.0,-0.11844335465128139
Denmark,2015.0,-0.1304306127978457
Dominican Republic,2015.0,-0.2740630541380939
Ecuador,2010.0,-0.27505568497519683
