Country,Year,GDP per capita (US dollars)
Afghanistan,2010.0,-0.8003229512037624
Afghanistan,2015.0,-0.7987614594592546
Albania,2010.0,-0.6312559814120521
Albania,2015.0,-0.6380697635699044
Angola,2015.0,-0.6295052179409373
Argentina,2010.0,-0.33395741684409364
Argentina,2015.0,-0.1195125505983531
Armenia,2010.0,-0.6663658866976522
Armenia,2015.0,-0.651508056159002
Australia,2010.0,1.970993669776055
Australia,2015.0,1.6486639193643196
Austria,2010.0,1.39239000153843
Austria,2015.0,1.265483308848431
Azerbaijan,2010.0,-0.5539857990247409
Azerbaijan,2015.0,-0.5703578033762471
Bahamas,2015.0,0.6043098498784988
Bahrain,2015.0,0.253636658407364
Bangladesh,2015.0,-0.7563645926992847
Barbados,2010.0,-0.04470290065693303
Barbados,2015.0,-0.021043934831056977
Belarus,2010.0,-0.5466988375503711
Belarus,2015.0,-0.5495852313811279
Belgium,2010.0,1.2670921185245905
Belgium,2015.0,1.1191289462495617
Belize,2010.0,-0.5695533985381673
Belize,2015.0,-0.5343488573892637
Bhutan,2010.0,-0.7211600515503811
Bhutan,2015.0,-0.6974064498612015
Bolivia (Plurin. State of),2010.0,-0.7340305289596577
Bolivia (Plurin. State of),2015.0,-0.6841574289987109
Brazil,2010.0,-0.2926961804437658
Brazil,2015.0,-0.4093821998969865
Bulgaria,2010.0,-0.5090810818872281
Bulgaria,2015.0,-0.4962106044779516
Burundi,2010.0,-0.8144236948359845
Burundi,2015.0,-0.8125782955015661
Cabo Verde,2010.0,-0.6738894378302808
Cabo Verde,2015.0,-0.6881794531891099
Cambodia,2010.0,-0.7879256531110033
Cameroon,2010.0,-0.7595822120516038
Cameroon,2015.0,-0.7587778072135241
Canada,2010.0,1.4282096757988065
Canada,2015.0,1.2357203298394788
Chile,2010.0,-0.21684553600600717
Chile,2015.0,-0.179085826547909
China,2010.0,-0.6113351321866645
China,2015.0,-0.44941317007436876
Colombia,2010.0,-0.5224247386130223
Colombia,2015.0,-0.5302795152672131
Costa Rica,2010.0,-0.4394764044275008
Costa Rica,2015.0,-0.27939984164962345
Croatia,2010.0,-0.167824158814792
Croatia,2015.0,-0.26624545665043636
Cuba,2010.0,-0.5553580190426417
Cyprus,2010.0,0.6454291324838713
Cyprus,2015.0,0.28590748779385894
Czechia,2010.0,0.1203420449443783
Czechia,2015.0,0.020453891227529615
Denmark,2010.0,1.919842985660511
Denmark,2015.0,1.6974487068972761
Dominican Republic,2015.0,-0.5014155769596443
Ecuador,2010.0,-0.6054203907301955
Ecuador,2015.0,-0.534869354637433
El Salvador,2010.0,-0.6822173938009891
El Salvador,2015.0,-0.6469655347204338
Estonia,2010.0,-0.1307742183314701
Estonia,2015.0,-0.0014069931955798555
Eswatini,2010.0,-0.6340004214478537
Eswatini,2015.0,-0.6556247162127045
Finland,2010.0,1.3734628288777293
Finland,2015.0,1.1995221121258886
France,2010.0,1.1115580771852813
France,2015.0,0.9225229402365317
Georgia,2010.0,-0.6739840736935843
Germany,2010.0,1.1511631859777978
Germany,2015.0,1.1099965854407736
Ghana,2015.0,-0.7429736180418388
Greece,2010.0,0.4479714037011099
Greece,2015.0,0.03147896930238785
Guatemala,2010.0,-0.6926273387643745
Guatemala,2015.0,-0.6410981111956165
Guyana,2010.0,-0.6077862873127831
Honduras,2015.0,-0.7181790218563208
Hungary,2010.0,-0.19872276818338613
Hungary,2015.0,-0.22332809264229722
Iceland,2010.0,1.2190170999664103
Iceland,2015.0,1.6787108059631823
India,2010.0,-0.7612856575910669
India,2015.0,-0.7481785905235315
Indonesia,2010.0,-0.6785739130638042
Indonesia,2015.0,-0.667738106715553
Ireland,2010.0,1.4935084214782244
Ireland,2015.0,2.132868313956699
Israel,2010.0,0.6901445778947771
Israel,2015.0,0.9481692591917813
Italy,2010.0,0.8629969822186275
Italy,2015.0,0.6172749631510789
Jamaica,2010.0,-0.596146076126452
Jamaica,2015.0,-0.5845531828717728
Japan,2015.0,0.8278397590013757
Kazakhstan,2010.0,-0.4036567301671245
Kazakhstan,2015.0,-0.335802816178512
Kenya,2015.0,-0.7541406499116523
Kyrgyzstan,2010.0,-0.7836197213306939
Kyrgyzstan,2015.0,-0.7715536487594971
Latvia,2010.0,-0.285409218969396
Latvia,2015.0,-0.17761897066670468
Lebanon,2010.0,-0.4608641095340928
Lithuania,2010.0,-0.2651571442224461
Lithuania,2015.0,-0.16370749876108956
Luxembourg,2010.0,4.415579972700524
Luxembourg,2015.0,4.164984206672845
Madagascar,2015.0,-0.8033986167611262
Malawi,2010.0,-0.8025942119230465
Malaysia,2010.0,-0.40479236052676654
Malaysia,2015.0,-0.3659916565723298
Maldives,2010.0,-0.48627383883108366
Maldives,2015.0,-0.37857822639169586
Malta,2010.0,0.19505705902249487
Malta,2015.0,0.3240457407051711
Mauritius,2010.0,-0.45613231636891755
Mauritius,2015.0,-0.3856285982078069
Mexico,2010.0,-0.3801870360678554
Mexico,2015.0,-0.36348380619478693
Mongolia,2010.0,-0.6991098954006646
Mongolia,2015.0,-0.6395366194511087
Morocco,2015.0,-0.6743152992151465
Mozambique,2010.0,-0.8022156684698325
Namibia,2010.0,-0.5706890288978094
Nepal,2010.0,-0.7929886717977408
Nepal,2015.0,-0.7844241261687737
Netherlands (Kingdom of the),2010.0,1.5856364344041858
Netherlands (Kingdom of the),2015.0,1.2999307630909065
New Zealand,2010.0,0.77015920031789
New Zealand,2015.0,1.010439657245487
Nicaragua,2010.0,-0.7541879678433041
Nicaragua,2015.0,-0.7291567819995272
Norway,2010.0,3.324097243289558
Norway,2015.0,2.6921662660804087
Oman,2015.0,0.06351320903062403
Pakistan,2010.0,-0.7804494199100265
Pakistan,2015.0,-0.7583519458286583
Panama,2015.0,-0.17813946791487395
Paraguay,2010.0,-0.6013510486081448
Paraguay,2015.0,-0.5476451961834061
Peru,2010.0,-0.5861619925479323
Peru,2015.0,-0.5325507759864972
Philippines,2015.0,-0.6842520648620144
Poland,2010.0,-0.24178208598648054
Poland,2015.0,-0.23941618940389292
Portugal,2010.0,0.23806905889393754
Portugal,2015.0,0.08490091413721598
Qatar,2010.0,2.6302270935482652
Qatar,2015.0,2.3446160580982895
Republic of Korea,2010.0,0.2840620884594406
Republic of Korea,2015.0,0.5351310338036372
Republic of Moldova,2010.0,-0.7352607951826032
Republic of Moldova,2015.0,-0.713163321101235
Romania,2010.0,-0.42935036705402585
Romania,2015.0,-0.40214255635426843
Russian Federation,2015.0,-0.37900408777656164
Rwanda,2010.0,-0.7968687421931845
Rwanda,2015.0,-0.7903388676252426
Saint Lucia,2010.0,-0.41345154201903717
Saint Lucia,2015.0,-0.33731698999136805
Saint Vincent & Grenadines,2010.0,-0.5131031060776271
San Marino,2010.0,2.377691292322864
Sao Tome and Principe,2010.0,-0.773682955683826
Saudi Arabia,2015.0,0.1203420449443783
Senegal,2010.0,-0.7641720514218238
Senegal,2015.0,-0.7664433121411078
Serbia,2010.0,-0.5664304150491517
Serbia,2015.0,-0.5754208220629846
Sierra Leone,2015.0,-0.7974838753046573
