Country,Year,GDP real rates of growth (percent)
Afghanistan,2010.0,0.3795872032225043
Afghanistan,2015.0,-1.2379330411400586
Albania,2010.0,0.011968965867376346
Albania,2015.0,-0.3556492714877516
Angola,2015.0,-0.6742517438621959
Argentina,2010.0,1.5804734452492555
Argentina,2015.0,-0.23310985903604228
Armenia,2010.0,-0.3556492714877516
Armenia,2015.0,-0.11057044658433297
Australia,2010.0,-0.30663350650706794
Australia,2015.0,-0.23310985903604228
Austria,2010.0,-0.4536808014491191
Austria,2015.0,-0.649743861371854
Azerbaijan,2010.0,0.3305714382418205
Azerbaijan,2015.0,-0.6252359788815122
Bahamas,2015.0,-0.649743861371854
Bahrain,2015.0,-0.28212562401672603
Bangladesh,2015.0,1.1883473254037857
Barbados,2010.0,-1.4585039835531355
Barbados,2015.0,-0.28212562401672603
Belarus,2010.0,1.0167921479713926
Belarus,2015.0,-1.8261222209082635
Belgium,2010.0,-0.18409409405535862
Belgium,2015.0,-0.4046650364684354
Belize,2010.0,-0.5762202139008283
Belize,2015.0,-0.06155468160364931
Bhutan,2010.0,2.0216153300754094
Bhutan,2015.0,0.7226975580872902
Bolivia (Plurin. State of),2010.0,0.11000049582874366
Bolivia (Plurin. State of),2015.0,0.30606355575147876
Brazil,2010.0,0.9432685005003671
Brazil,2015.0,-1.7525985734372378
Bulgaria,2010.0,-0.5272044489201447
Bulgaria,2015.0,-0.06155468160364931
Burundi,2010.0,0.3550793207321623
Burundi,2015.0,-0.99285421623664
Cabo Verde,2010.0,-0.5272044489201447
Cabo Verde,2015.0,-0.649743861371854
Cambodia,2010.0,0.5756502631452391
Cameroon,2010.0,-0.18409409405535862
Cameroon,2015.0,0.5021266156742136
Canada,2010.0,-0.13507832907467485
Canada,2015.0,-0.7232675088428797
Chile,2010.0,0.5266344981645554
Chile,2015.0,-0.3311413889974098
China,2010.0,1.7030128577009649
China,2015.0,0.8207290880486577
Colombia,2010.0,0.2080320257901112
Colombia,2015.0,-0.15958621156501673
Costa Rica,2010.0,0.42860296820318805
Costa Rica,2015.0,0.011968965867376346
Croatia,2010.0,-1.188917276159375
Croatia,2015.0,-0.28212562401672603
Cuba,2010.0,-0.30663350650706794
Cyprus,2010.0,-0.3311413889974098
Cyprus,2015.0,-0.06155468160364931
Czechia,2010.0,-0.30663350650706794
Czechia,2015.0,0.42860296820318805
Denmark,2010.0,-0.42917291895877724
Denmark,2015.0,-0.3311413889974098
Dominican Republic,2015.0,0.796221205558316
Ecuador,2010.0,-0.037046799113307424
