Country,Year,Gross enrollment ratio - Lower secondary level (female)
Afghanistan,2010.0,-2.3718636969999993
Afghanistan,2015.0,-2.4154778055202546
Albania,2010.0,0.007528223382824474
Albania,2015.0,0.22075275392629573
Angola,2015.0,0.6253947607531096
Argentina,2010.0,1.7327085159618165
Argentina,2015.0,1.6260962506900816
Armenia,2010.0,0.5599735979727268
Armenia,2015.0,0.5599735979727268
Australia,2010.0,1.0251907555221178
Australia,2015.0,1.0251907555221178
Austria,2010.0,0.3128269830246123
Austria,2015.0,0.21106072981068327
Azerbaijan,2010.0,-0.23477237950748345
Azerbaijan,2015.0,-0.2977705362589634
Bahamas,2015.0,0.6181257426664002
Bahrain,2015.0,0.20136870569507082
Bangladesh,2015.0,0.026912271614049382
Barbados,2010.0,0.0899104283655293
Barbados,2015.0,0.5551275859149203
Belarus,2010.0,0.14806257305920334
Belarus,2015.0,0.34190305537144966
Belgium,2010.0,2.139773528817534
Belgium,2015.0,4.4270912201020405
Belize,2010.0,-0.3365386327214125
Belize,2015.0,-0.2202343433340651
Bhutan,2010.0,-0.8744459711378965
Bhutan,2015.0,0.07537239219211096
Bolivia (Plurin. State of),2010.0,0.1141404886545601
Bolivia (Plurin. State of),2015.0,0.026912271614049382
Brazil,2010.0,0.5648196100305327
Brazil,2015.0,0.5648196100305327
Bulgaria,2010.0,-0.5594551873804962
Bulgaria,2015.0,-0.2929245242011575
Burundi,2010.0,-3.316836048272201
Burundi,2015.0,-1.8436483826991281
Cabo Verde,2010.0,0.9525005746550254
Cabo Verde,2015.0,0.8652723576145146
Cambodia,2010.0,-1.7854962380054542
Cameroon,2010.0,-2.3912477452312237
Cameroon,2015.0,-1.504427538652697
Canada,2010.0,0.18683066952165248
Canada,2015.0,0.2740588865621632
Chile,2010.0,0.1335245368857843
Chile,2015.0,0.43882329652757285
China,2010.0,0.2643668624465507
China,2015.0,0.2643668624465507
Colombia,2010.0,0.7101999717647175
Colombia,2015.0,0.45336133270099116
Costa Rica,2010.0,1.0833429002157917
Costa Rica,2015.0,1.6890944074415608
Croatia,2010.0,0.6084337185507884
Croatia,2015.0,0.6423558029554309
Cuba,2010.0,-0.08454600571549281
Cyprus,2010.0,0.06083435601869194
Cyprus,2015.0,0.18683066952165248
Czechia,2010.0,0.10444846453894764
Czechia,2015.0,0.2740588865621632
Denmark,2010.0,1.1124189725626286
Denmark,2015.0,1.0881889122735977
Dominican Republic,2015.0,-0.2444644036230959
Ecuador,2010.0,0.4969754412212462
Ecuador,2015.0,0.8943484299613513
El Salvador,2010.0,-0.2735404759699326
El Salvador,2015.0,-0.2735404759699326
Estonia,2010.0,0.2643668624465507
Estonia,2015.0,0.48243740504782784
Eswatini,2010.0,-1.0779784775657553
Eswatini,2015.0,-0.4916110185712097
Finland,2010.0,0.18683066952165248
Finland,2015.0,0.30798097096680643
France,2010.0,0.356441091544868
France,2015.0,0.24982882627313238
Georgia,2010.0,0.400055200065123
Germany,2010.0,0.2885969227355815
Germany,2015.0,0.06083435601869194
Ghana,2015.0,-0.48191899445559727
Greece,2010.0,0.3515950794870614
Greece,2015.0,0.09960245248114176
Guatemala,2010.0,-1.4559674180746356
Guatemala,2015.0,-1.3638931889763182
Guyana,2010.0,0.4049012121229296
Honduras,2015.0,-0.2735404759699326
Hungary,2010.0,0.03660429572966115
Hungary,2015.0,0.16744662129042756
Iceland,2010.0,-0.036085885137431224
Iceland,2015.0,0.2546748383309383
India,2010.0,-0.7969097782129976
India,2015.0,-0.23477237950748345
Indonesia,2010.0,-0.2686944639121267
Indonesia,2015.0,0.11898650071236598
Ireland,2010.0,0.6278177667820126
Ireland,2015.0,0.4097472241807355
Israel,2010.0,0.4727453809322154
Israel,2015.0,0.5018214532790528
Italy,2010.0,0.5454355617993077
Italy,2015.0,0.4291312724119604
Jamaica,2010.0,0.09960245248114176
Jamaica,2015.0,0.09960245248114176
Japan,2015.0,0.34190305537144966
Kazakhstan,2010.0,0.24982882627313238
Kazakhstan,2015.0,0.8846564058457389
Kenya,2015.0,-0.1960042830450343
Kyrgyzstan,2010.0,-0.0893920177732987
Kyrgyzstan,2015.0,-0.026393861021818774
Latvia,2010.0,0.41943924829634793
Latvia,2015.0,0.298288946851194
Lebanon,2010.0,0.4049012121229296
Lithuania,2010.0,0.3370570433136431
Lithuania,2015.0,0.32251900714022474
Luxembourg,2010.0,1.0300367675799236
Luxembourg,2015.0,0.9040404540769638
Madagascar,2015.0,-2.2167913111502022
Malawi,2010.0,-2.667470432526175
Malaysia,2010.0,-0.23477237950748345
Malaysia,2015.0,-0.22992636744967757
Maldives,2010.0,1.4516398166090596
Maldives,2015.0,0.9040404540769638
Malta,2010.0,0.3806711518338988
Malta,2015.0,0.33221103125583723
Mauritius,2010.0,0.25952085038874484
Mauritius,2015.0,0.6811238994178808
Mexico,2010.0,1.1124189725626286
Mexico,2015.0,1.8974729259272263
Mongolia,2010.0,-0.06031594542646202
Mongolia,2015.0,-0.06031594542646202
Morocco,2015.0,-0.4528429221087606
Mozambique,2010.0,-3.152071638306791
Namibia,2010.0,-0.11362207806232949
Nepal,2010.0,-0.9519821640627948
Nepal,2015.0,0.14806257305920334
Netherlands (Kingdom of the),2010.0,1.3934876719153855
Netherlands (Kingdom of the),2015.0,0.19652269363726493
New Zealand,2010.0,0.400055200065123
New Zealand,2015.0,0.32251900714022474
Nicaragua,2010.0,-0.3995367894728931
Nicaragua,2015.0,-0.3995367894728931
Norway,2010.0,0.18683066952165248
Norway,2015.0,0.41459323623854205
Oman,2015.0,0.5405895497415019
Pakistan,2010.0,-2.788620733971329
Pakistan,2015.0,-2.4590919140405103
Panama,2015.0,-0.10393005394671703
Paraguay,2010.0,-0.7193735852880992
Paraguay,2015.0,-0.7193735852880992
Peru,2010.0,0.33221103125583723
Peru,2015.0,0.2934429347933881
Philippines,2015.0,-0.050623921310849564
Poland,2010.0,-0.045777909253042995
Poland,2015.0,0.14806257305920334
Portugal,2010.0,0.778044140574004
Portugal,2015.0,1.005806707290893
Qatar,2010.0,0.43882329652757285
Qatar,2015.0,0.34674906742925554
Republic of Korea,2010.0,0.23529079009971407
Republic of Korea,2015.0,0.3855171638917047
Republic of Moldova,2010.0,0.5115134773946652
Republic of Moldova,2015.0,0.5115134773946652
Romania,2010.0,0.09960245248114176
Romania,2015.0,-0.016701836906206316
Russian Federation,2015.0,0.21106072981068327
Rwanda,2010.0,-2.4833219743295407
Rwanda,2015.0,-2.3815557211156113
Saint Lucia,2010.0,-0.11362207806232949
Saint Lucia,2015.0,-0.1766202348138094
Saint Vincent & Grenadines,2010.0,1.005806707290893
San Marino,2010.0,0.10929447659675352
Sao Tome and Principe,2010.0,-1.0585944293345304
Saudi Arabia,2015.0,0.879810393787933
Senegal,2010.0,-1.4317373577856047
Senegal,2015.0,-1.6740379606759126
Serbia,2010.0,0.14321656100139676
Serbia,2015.0,0.30798097096680643
Sierra Leone,2015.0,-2.0181048167801494
Singapore,2010.0,0.48728341710563444
Singapore,2015.0,0.07294938616320734
Slovakia,2010.0,-0.1330061262935544
Slovakia,2015.0,0.017220247498436928
Slovenia,2010.0,0.0705263801343044
Slovenia,2015.0,0.3031349589089999
South Africa,2010.0,0.3806711518338988
South Africa,2015.0,0.5405895497415019
Spain,2010.0,0.8895024179035455
Spain,2015.0,1.2481073101812008
Sri Lanka,2010.0,0.0705263801343044
Sri Lanka,2015.0,0.1141404886545601
Suriname,2015.0,0.45336133270099116
Sweden,2010.0,0.026912271614049382
Sweden,2015.0,1.1269570087360468
Switzerland,2010.0,0.7828901526318098
Switzerland,2015.0,0.5163594894524711
Tajikistan,2010.0,-0.1960042830450343
Thailand,2010.0,0.1141404886545601
Thailand,2015.0,1.005806707290893
Timor-Leste,2010.0,-1.0779784775657553
Timor-Leste,2015.0,-0.5013030426868221
Tunisia,2010.0,0.6908159235334925
Türkiye,2010.0,0.09475644042333518
Türkiye,2015.0,0.2255987659841016
Uganda,2010.0,-1.3978152733809615
Uganda,2015.0,-0.8502159108488657
Ukraine,2010.0,0.36613311566048046
United Arab Emirates,2015.0,-0.007009812790593863
United Kingdom,2010.0,0.6181257426664002
United Kingdom,2015.0,0.6617398511866559
United Rep. of Tanzania,2010.0,-2.764390673682298
United Rep. of Tanzania,2015.0,-2.827388830433778
United States of America,2015.0,0.25952085038874484
Uruguay,2015.0,-0.9616741881784072
Uzbekistan,2015.0,-0.14269815040916617
Venezuela (Boliv. Rep. of),2010.0,-0.1378521383513603
Viet Nam,2010.0,-0.30261654831676993
Yemen,2010.0,-2.5608581672544393
Zambia,2010.0,-1.5480416471729523
Zambia,2015.0,-1.7951882621210666
