Country,Year,Gross enrollment ratio - Lower secondary level (male)
Afghanistan,2010.0,-0.4662507836610493
Afghanistan,2015.0,-0.9681836491160077
Albania,2010.0,-0.16509106438807478
Albania,2015.0,0.16776967796626674
Angola,2015.0,0.43722837415787574
Argentina,2010.0,1.5678981973932562
Argentina,2015.0,1.6788517781780363
Armenia,2010.0,0.5957334895647047
Armenia,2015.0,0.5957334895647047
Australia,2010.0,1.8320733897379713
Australia,2015.0,1.8320733897379713
Austria,2010.0,0.30514077798551825
Austria,2015.0,0.22588822028210373
Azerbaijan,2010.0,-0.17565807208186277
Azerbaijan,2015.0,-0.23906011824459453
Bahamas,2015.0,0.5693159703302332
Bahrain,2015.0,0.3791098318420387
Bangladesh,2015.0,-1.0157351837380568
Barbados,2010.0,0.28929026644483546
Barbados,2015.0,0.426661366464087
Belarus,2010.0,0.15191916642558323
Belarus,2015.0,0.320991289526201
Belgium,2010.0,2.032846535919954
Belgium,2015.0,4.193799609299723
Belize,2010.0,-0.630039402914773
Belize,2015.0,-0.27604464517285476
Bhutan,2010.0,-1.2746268722358778
Bhutan,2015.0,-0.4556837759672613
Bolivia (Plurin. State of),2010.0,0.21532121258831496
Bolivia (Plurin. State of),2015.0,0.22060471643520974
Brazil,2010.0,0.6538520318805418
Brazil,2015.0,0.6538520318805418
Bulgaria,2010.0,-0.3764312182638468
Bulgaria,2015.0,-0.13867354515360328
Burundi,2010.0,-3.2083892801991913
Burundi,2015.0,-2.0882864646575996
Cabo Verde,2010.0,0.4055273510765102
Cabo Verde,2015.0,0.8017901395935827
Cambodia,2010.0,-1.8875133184756163
Cameroon,2010.0,-2.0777194569638113
Cameroon,2015.0,-1.2006578183793573
Canada,2010.0,0.22588822028210373
Canada,2015.0,0.24173873182278646
Chile,2010.0,0.11493463949732373
Chile,2015.0,0.5376149472488677
China,2010.0,0.18890369335384347
China,2015.0,0.18890369335384347
Colombia,2010.0,0.3791098318420387
Colombia,2015.0,0.268156251057258
Costa Rica,2010.0,1.1822024165699718
Costa Rica,2015.0,2.043413543613743
Croatia,2010.0,0.44779538185166445
Croatia,2015.0,0.426661366464087
Cuba,2010.0,-0.03828697206261127
Cyprus,2010.0,0.01983157025322573
Cyprus,2015.0,0.19947070104763223
Czechia,2010.0,0.09380062410974623
Czechia,2015.0,0.26287274721036397
Denmark,2010.0,1.0712488357851917
Denmark,2015.0,1.0659653319382978
Dominican Republic,2015.0,-0.42398275288589504
Ecuador,2010.0,0.3791098318420387
Ecuador,2015.0,0.7595221088184277
El Salvador,2010.0,-0.2971786605604323
El Salvador,2015.0,-0.2971786605604323
Estonia,2010.0,0.4530788856985585
Estonia,2015.0,0.6961200626556967
Eswatini,2010.0,-1.0685702222069997
Eswatini,2015.0,-0.5877713721396187
Finland,2010.0,0.19418719720073824
Finland,2015.0,0.30514077798551825
France,2010.0,0.3632593203013552
France,2015.0,0.2523057395165752
Georgia,2010.0,0.2945737702917295
Germany,2010.0,0.3474088087606725
Germany,2015.0,0.09908412795664023
Ghana,2015.0,-0.46096727981415525
Greece,2010.0,0.6538520318805418
Greece,2015.0,0.33155829721998975
Guatemala,2010.0,-1.3010443914703493
Guatemala,2015.0,-1.1531062837573083
Guyana,2010.0,0.22588822028210373
Honduras,2015.0,-0.2971786605604323
Hungary,2010.0,0.13078515103800648
Hungary,2015.0,0.19418719720073824
Iceland,2010.0,-0.011869452828139773
Iceland,2015.0,0.18362018950694947
India,2010.0,-0.8043950298622847
India,2015.0,-0.5983383798334068
Indonesia,2010.0,-0.4662507836610493
Indonesia,2015.0,-0.12282303361291977
Ireland,2010.0,0.5481819549426558
Ireland,2015.0,0.3791098318420387
Israel,2010.0,0.33155829721998975
Israel,2015.0,0.47421290108613595
Italy,2010.0,0.7066870703494847
Italy,2015.0,0.5164809318612902
Jamaica,2010.0,-0.09376376245500202
Jamaica,2015.0,-0.09376376245500202
Japan,2015.0,0.320991289526201
Kazakhstan,2010.0,0.26287274721036397
Kazakhstan,2015.0,0.8387746665218422
Kenya,2015.0,-0.2918951567135375
Kyrgyzstan,2010.0,-0.10168901822534303
Kyrgyzstan,2015.0,-0.05413748360329402
Latvia,2010.0,0.632718016492965
Latvia,2015.0,0.4319448703109817
Lebanon,2010.0,0.413452606846852
Lithuania,2010.0,0.4953469164737127
Lithuania,2015.0,0.5164809318612902
Luxembourg,2010.0,0.9761457665410944
Luxembourg,2015.0,0.8546251780625257
Madagascar,2015.0,-2.495116260868461
Malawi,2010.0,-2.76457495706007
Malaysia,2010.0,-0.3922817298045295
Malaysia,2015.0,-0.4979518067424155
Maldives,2010.0,0.8017901395935827
Maldives,2015.0,0.7753726203591113
Malta,2010.0,0.6538520318805418
Malta,2015.0,0.3632593203013552
Mauritius,2010.0,0.12550164719111173
Mauritius,2015.0,0.8123571472873707
Mexico,2010.0,0.6697025434212253
Mexico,2015.0,1.4041095781395325
Mongolia,2010.0,-0.313029172101115
Mongolia,2015.0,-0.313029172101115
Morocco,2015.0,0.20475420489452623
Mozambique,2010.0,-3.1344202263426713
Namibia,2010.0,-0.6775909375368213
Nepal,2010.0,-1.10555474913526
Nepal,2015.0,-0.3394466913355865
Netherlands (Kingdom of the),2010.0,1.8109393743503936
Netherlands (Kingdom of the),2015.0,0.34212530491377846
New Zealand,2010.0,0.46364589339234724
New Zealand,2015.0,0.32627479337309573
Nicaragua,2010.0,-0.7779775106278133
Nicaragua,2015.0,-0.7779775106278133
Norway,2010.0,0.16248617411937197
Norway,2015.0,0.30514077798551825
Oman,2015.0,0.7225375818901683
Pakistan,2010.0,-2.5585183070311923
Pakistan,2015.0,-2.23622457237064
Panama,2015.0,-0.21264259901012303
Paraguay,2010.0,-1.0157351837380568
Paraguay,2015.0,-1.0157351837380568
Peru,2010.0,0.373826327995144
Peru,2015.0,0.32627479337309573
Philippines,2015.0,-0.4451167682734725
Poland,2010.0,0.009264562559437728
Poland,2015.0,0.30514077798551825
Portugal,2010.0,0.9444447434597282
Portugal,2015.0,1.3142900127423292
Qatar,2010.0,1.060681828091403
Qatar,2015.0,0.18890369335384347
Republic of Korea,2010.0,0.23117172412899772
Republic of Korea,2015.0,0.42137786261719296
Republic of Moldova,2010.0,0.5059139241675015
Republic of Moldova,2015.0,0.5059139241675015
Romania,2010.0,0.12021814334421772
Romania,2015.0,0.04096558564080323
Russian Federation,2015.0,0.13078515103800648
Rwanda,2010.0,-2.8755285378448505
Rwanda,2015.0,-2.9494975917013706
Saint Lucia,2010.0,0.09380062410974623
Saint Lucia,2015.0,-0.10168901822534303
Saint Vincent & Grenadines,2010.0,1.3248570204361179
San Marino,2010.0,0.08587536833940447
Sao Tome and Principe,2010.0,-1.4489824991833895
Saudi Arabia,2015.0,0.89689320883768
Senegal,2010.0,-1.3353871664751618
Senegal,2015.0,-1.5203098011164622
Serbia,2010.0,0.13078515103800648
Serbia,2015.0,0.32627479337309573
Sierra Leone,2015.0,-2.0513019377293396
Singapore,2010.0,0.4028855991530625
Singapore,2015.0,-0.04621222783295302
Slovakia,2010.0,-0.11753952976602577
Slovakia,2015.0,0.030398577947014477
Slovenia,2010.0,0.030398577947014477
Slovenia,2015.0,0.26287274721036397
South Africa,2010.0,0.29985727413862423
South Africa,2015.0,0.4847799087799247
Spain,2010.0,0.9761457665410944
Spain,2015.0,1.57318170124015
Sri Lanka,2010.0,0.24173873182278646
Sri Lanka,2015.0,0.14663566257868924
Suriname,2015.0,-0.37114771441695205
Sweden,2010.0,0.009264562559437728
Sweden,2015.0,0.8546251780625257
Switzerland,2010.0,0.6538520318805418
Switzerland,2015.0,0.5534654587895504
Tajikistan,2010.0,0.09380062410974623
Thailand,2010.0,0.056816097181485975
Thailand,2015.0,1.5573311896994675
Timor-Leste,2010.0,-1.264059864542089
Timor-Leste,2015.0,-0.8255290452498623
Tunisia,2010.0,0.9127437203783627
Türkiye,2010.0,0.27343975490415273
Türkiye,2015.0,0.12021814334421772
Uganda,2010.0,-0.8757223317953575
Uganda,2015.0,-0.7462764875464478
Ukraine,2010.0,0.35797581645446125
United Arab Emirates,2015.0,0.08323361641595747
United Kingdom,2010.0,0.844058170368737
United Kingdom,2015.0,0.844058170368737
United Rep. of Tanzania,2010.0,-2.637770864734607
United Rep. of Tanzania,2015.0,-3.171404753270931
United States of America,2015.0,0.22060471643520974
Uruguay,2015.0,-0.7647687510105775
Uzbekistan,2015.0,-0.13339004130670853
Venezuela (Boliv. Rep. of),2010.0,-0.4556837759672613
Viet Nam,2010.0,-0.5983383798334068
Yemen,2010.0,-1.5757865915088523
Zambia,2010.0,-1.2851938799296658
Zambia,2015.0,-1.8082607607722017
