Country,Year,Gross enrollment ratio - Primary (female)
Afghanistan,2010.0,-2.270179599906789
Afghanistan,2015.0,-1.9959007822109784
Albania,2010.0,-1.0217380848775846
Albania,2015.0,0.25507710094773783
Angola,2015.0,0.12266663723252001
Argentina,2010.0,1.096829334565914
Argentina,2015.0,0.623934821297276
Armenia,2010.0,-0.3691436565668637
Armenia,2015.0,-0.8325802795701295
Australia,2010.0,0.08483507617102844
Australia,2015.0,-0.2840226441785097
Austria,2010.0,-0.5204699008128286
Austria,2015.0,-0.29348053444388195
Azerbaijan,2010.0,-1.0784854264698207
Azerbaijan,2015.0,0.09429296643640066
Bahamas,2015.0,-0.23200424771895845
Bahrain,2015.0,-0.2745647539131361
Bangladesh,2015.0,-0.30293842470925414
Barbados,2010.0,-0.39751732736298173
Barbados,2015.0,-0.8514960601008752
Belarus,2010.0,-0.02865960701344494
Belarus,2015.0,-0.5110120105474552
Belgium,2010.0,-0.2651068636477639
Belgium,2015.0,-0.1421542901979183
Belize,2010.0,0.5388138089089206
Belize,2015.0,0.5293559186435484
Bhutan,2010.0,0.45369279652056654
Bhutan,2015.0,0.018629844313418853
Bolivia (Plurin. State of),2010.0,-0.038117497278817164
Bolivia (Plurin. State of),2015.0,-0.9177012919584835
Brazil,2010.0,0.19832975935550182
Brazil,2015.0,0.19832975935550182
Bulgaria,2010.0,0.3401981133360932
Bulgaria,2015.0,-1.031195975142957
Burundi,2010.0,3.0073231681712116
Burundi,2015.0,2.666839118617793
Cabo Verde,2010.0,0.2267034301516198
Cabo Verde,2015.0,-0.2745647539131361
Cambodia,2010.0,1.4751449451808243
Cameroon,2010.0,-0.4164331078937275
Cameroon,2015.0,0.5009822478474304
Canada,2010.0,-0.5393856813435731
Canada,2015.0,-0.16107007072866275
Chile,2010.0,-0.22727530258627235
Chile,2015.0,-0.5204699008128286
China,2010.0,-0.6245066937319285
China,2015.0,-0.7758329379778921
Colombia,2010.0,1.3900239327924688
Colombia,2015.0,0.832008407135477
Costa Rica,2010.0,1.0495398832390501
Costa Rica,2015.0,0.6050190407665301
Croatia,2010.0,-1.1919801096542941
Croatia,2015.0,-0.3786015468322373
Cuba,2010.0,-0.4164331078937275
Cyprus,2010.0,-0.2840226441785097
Cyprus,2015.0,-0.5015541202820829
Czechia,2010.0,-0.09486483887105453
Czechia,2015.0,-0.4637225592205913
Denmark,2010.0,-0.4637225592205913
Denmark,2015.0,-0.3596857663014915
Dominican Republic,2015.0,0.15104030802863802
Ecuador,2010.0,0.8130926266047311
Ecuador,2015.0,0.3118244425399752
El Salvador,2010.0,0.7279716142163758
El Salvador,2015.0,0.7279716142163758
Estonia,2010.0,-0.22727530258627235
Estonia,2015.0,-0.7096277061202838
Eswatini,2010.0,1.342734481465605
Eswatini,2015.0,0.8414662974008491
Finland,2010.0,-0.5204699008128286
Finland,2015.0,-0.4069752176283553
France,2010.0,-0.2367331928516459
France,2015.0,-0.2745647539131361
Georgia,2010.0,-0.047575387544190724
Germany,2010.0,-0.17998585125940855
Germany,2015.0,-0.2840226441785097
Ghana,2015.0,0.3496560036014654
Greece,2010.0,-0.6812540353241645
Greece,2015.0,-0.5204699008128286
Guatemala,2010.0,0.917129419523831
Guatemala,2015.0,-0.44480677868984553
Guyana,2010.0,-0.9082434016931112
Honduras,2015.0,0.7279716142163758
Hungary,2010.0,-0.3880594370976095
Hungary,2015.0,-0.22727530258627235
Iceland,2010.0,-0.4731804494859649
Iceland,2015.0,-0.5677593521396924
India,2010.0,0.5766453699704122
India,2015.0,-0.22727530258627235
Indonesia,2010.0,0.6050190407665301
Indonesia,2015.0,-0.019201716748071376
Ireland,2010.0,-0.12323850966717254
Ireland,2015.0,-0.34076998577074574
Israel,2010.0,0.10375085670177422
Israel,2015.0,0.13212452749789222
Italy,2010.0,-0.19890163179015433
Italy,2015.0,-0.4164331078937275
Jamaica,2010.0,-0.31712526010731384
Jamaica,2015.0,-0.31712526010731384
Japan,2015.0,-0.5299277910782009
Kazakhstan,2010.0,0.42531912572444724
Kazakhstan,2015.0,0.6712242726241398
Kenya,2015.0,-0.09486483887105453
Kyrgyzstan,2010.0,-0.5204699008128286
Kyrgyzstan,2015.0,0.03754562484416464
Latvia,2010.0,-0.25564897338239034
Latvia,2015.0,-0.4920962300167093
Lebanon,2010.0,-0.0759490583403074
Lithuania,2010.0,-0.4542646689552191
Lithuania,2015.0,-0.25564897338239034
Luxembourg,2010.0,-0.6150488034665562
Luxembourg,2015.0,-0.5393856813435731
Madagascar,2015.0,4.038233207096843
Malawi,2010.0,3.3667229982553746
Malaysia,2010.0,-0.4164331078937275
Malaysia,2015.0,-0.047575387544190724
Maldives,2010.0,-0.0002859362173269321
Maldives,2015.0,-0.4353488884244733
Malta,2010.0,-0.25564897338239034
Malta,2015.0,-0.02865960701344494
Mauritius,2010.0,-0.1421542901979183
Mauritius,2015.0,-0.07594905834030874
Mexico,2010.0,0.4915243575820568
Mexico,2015.0,0.17941397882475602
Mongolia,2010.0,1.8629184460611068
Mongolia,2015.0,-0.4920962300167093
Morocco,2015.0,0.18887186909012824
Mozambique,2010.0,0.12266663723252001
Namibia,2010.0,0.7847189558086132
Nepal,2010.0,3.6977491575434214
Nepal,2015.0,4.217933122138923
Netherlands (Kingdom of the),2010.0,0.33074022307071965
Netherlands (Kingdom of the),2015.0,-0.17998585125940855
New Zealand,2010.0,-0.3123963149746277
New Zealand,2015.0,-0.6055909132011827
Nicaragua,2010.0,1.4656870549154506
Nicaragua,2015.0,0.5577295894396663
Norway,2010.0,-0.5110120105474552
Norway,2015.0,-0.4542646689552191
Oman,2015.0,0.5766453699704122
Pakistan,2010.0,-2.5539163078679716
Pakistan,2015.0,-2.4877110760103625
Panama,2015.0,-0.9177012919584835
Paraguay,2010.0,-0.35022787603611794
Paraguay,2015.0,-1.5419220494730863
Peru,2010.0,0.5104401381128025
Peru,2015.0,-0.4069752176283553
Philippines,2015.0,0.5577295894396663
Poland,2010.0,-0.8042066087740114
Poland,2015.0,-0.8042066087740114
Portugal,2010.0,0.5009822478474304
Portugal,2015.0,0.02808773457879242
Qatar,2010.0,-0.019201716748071376
Qatar,2015.0,-0.15161218046329053
Republic of Korea,2010.0,-0.2651068636477639
Republic of Korea,2015.0,-0.558301461874319
Republic of Moldova,2010.0,0.04700351510953686
Republic of Moldova,2015.0,0.04700351510953686
Romania,2010.0,-0.5204699008128286
Romania,2015.0,-1.5230062689423405
Russian Federation,2015.0,-0.4826383397513371
Rwanda,2010.0,4.303054134527279
Rwanda,2015.0,3.4045545593168662
Saint Lucia,2010.0,-0.4826383397513371
Saint Lucia,2015.0,-0.4826383397513371
Saint Vincent & Grenadines,2010.0,0.15104030802863802
San Marino,2010.0,-0.5204699008128286
Sao Tome and Principe,2010.0,1.096829334565914
Saudi Arabia,2015.0,0.70905583368563
Senegal,2010.0,-1.721621964515168
Senegal,2015.0,-1.400053695492495
Serbia,2010.0,-0.8514960601008752
Serbia,2015.0,-0.3218542052399999
Sierra Leone,2015.0,1.1630345664235235
Singapore,2010.0,0.11793769209983256
Singapore,2015.0,-0.298209479576568
Slovakia,2010.0,-0.34076998577074574
Slovakia,2015.0,-0.6150488034665562
Slovenia,2010.0,-0.4826383397513371
Slovenia,2015.0,-0.4069752176283553
South Africa,2010.0,-0.17998585125940855
South Africa,2015.0,-0.25564897338239034
Spain,2010.0,-0.09486483887105453
Spain,2015.0,0.2456192106823656
Sri Lanka,2010.0,-0.6055909132011827
Sri Lanka,2015.0,-0.3786015468322373
Suriname,2015.0,1.1157451150966597
Sweden,2010.0,-0.3218542052399999
Sweden,2015.0,1.9764131292455802
Switzerland,2010.0,-0.1894437415247821
Switzerland,2015.0,-0.057033277809562945
Tajikistan,2010.0,-0.4164331078937275
Thailand,2010.0,-0.7852908282432657
Thailand,2015.0,-0.66233825479342
Timor-Leste,2010.0,1.3805660425270967
Timor-Leste,2015.0,2.08044992216468
Tunisia,2010.0,0.2267034301516198
Türkiye,2010.0,-0.3786015468322373
Türkiye,2015.0,-0.17998585125940855
Uganda,2010.0,1.6832185310190253
Uganda,2015.0,-0.08540694860568096
Ukraine,2010.0,-0.5204699008128286
United Arab Emirates,2015.0,0.6617663823587662
United Kingdom,2010.0,-0.02865960701344494
United Kingdom,2015.0,-0.25564897338239034
United Rep. of Tanzania,2010.0,-0.07594905834030874
United Rep. of Tanzania,2015.0,-1.6648746229229319
United States of America,2015.0,-0.4069752176283553
Uruguay,2015.0,0.4915243575820568
Uzbekistan,2015.0,-0.5110120105474552
Venezuela (Boliv. Rep. of),2010.0,-0.3123963149746277
Viet Nam,2010.0,-0.13269639993254476
Yemen,2010.0,-2.109395465395452
Zambia,2010.0,0.25507710094773783
Zambia,2015.0,-0.2840226441785097
