Country,Year,Gross enrollment ratio - Primary (male)
Afghanistan,2010.0,1.1731035092467441
Afghanistan,2015.0,1.5625695444617067
Albania,2010.0,-1.2396860747678964
Albania,2015.0,-0.2137755429821436
Angola,2015.0,1.4105827990119648
Argentina,2010.0,1.0876109649312655
Argentina,2015.0,0.48916315472290994
Armenia,2010.0,-0.8122233531904993
Armenia,2015.0,-1.1351951872711998
Australia,2010.0,-0.05228962594179332
Australia,2015.0,-0.4417556611567559
Austria,2010.0,-0.5557457202440608
Austria,2015.0,-0.36576228843188424
Azerbaijan,2010.0,-1.1446943588618081
Azerbaijan,2015.0,0.10919629109855696
Bahamas,2015.0,-0.3182664304788401
Bahrain,2015.0,-0.5272482054722345
Bangladesh,2015.0,-0.2802697441164043
Barbados,2010.0,-0.7077324656938028
Barbados,2015.0,-0.9547109270496317
Belarus,2010.0,-0.16627968502909948
Belarus,2015.0,-0.6792349509219765
Belgium,2010.0,-0.4037589747943201
Belgium,2015.0,-0.2897689157070139
Belize,2010.0,0.8121349888036091
Belize,2015.0,0.8786291899378712
Bhutan,2010.0,0.07119960473612112
Bhutan,2015.0,-0.24227305775396982
Bolivia (Plurin. State of),2010.0,-0.1377821702572733
Bolivia (Plurin. State of),2015.0,-0.8882167259153696
Brazil,2010.0,0.4986623263135182
Brazil,2015.0,0.4986623263135182
Bulgaria,2010.0,0.2136871785952535
Bulgaria,2015.0,-1.097198500908764
Burundi,2010.0,3.0159427978248567
Burundi,2015.0,2.1610173546700624
Cabo Verde,2010.0,0.8501316751660449
Cabo Verde,2015.0,0.2801813797295155
Cambodia,2010.0,2.009030609220322
Cameroon,2010.0,0.9261250478909153
Cameroon,2015.0,1.5340720296898807
Canada,2010.0,-0.7457291520562372
Canada,2015.0,-0.3942598032037118
Chile,2010.0,-0.09978548389483745
Chile,2015.0,-0.3847606316131022
China,2010.0,-0.6127407497877145
China,2015.0,-0.9547109270496317
Colombia,2010.0,1.4295811421931828
Colombia,2015.0,1.0211167637970036
Costa Rica,2010.0,1.1161084797030918
Costa Rica,2015.0,0.5081614979041265
Croatia,2010.0,-1.363175305445811
Croatia,2015.0,-0.5367473770628441
Cuba,2010.0,-0.34676394525066767
Cyprus,2010.0,-0.4417556611567559
Cyprus,2015.0,-0.6602366077407587
Czechia,2010.0,-0.2137755429821436
Czechia,2015.0,-0.6602366077407587
Denmark,2010.0,-0.6412382645595407
Denmark,2015.0,-0.3942598032037118
Dominican Republic,2015.0,0.9641217342533511
Ecuador,2010.0,0.6316507285820423
Ecuador,2015.0,0.10919629109855696
El Salvador,2010.0,1.0781117933406559
El Salvador,2015.0,1.0781117933406559
Estonia,2010.0,-0.23277388616336153
Estonia,2015.0,-0.869218382734153
Eswatini,2010.0,2.351000786482239
Eswatini,2015.0,1.7715513194551011
Finland,2010.0,-0.6127407497877145
Finland,2015.0,-0.5177490338816263
France,2010.0,-0.270770572525796
France,2015.0,-0.3752614600224939
Georgia,2010.0,-0.337264773660058
Germany,2010.0,-0.28026974411640565
Germany,2015.0,-0.4322564895661463
Ghana,2015.0,0.2041880070046452
Greece,2010.0,-0.6317390929689324
