Country,Year,Gross enrollment ratio - Upper secondary level (female)
Afghanistan,2010.0,-1.9926913053846391
Afghanistan,2015.0,-1.7271098179581044
Albania,2010.0,-0.24499377522292742
Albania,2015.0,0.05771200614495058
Angola,2015.0,0.25903990790377557
Argentina,2010.0,-0.27926235424570617
Argentina,2015.0,0.10054772992342391
Armenia,2010.0,0.28902491454870677
Armenia,2015.0,0.21192061174745472
Australia,2010.0,3.2875255790418394
Australia,2015.0,3.2875255790418394
Austria,2010.0,0.13481630894620264
Austria,2015.0,0.27760205487444706
Azerbaijan,2010.0,-0.970345364538409
Azerbaijan,2015.0,-0.970345364538409
Bahamas,2015.0,0.5417556848416992
Bahrain,2015.0,0.47464638425542455
Bangladesh,2015.0,-1.078862531443875
Barbados,2010.0,0.6231435600207988
Barbados,2015.0,0.740227871681959
Belarus,2010.0,1.0115207889456235
Belarus,2015.0,0.6431335644507528
Belgium,2010.0,2.656412582038999
Belgium,2015.0,2.316582506729777
Belize,2010.0,-0.8846739169814624
Belize,2015.0,-0.693341017437615
Bhutan,2010.0,-1.3644340233003638
Bhutan,2015.0,-0.5762567057764543
Bolivia (Plurin. State of),2010.0,-0.11077517405037758
Bolivia (Plurin. State of),2015.0,0.012020567447912535
Brazil,2010.0,0.3489949278385693
Brazil,2015.0,0.3489949278385693
Bulgaria,2010.0,0.11768201943481349
Bulgaria,2015.0,0.6916807180663559
Burundi,2010.0,-2.2382827883812193
Burundi,2015.0,-1.8556169892935246
Cabo Verde,2010.0,-0.36493380180265284
Cabo Verde,2015.0,-0.03081515633056079
Cambodia,2010.0,-0.6733510130076606
Cameroon,2010.0,-1.6814183792610662
Cameroon,2015.0,-1.3672897382189284
Canada,2010.0,0.4118206560469969
Canada,2015.0,0.9229936264701121
Chile,2010.0,0.02058771220360712
Chile,2015.0,0.383263506861348
China,2010.0,-0.32780950786130936
China,2015.0,-0.18502376193306494
Colombia,2010.0,-0.01653658173773635
Colombia,2015.0,-0.06793945027190426
Costa Rica,2010.0,-0.1536108978288509
Costa Rica,2015.0,0.8744464728545089
Croatia,2010.0,0.3232934935714855
Croatia,2015.0,0.19478632223606554
Cuba,2010.0,0.10054772992342391
Cyprus,2010.0,0.01487628236647726
Cyprus,2015.0,0.3432834980014394
Czechia,2010.0,0.15195059845759223
Czechia,2015.0,0.6459892793693178
Denmark,2010.0,0.9772522099228447
Denmark,2015.0,1.7283052335054103
Dominican Republic,2015.0,-0.2021580514444541
Ecuador,2010.0,-0.1336208933988966
Ecuador,2015.0,0.3118706338972258
El Salvador,2010.0,-1.1502554044079971
El Salvador,2015.0,-0.8275596186101646
Estonia,2010.0,0.6145764152651039
Estonia,2015.0,0.814476459564646
Eswatini,2010.0,-1.0874296761995694
Eswatini,2015.0,-0.7390324561346531
Finland,2010.0,0.9401279159815012
Finland,2015.0,3.5017041979342056
France,2010.0,0.71738215233344
France,2015.0,0.6002978406722794
Georgia,2010.0,-0.970345364538409
Germany,2010.0,0.37755207702421817
Germany,2015.0,0.2404777609331036
Ghana,2015.0,-1.1930911281864705
Greece,2010.0,0.5317606826267223
Greece,2015.0,0.33757206816430996
Guatemala,2010.0,-1.4929411946357838
Guatemala,2015.0,-1.4386826111830506
Guyana,2010.0,-0.3877795211511718
Honduras,2015.0,-0.9889075115090807
Hungary,2010.0,0.2604677653630579
Hungary,2015.0,0.5717406914866305
Iceland,2010.0,0.8715907579359438
Iceland,2015.0,1.2942365658835475
India,2010.0,-1.1473996894894323
India,2015.0,-0.713331021867569
Indonesia,2010.0,-0.6990524472747446
Indonesia,2015.0,-0.3763566614769121
Ireland,2010.0,1.5426837637986925
Ireland,2015.0,1.539828048880128
Israel,2010.0,0.46607923949972996
Israel,2015.0,0.4289549455583861
Italy,2010.0,0.3518506427571344
Italy,2015.0,0.3804077919427833
Jamaica,2010.0,0.43466637539551595
Jamaica,2015.0,-0.25641663489718713
Japan,2015.0,0.42609923063982136
Kazakhstan,2010.0,0.21763204158458457
Kazakhstan,2015.0,0.6117207003465391
Kenya,2015.0,-0.5491274140500882
Kyrgyzstan,2010.0,-0.3963466659068664
Kyrgyzstan,2015.0,-0.09078516962042328
Latvia,2010.0,0.37469636210565344
Latvia,2015.0,0.9658293502485854
Lebanon,2010.0,0.3989699389134552
Lithuania,2010.0,0.5917306959165848
Lithuania,2015.0,0.7545064462747835
Luxembourg,2010.0,0.13481630894620264
Luxembourg,2015.0,0.27760205487444706
Madagascar,2015.0,-1.869895563886349
Malawi,2010.0,-2.1154870468829294
Malaysia,2010.0,-0.5020081178937674
Malaysia,2015.0,-0.019392296656301076
Maldives,2010.0,-0.6347988616070348
Maldives,2015.0,-1.2787625757434171
Malta,2010.0,-0.027959441411996067
Malta,2015.0,0.21192061174745472
Mauritius,2010.0,-0.07936230994616397
Mauritius,2015.0,0.12339344927194335
Mexico,2010.0,-0.7190424517046989
Mexico,2015.0,-0.4077695255811261
Mongolia,2010.0,0.2404777609331036
Mongolia,2015.0,0.13196059402763793
Morocco,2015.0,-0.027959441411996067
Mozambique,2010.0,-2.2211484988698302
Namibia,2010.0,0.5174821080338978
Nepal,2010.0,-1.3158868696847605
Nepal,2015.0,-1.0845739612810046
Netherlands (Kingdom of the),2010.0,0.8801579026916387
Netherlands (Kingdom of the),2015.0,1.382763728359059
New Zealand,2010.0,1.6283552113556392
New Zealand,2015.0,1.4570123162417459
Nicaragua,2010.0,-0.6619281533334009
Nicaragua,2015.0,-0.6619281533334009
Norway,2010.0,1.042933653049837
Norway,2015.0,0.9858193546785393
Oman,2015.0,0.30615920406009595
Pakistan,2010.0,-1.8784627086420436
Pakistan,2015.0,-1.7185426732024098
Panama,2015.0,-0.716186736786134
Paraguay,2010.0,-0.8247039036915996
Paraguay,2015.0,-0.6762067279262256
Peru,2010.0,-0.21072519620014868
Peru,2015.0,0.1091148746791189
Philippines,2015.0,-0.12790946356176716
Poland,2010.0,0.2633234802816226
Poland,2015.0,0.7002478628220504
Portugal,2010.0,0.5032035334410734
Portugal,2015.0,0.8601678982616845
Qatar,2010.0,0.3804077919427833
Qatar,2015.0,0.3804077919427833
Republic of Korea,2010.0,0.13196059402763793
Republic of Korea,2015.0,0.25761205044449276
Republic of Moldova,2010.0,0.5174821080338978
Republic of Moldova,2015.0,0.5174821080338978
Romania,2010.0,0.2718906250373172
Romania,2015.0,0.09769201500485919
Russian Federation,2015.0,0.47464638425542455
Rwanda,2010.0,-1.9755570158732496
Rwanda,2015.0,-1.5843240720298601
Saint Lucia,2010.0,0.17194060288754612
Saint Lucia,2015.0,-0.1221980337246373
Saint Vincent & Grenadines,2010.0,0.42609923063982136
San Marino,2010.0,1.0829136619097457
Sao Tome and Principe,2010.0,-1.9926913053846391
Saudi Arabia,2015.0,0.8258993192389057
Senegal,2010.0,-1.625731938349051
Senegal,2015.0,-1.6785626643425016
Serbia,2010.0,-0.019392296656301076
Serbia,2015.0,0.15766202829472167
Sierra Leone,2015.0,-1.8641841340492191
Singapore,2010.0,0.447517092529058
Singapore,2015.0,-0.18359590447378216
Slovakia,2010.0,0.15480631337615694
Slovakia,2015.0,-0.02224801157486621
Slovenia,2010.0,0.3489949278385693
Slovenia,2015.0,0.8601678982616845
South Africa,2010.0,0.13481630894620264
South Africa,2015.0,0.6459892793693178
Spain,2010.0,1.3342165747434562
Spain,2015.0,1.154306534873868
Sri Lanka,2010.0,0.3033034891415312
Sri Lanka,2015.0,0.3033034891415312
Suriname,2015.0,-0.5905352803692787
Sweden,2010.0,0.329004923408615
Sweden,2015.0,2.613576858260526
Switzerland,2010.0,-0.1421880381545916
Switzerland,2015.0,0.2204877565031493
Tajikistan,2010.0,-1.1359768298151727
Thailand,2010.0,-0.40205809574399626
Thailand,2015.0,0.9315607712258067
Timor-Leste,2010.0,-1.0560168120953557
Timor-Leste,2015.0,-0.716186736786134
Tunisia,2010.0,-0.09649659945755315
Türkiye,2010.0,-0.5734009908578895
Türkiye,2015.0,0.43752209031408107
Uganda,2010.0,-0.7119031644082865
Uganda,2015.0,-0.6933410174376148
Ukraine,2010.0,-0.3192423631056144
United Arab Emirates,2015.0,2.105259602755976
United Kingdom,2010.0,0.3432834980014394
United Kingdom,2015.0,1.4541566013231813
United Rep. of Tanzania,2010.0,-2.2896856569153874
United Rep. of Tanzania,2015.0,-2.358222814960945
United States of America,2015.0,0.2290549012588439
Uruguay,2015.0,-0.6605002958741186
Uzbekistan,2015.0,0.05771200614495058
Venezuela (Boliv. Rep. of),2010.0,-0.284973784082836
Viet Nam,2010.0,-0.05080516076051469
Yemen,2010.0,-1.7985026909222266
Zambia,2010.0,0.27760205487444706
Zambia,2015.0,0.29045277200798914
