Country,Year,Gross enrollment ratio - Upper secondary level (male)
Afghanistan,2010.0,-1.2757137407379016
Afghanistan,2015.0,-0.983285538083172
Albania,2010.0,-0.14144677286501092
Albania,2015.0,0.405009969469585
Angola,2015.0,0.09338193532742363
Argentina,2010.0,-0.6258732903940578
Argentina,2015.0,-0.1916617167552167
Armenia,2010.0,0.467040194275134
Armenia,2015.0,-0.017386323253913382
Australia,2010.0,4.546265930297172
Australia,2015.0,4.546265930297172
Austria,2010.0,0.405009969469585
Austria,2015.0,0.5231627786230112
Azerbaijan,2010.0,-0.8710403693874172
Azerbaijan,2015.0,-0.8710403693874172
Bahamas,2015.0,0.40648687958400315
Bahrain,2015.0,0.4611325538174626
Bangladesh,2015.0,-1.051223403346392
Barbados,2010.0,0.467040194275134
Barbados,2015.0,0.6472232282341087
Belarus,2010.0,1.3709091842988441
Belarus,2015.0,0.8864826667697968
Belgium,2010.0,1.9705346907524814
Belgium,2015.0,1.6810603083265878
Belize,2010.0,-1.1398380102114618
Belize,2015.0,-0.8799018300739241
Bhutan,2010.0,-1.2461755384495452
Bhutan,2015.0,-0.49590520032528934
Bolivia (Plurin. State of),2010.0,-0.08827800874596882
Bolivia (Plurin. State of),2015.0,0.05350536223814247
Brazil,2010.0,-0.011478682796241991
Brazil,2015.0,-0.011478682796241991
Bulgaria,2010.0,0.25436513779896686
Bulgaria,2015.0,0.8333139026507548
Burundi,2010.0,-2.0791528429811996
Burundi,2015.0,-1.6390336288846872
Cabo Verde,2010.0,-0.8680865491585815
Cabo Verde,2015.0,-0.5372586835289882
Cambodia,2010.0,-0.6214425600508047
Cameroon,2010.0,-1.4972502579005758
Cameroon,2015.0,-1.0896230663212556
Canada,2010.0,0.5645162618267104
Canada,2015.0,0.9544205320330168
Chile,2010.0,-0.05283216599994131
Chile,2015.0,0.3902408683254067
China,2010.0,-0.24778430110309427
China,2015.0,-0.25073812133192974
Colombia,2010.0,-0.3925214923160415
Colombia,2015.0,-0.41024441368905523
Costa Rica,2010.0,-0.45159789689275454
Costa Rica,2015.0,0.4138714301560923
Croatia,2010.0,0.07122828361115623
Croatia,2015.0,0.11553558704369103
Cuba,2010.0,0.0859973847553345
Cyprus,2010.0,0.0032904183479362764
Cyprus,2015.0,0.42568671107143463
Czechia,2010.0,0.16870435116273272
Czechia,2015.0,0.65313086869178
Denmark,2010.0,1.0518965995845933
Denmark,2015.0,1.5274616564271333
Dominican Republic,2015.0,-0.4693208182657683
Ecuador,2010.0,-0.2773225033914508
Ecuador,2015.0,0.21891929505293892
El Salvador,2010.0,-1.1605147518133112
El Salvador,2015.0,-0.8858094705315955
Estonia,2010.0,0.5822391831997242
Estonia,2015.0,0.8037757003623982
Eswatini,2010.0,-0.9448858751083086
Eswatini,2015.0,-0.7026726163437849
Finland,2010.0,0.7181149137261645
Finland,2015.0,2.8330501975724927
France,2010.0,0.7003919923531503
France,2015.0,0.5763315427420532
Georgia,2010.0,-0.8710403693874172
Germany,2010.0,0.8274062621930838
Germany,2015.0,0.6147312057169166
Ghana,2015.0,-1.0335004819733782
Greece,2010.0,0.6413155877764373
Greece,2015.0,0.6856228912089721
Guatemala,2010.0,-1.5061117185870827
Guatemala,2015.0,-1.470665875841055
Guyana,2010.0,-0.48113609918111105
Honduras,2015.0,-1.0231621111724534
Hungary,2010.0,0.3223030030621868
Hungary,2015.0,0.5763315427420532
Iceland,2010.0,0.8362677228795907
Iceland,2015.0,1.3531862629258296
India,2010.0,-0.9862393583120077
India,2015.0,-0.6406423915382361
Indonesia,2010.0,-0.6317809308517293
Indonesia,2015.0,-0.2389228404165874
Ireland,2010.0,1.2114028919417188
Ireland,2015.0,1.4122626675025427
Israel,2010.0,0.4611325538174626
Israel,2015.0,0.4463634526732843
Italy,2010.0,0.4138714301560923
Italy,2015.0,0.4227328908425992
Jamaica,2010.0,0.0032904183479362764
Jamaica,2015.0,-0.35116800911234214
Japan,2015.0,0.4611325538174626
Kazakhstan,2010.0,0.18347345230691098
Kazakhstan,2015.0,0.4109176099272564
Kenya,2015.0,-0.5667968858173452
Kyrgyzstan,2010.0,-0.3866138518583701
Kyrgyzstan,2015.0,-0.1975693572128881
Latvia,2010.0,0.4168252503849278
Latvia,2015.0,1.0932500827882927
Lebanon,2010.0,0.26618041871430964
Lithuania,2010.0,0.6176850259457521
