Country,Year,"Infant mortality for both sexes (per 1,000 live births)"
Afghanistan,2010.0,2.77482036556963
Afghanistan,2015.0,2.1767998990573196
Albania,2010.0,-0.29656630224602365
Albania,2015.0,-0.48816509248783196
Angola,2015.0,2.461295072446671
Argentina,2010.0,-0.22689401488536612
Argentina,2015.0,-0.3430144938197954
Armenia,2010.0,-0.04110124859027924
Armenia,2015.0,-0.25592413461897345
Australia,2010.0,-0.7494361700902978
Australia,2015.0,-0.8074964095575125
Austria,2010.0,-0.7552421940370192
Austria,2015.0,-0.8074964095575125
Azerbaijan,2010.0,0.8878625828851546
Azerbaijan,2015.0,0.35370837978678027
Bahamas,2015.0,-0.26753618251241634
Bahrain,2015.0,-0.6100915953689827
Bangladesh,2015.0,0.8065782476310542
Barbados,2010.0,-0.20366991909848026
Barbados,2015.0,-0.250118110672252
Belarus,2010.0,-0.7320180982501334
Belarus,2015.0,-0.8074964095575125
Belgium,2010.0,-0.7784662898239051
Belgium,2015.0,-0.801690385610791
Belize,2010.0,-0.05851932043044367
Belize,2015.0,-0.23270003883208756
Bhutan,2010.0,0.9981770378728628
Bhutan,2015.0,0.5975613855490817
Bolivia (Plurin. State of),2010.0,1.1433276365408993
Bolivia (Plurin. State of),2015.0,0.78916017579089
Brazil,2010.0,-0.02948920069683636
Brazil,2015.0,-0.1688337754181515
Bulgaria,2010.0,-0.45913497275422466
Bulgaria,2015.0,-0.6100915953689827
Burundi,2010.0,2.461295072446671
Burundi,2015.0,1.7007059354261596
Cabo Verde,2010.0,0.27242404453267965
Cabo Verde,2015.0,-0.0352952246435579
Cambodia,2010.0,1.0852673970736848
Cameroon,2010.0,3.1580179460532474
Cameroon,2015.0,2.443877000606507
Canada,2010.0,-0.6971819545698046
Canada,2015.0,-0.726212074303412
Chile,2010.0,-0.5636434037952109
Chile,2015.0,-0.5926735235288182
China,2010.0,-0.23270003883208756
China,2015.0,-0.47074702064766755
Colombia,2010.0,-0.08754944016405099
Colombia,2015.0,-0.22108799093864467
Costa Rica,2010.0,-0.45913497275422466
Costa Rica,2015.0,-0.5346132840616036
Croatia,2010.0,-0.7610482179837407
Croatia,2015.0,-0.7668542419304621
Cuba,2010.0,-0.6855699066763618
Cyprus,2010.0,-0.8191084574509553
Cyprus,2015.0,-0.8423325532378412
Czechia,2010.0,-0.8365265292911197
Czechia,2015.0,-0.8423325532378412
Denmark,2010.0,-0.790078337717348
Denmark,2015.0,-0.7726602658771837
Dominican Republic,2015.0,0.6556216250162963
Ecuador,2010.0,-0.05851932043044367
Ecuador,2015.0,-0.23270003883208756
El Salvador,2010.0,-0.04110124859027924
El Salvador,2015.0,-0.22689401488536612
Estonia,2010.0,-0.7494361700902978
Estonia,2015.0,-0.8249144813976768
Eswatini,2010.0,2.5716095274343793
Eswatini,2015.0,1.5091071451843514
Finland,2010.0,-0.8539446011312841
Finland,2015.0,-0.888780744811613
France,2010.0,-0.7784662898239051
France,2015.0,-0.7784662898239051
Georgia,2010.0,-0.250118110672252
Germany,2010.0,-0.7842723137706266
Germany,2015.0,-0.7958843616640694
Ghana,2015.0,1.2594481154753285
Greece,2010.0,-0.790078337717348
Greece,2015.0,-0.7668542419304621
Guatemala,2010.0,0.6556216250162963
Guatemala,2015.0,0.36532042768022316
Guyana,2010.0,0.7601300560572827
Honduras,2015.0,-0.04690727253700079
Hungary,2010.0,-0.6855699066763618
Hungary,2015.0,-0.7494361700902978
Iceland,2010.0,-0.8655566490247271
Iceland,2015.0,-0.8713626729714485
India,2010.0,1.6368396720122238
India,2015.0,1.02720715760647
Indonesia,2010.0,0.6149794573892461
Indonesia,2015.0,0.33629030794661585
Ireland,2010.0,-0.7726602658771837
Ireland,2015.0,-0.7842723137706266
Israel,2010.0,-0.7668542419304621
Israel,2015.0,-0.7958843616640694
Italy,2010.0,-0.801690385610791
Italy,2015.0,-0.8191084574509553
Jamaica,2010.0,-0.10496751200421542
Jamaica,2015.0,-0.22108799093864467
Japan,2015.0,-0.8713626729714485
Kazakhstan,2010.0,0.06340718245070713
Kazakhstan,2015.0,-0.3720446135534027
Kenya,2015.0,1.0388192054999128
Kyrgyzstan,2010.0,0.5104710263482598
Kyrgyzstan,2015.0,0.15630356559825043
Latvia,2010.0,-0.6855699066763618
Latvia,2015.0,-0.7552421940370192
Lebanon,2010.0,-0.48235906854111055
Lithuania,2010.0,-0.7029879785165261
Lithuania,2015.0,-0.7552421940370192
Luxembourg,2010.0,-0.7668542419304621
Luxembourg,2015.0,-0.8423325532378412
Madagascar,2015.0,1.4104047380900864
Malawi,2010.0,2.3161444737786345
Malaysia,2010.0,-0.5868674995820968
Malaysia,2015.0,-0.5868674995820968
Maldives,2010.0,-0.30237232619274507
Maldives,2015.0,-0.5055831643279963
Malta,2010.0,-0.63912171510259
Malta,2015.0,-0.6333156911558685
Mauritius,2010.0,-0.27334220645913776
Mauritius,2015.0,-0.27334220645913776
Mexico,2010.0,-0.05271329648372213
Mexico,2015.0,-0.19205787120503737
Mongolia,2010.0,0.27242404453267965
Mongolia,2015.0,-0.04110124859027924
Morocco,2015.0,0.16210958954497195
Mozambique,2010.0,3.4134829997089913
Namibia,2010.0,1.003983061819584
Nepal,2010.0,1.1433276365408993
Nepal,2015.0,0.7310999363236754
Netherlands (Kingdom of the),2010.0,-0.7668542419304621
Netherlands (Kingdom of the),2015.0,-0.801690385610791
New Zealand,2010.0,-0.6971819545698046
New Zealand,2015.0,-0.726212074303412
Nicaragua,2010.0,0.17372163743841484
Nicaragua,2015.0,-0.04110124859027924
Norway,2010.0,-0.8249144813976768
Norway,2015.0,-0.8539446011312841
Oman,2015.0,-0.43010485302061735
Pakistan,2010.0,3.105763730532754
Pakistan,2015.0,2.6180577190081507
Panama,2015.0,-0.11077353595093686
Paraguay,2010.0,0.27242404453267965
Paraguay,2015.0,0.09243730218431445
Peru,2010.0,-0.0759373922706081
Peru,2015.0,-0.25592413461897345
Philippines,2015.0,0.44660476293432355
Poland,2010.0,-0.7029879785165261
Poland,2015.0,-0.7552421940370192
Portugal,2010.0,-0.8365265292911197
Portugal,2015.0,-0.8133024335042339
Qatar,2010.0,-0.5346132840616036
Qatar,2015.0,-0.5984795474755398
Republic of Korea,2010.0,-0.7842723137706266
Republic of Korea,2015.0,-0.8191084574509553
Republic of Moldova,2010.0,-0.13980365568454417
Republic of Moldova,2015.0,-0.2094759430452017
Romania,2010.0,-0.38946268539356704
Romania,2015.0,-0.5288072601148822
Russian Federation,2015.0,-0.63912171510259
Rwanda,2010.0,1.6194216001720592
Rwanda,2015.0,1.0330131815531913
Saint Lucia,2010.0,-0.02948920069683636
Saint Lucia,2015.0,-0.13980365568454417
Saint Vincent & Grenadines,2010.0,-0.012071128856671928
San Marino,2010.0,-0.8133024335042339
Sao Tome and Principe,2010.0,0.5685312658154744
Saudi Arabia,2015.0,-0.5346132840616036
Senegal,2010.0,1.3349264267827075
Senegal,2015.0,0.8414143913113831
Serbia,2010.0,-0.6449277390493114
Serbia,2015.0,-0.7204060503566905
Sierra Leone,2015.0,4.127623945155731
Singapore,2010.0,-0.8597506250780056
Singapore,2015.0,-0.8655566490247271
Slovakia,2010.0,-0.6565397869427544
Slovakia,2015.0,-0.6913759306230832
Slovenia,2010.0,-0.8423325532378412
Slovenia,2015.0,-0.888780744811613
South Africa,2010.0,1.050431253393356
South Africa,2015.0,0.626591505282689
Spain,2010.0,-0.801690385610791
Spain,2015.0,-0.8365265292911197
Sri Lanka,2010.0,-0.4242988290738959
Sri Lanka,2015.0,-0.552031355901768
Suriname,2015.0,0.06340718245070713
Sweden,2010.0,-0.8365265292911197
Sweden,2015.0,-0.8481385771845626
Switzerland,2010.0,-0.7610482179837407
Switzerland,2015.0,-0.7552421940370192
Tajikistan,2010.0,1.1317155886474564
Thailand,2010.0,-0.31398437408618807
Thailand,2015.0,-0.4533289488075032
Timor-Leste,2010.0,1.758766174893374
Timor-Leste,2015.0,1.3233143788892643
Tunisia,2010.0,-0.08174341621732954
Türkiye,2010.0,-0.09916148805749388
Türkiye,2015.0,-0.34882051776651685
Uganda,2010.0,2.02003725249584
Uganda,2015.0,1.3000902831023786
Ukraine,2010.0,-0.49977714038127485
United Arab Emirates,2015.0,-0.6100915953689827
United Kingdom,2010.0,-0.7320180982501334
United Kingdom,2015.0,-0.7610482179837407
United Rep. of Tanzania,2010.0,1.8864987017212467
United Rep. of Tanzania,2015.0,1.3987926901966437
United States of America,2015.0,-0.6449277390493114
Uruguay,2015.0,-0.5462253319550466
Uzbekistan,2015.0,0.005346942983492503
Venezuela (Boliv. Rep. of),2010.0,-0.14560967963126561
Viet Nam,2010.0,0.05760115850398559
Yemen,2010.0,1.665869791745831
Zambia,2010.0,2.083903515909776
Zambia,2015.0,1.7007059354261596
