Country,Year,"Intentional homicide rates per 100,000"
Afghanistan,2010.0,-0.2909911001765525
Afghanistan,2015.0,0.22107848679912223
Albania,2010.0,-0.24372313830187484
Albania,2015.0,-0.3934050175716874
Angola,2015.0,-0.21221116371875637
Argentina,2010.0,-0.10979724632362145
Argentina,2015.0,-0.046773297157384576
Armenia,2010.0,-0.4170389985090262
Armenia,2015.0,-0.361893042988569
Australia,2010.0,-0.48794094132104276
Australia,2015.0,-0.48794094132104276
Austria,2010.0,-0.5115749222583815
Austria,2015.0,-0.5273309095499408
Azerbaijan,2010.0,-0.3934050175716874
Azerbaijan,2015.0,-0.40128301121746707
Bahamas,2015.0,2.3638927584511764
Bahrain,2015.0,-0.5509648904872796
Bangladesh,2015.0,-0.361893042988569
Barbados,2010.0,0.32349240419425723
Barbados,2015.0,0.30773641690269793
Belarus,2010.0,-0.24372313830187484
Belarus,2015.0,-0.2988690938223321
Belgium,2010.0,-0.5076359254354917
Belgium,2015.0,-0.2949300969994423
Belize,2010.0,2.5844765805330057
Belize,2015.0,2.0408950189742123
Bhutan,2010.0,-0.3855270239259078
Bhutan,2015.0,-0.44067297944636513
Bolivia (Plurin. State of),2010.0,-0.1806991891356379
Bolivia (Plurin. State of),2015.0,-0.1806991891356379
Brazil,2010.0,1.5288254319985377
Brazil,2015.0,1.6706293176225706
Bulgaria,2010.0,-0.4170389985090262
Bulgaria,2015.0,-0.43279498580058545
Burundi,2010.0,-0.22796715101031562
Burundi,2015.0,-0.22796715101031562
Cabo Verde,2010.0,0.08715259482086889
Cabo Verde,2015.0,0.08715259482086889
Cambodia,2010.0,-0.3855270239259078
Cameroon,2010.0,-0.17282119548985833
Cameroon,2015.0,-0.27523511288499325
Canada,2010.0,-0.44067297944636513
Canada,2015.0,-0.43279498580058545
Chile,2010.0,-0.3146250811138913
Chile,2015.0,-0.3855270239259078
China,2010.0,-0.48794094132104276
China,2015.0,-0.5115749222583815
Colombia,2010.0,2.1511869300151267
Colombia,2015.0,1.5682154002274358
Costa Rica,2010.0,0.3313703978400368
Costa Rica,2015.0,0.3313703978400368
Croatia,2010.0,-0.45642896673792427
Croatia,2015.0,-0.49581893496682233
Cuba,2010.0,-0.21221116371875637
Cyprus,2010.0,-0.5115749222583815
Cyprus,2015.0,-0.46430696038370395
Czechia,2010.0,-0.48794094132104276
Czechia,2015.0,-0.503696928612602
Denmark,2010.0,-0.503696928612602
Denmark,2015.0,-0.4800629476752632
Dominican Republic,2015.0,-0.4761239508523733
Ecuador,2010.0,0.811928010232593
Ecuador,2015.0,-0.05465129080316416
El Salvador,2010.0,4.569730979269468
El Salvador,2015.0,7.846976335913785
Estonia,2010.0,-0.14918721455251951
Estonia,2015.0,-0.2988690938223321
Eswatini,2010.0,0.9222199212735075
Eswatini,2015.0,0.21320049315334264
Finland,2010.0,-0.3934050175716874
Finland,2015.0,-0.4485509730921447
France,2010.0,-0.46430696038370395
France,2015.0,-0.44067297944636513
Georgia,2010.0,-0.1806991891356379
Germany,2010.0,-0.48794094132104276
Germany,2015.0,-0.503696928612602
Ghana,2015.0,-0.4249169921548059
Greece,2010.0,-0.44067297944636513
Greece,2015.0,-0.49581893496682233
Guatemala,2010.0,2.663256516990802
Guatemala,2015.0,2.663256516990802
Guyana,2010.0,0.9064639339819484
Honduras,2015.0,3.7976876019830654
Hungary,2010.0,-0.45642896673792427
Hungary,2015.0,-0.3934050175716874
Iceland,2010.0,-0.5194529159041612
Iceland,2015.0,-0.49581893496682233
India,2010.0,-0.27523511288499325
India,2015.0,-0.2988690938223321
Indonesia,2010.0,-0.49581893496682233
Indonesia,2015.0,-0.49581893496682233
Ireland,2010.0,-0.4721849540294835
Ireland,2015.0,-0.5115749222583815
Israel,2010.0,-0.40916100486324664
Israel,2015.0,-0.45642896673792427
Italy,2010.0,-0.49581893496682233
Italy,2015.0,-0.503696928612602
Jamaica,2010.0,3.6007377608385753
Jamaica,2015.0,2.8444503708437323
Japan,2015.0,-0.5430868968415
Kazakhstan,2010.0,0.08715259482086889
Kazakhstan,2015.0,-0.18857718278141755
Kenya,2015.0,-0.18857718278141755
Kyrgyzstan,2010.0,-0.2988690938223321
Kyrgyzstan,2015.0,-0.3264420715825607
Latvia,2010.0,-0.2988690938223321
Latvia,2015.0,-0.2988690938223321
Lebanon,2010.0,-0.30674708746811175
Lithuania,2010.0,-0.015261322574266106
Lithuania,2015.0,-0.10979724632362145
Luxembourg,2010.0,-0.40916100486324664
Luxembourg,2015.0,-0.49581893496682233
Madagascar,2015.0,0.288041432788249
Malawi,2010.0,-0.2909911001765525
Malaysia,2010.0,-0.4170389985090262
Malaysia,2015.0,-0.44067297944636513
Maldives,2010.0,-0.43279498580058545
Maldives,2015.0,-0.49581893496682233
Malta,2010.0,-0.48794094132104276
Malta,2015.0,-0.49581893496682233
Mauritius,2010.0,-0.361893042988569
Mauritius,2015.0,-0.44067297944636513
Mexico,2010.0,1.237339667104692
Mexico,2015.0,0.7961720229410338
Mongolia,2010.0,0.12654256304976694
Mongolia,2015.0,0.0004946647172931294
Morocco,2015.0,-0.4721849540294835
Mozambique,2010.0,-0.2673571192392137
Namibia,2010.0,0.6149781690881028
Nepal,2010.0,-0.33038106840545056
Nepal,2015.0,-0.40916100486324664
Netherlands (Kingdom of the),2010.0,-0.49581893496682233
Netherlands (Kingdom of the),2015.0,-0.5194529159041612
New Zealand,2010.0,-0.48794094132104276
New Zealand,2015.0,-0.48794094132104276
Nicaragua,2010.0,0.488930270755629
Nicaragua,2015.0,0.08715259482086889
Norway,2010.0,-0.5194529159041612
Norway,2015.0,-0.5273309095499408
Oman,2015.0,-0.5352089031957203
Pakistan,2010.0,-0.031017309865825342
