Country,Year,International migrant stock: Both sexes (number)
Afghanistan,2010.0,-0.36286965375124364
Afghanistan,2015.0,-0.30161771844415197
Albania,2010.0,-0.3756522980116401
Albania,2015.0,-0.3758467805770664
Angola,2015.0,-0.22600816585678393
Argentina,2010.0,0.07715192864988155
Argentina,2015.0,0.14955833013975028
Armenia,2010.0,-0.33475078073593567
Armenia,2015.0,-0.3399028899193671
Australia,2010.0,1.1301531136990677
Australia,2015.0,1.3488491459364131
Austria,2010.0,-0.06000761087871092
Austria,2015.0,-0.006228661691200408
Azerbaijan,2010.0,-0.3177680362378732
Azerbaijan,2015.0,-0.321007346112477
Bahamas,2015.0,-0.37398460355618507
Bahrain,2015.0,-0.20268343013157292
Bangladesh,2015.0,-0.02196909391874428
Barbados,2010.0,-0.38080724824184403
Barbados,2015.0,-0.38038109122596964
Belarus,2010.0,-0.10766565393336894
Belarus,2015.0,-0.10959575779981083
Belgium,2010.0,-0.0008867189279703945
Belgium,2015.0,0.07134870320158995
Belize,2010.0,-0.3773037210173981
Belize,2015.0,-0.37517939286250923
Bhutan,2010.0,-0.376779418749383
Bhutan,2015.0,-0.37608568678293536
Bolivia (Plurin. State of),2010.0,-0.35755689628667653
Bolivia (Plurin. State of),2015.0,-0.3523495158296711
Brazil,2010.0,-0.23621992106505102
Brazil,2015.0,-0.20583001857060165
Bulgaria,2010.0,-0.3695820141667339
Bulgaria,2015.0,-0.3573097252174694
Burundi,2010.0,-0.32540786928609367
Burundi,2015.0,-0.31224142543443095
Cabo Verde,2010.0,-0.38557297506421606
Cabo Verde,2015.0,-0.3854306644486119
Cambodia,2010.0,-0.36809924602847044
Cameroon,2010.0,-0.31400416581827495
Cameroon,2015.0,-0.25799112075966546
Canada,2010.0,1.3569838376770065
Canada,2015.0,1.5293659002600637
Chile,2010.0,-0.29233111137580126
Chile,2015.0,-0.2240592077708518
China,2010.0,-0.16978565816794772
China,2015.0,-0.1366784235740958
Colombia,2010.0,-0.3556293751900278
Colombia,2015.0,-0.34811403164583854
Costa Rica,2010.0,-0.28448181569735403
Costa Rica,2015.0,-0.2829533325337513
Croatia,2010.0,-0.24122842824798174
Croatia,2015.0,-0.2443677849315896
Cuba,2010.0,-0.38738091391944063
Cyprus,2010.0,-0.34060721124196675
Cyprus,2015.0,-0.3436494557813511
Czechia,2010.0,-0.28636362176866353
Czechia,2015.0,-0.28172470894313656
Denmark,2010.0,-0.25994731060101844
Denmark,2015.0,-0.23538413675997863
Dominican Republic,2015.0,-0.24741648639545688
Ecuador,2010.0,-0.2923659787680091
Ecuador,2015.0,-0.28919950300157293
El Salvador,2010.0,-0.37886578018831213
El Salvador,2015.0,-0.3784223186148235
Estonia,2010.0,-0.3330092190643958
Estonia,2015.0,-0.3390079601860309
Eswatini,2010.0,-0.38085580431395577
Eswatini,2015.0,-0.38092941325306134
Finland,2010.0,-0.330273807576441
Finland,2015.0,-0.3079651334878662
France,2010.0,1.4987159128474412
France,2015.0,1.6455081505966702
Georgia,2010.0,-0.3704108249933647
Germany,2010.0,2.1449964578238423
Germany,2015.0,2.2504134983172985
Ghana,2015.0,-0.28216636257777
Greece,2010.0,-0.0480628171392214
Greece,2015.0,-0.06826653384635614
Guatemala,2010.0,-0.37213921453895943
Guatemala,2015.0,-0.36995264163205493
Guyana,2010.0,-0.38717196784317254
Honduras,2015.0,-0.37938543347069953
Hungary,2010.0,-0.2765173284861311
Hungary,2015.0,-0.2664724202065033
Iceland,2010.0,-0.3802219926067099
Iceland,2015.0,-0.3791937919520457
India,2010.0,1.0503553416150824
India,2015.0,0.9565566327592583
Indonesia,2010.0,-0.309868376548459
Indonesia,2015.0,-0.30195554473309966
Ireland,2010.0,-0.20060300906316805
Ireland,2015.0,-0.1931868438790368
Israel,2010.0,0.11595365408373227
Israel,2015.0,0.13029758268410482
Italy,2010.0,1.1055943305666762
Italy,2015.0,1.1100973897010822
Jamaica,2010.0,-0.38316996604864323
Jamaica,2015.0,-0.38330220386205394
Japan,2015.0,0.18723784209846517
Kazakhstan,2010.0,0.47205226448720816
Kazakhstan,2015.0,0.5265804751917196
Kenya,2015.0,-0.09823647797243477
Kyrgyzstan,2010.0,-0.329348142882566
Kyrgyzstan,2015.0,-0.33649802450102057
Latvia,2010.0,-0.30824148985573624
Latvia,2015.0,-0.32073383079137946
Lebanon,2010.0,-0.18442221458588734
Lithuania,2010.0,-0.3477614835690697
Lithuania,2015.0,-0.35415409708416457
Luxembourg,2010.0,-0.3471493671280866
Luxembourg,2015.0,-0.3250031492595027
Madagascar,2015.0,-0.3810009559763324
Malawi,2010.0,-0.3330526095969212
Malaysia,2010.0,0.23507228832999724
Malaysia,2015.0,0.4580391886973417
Maldives,2010.0,-0.3751680286754192
Maldives,2015.0,-0.37268495379625793
Malta,2010.0,-0.38075998355462887
Malta,2015.0,-0.37568897334270324
Mauritius,2010.0,-0.3828706230296139
Mauritius,2015.0,-0.3819023426341515
Mexico,2010.0,-0.13883142047368896
Mexico,2015.0,-0.1274721406463129
Mongolia,2010.0,-0.38513674524614827
Mongolia,2015.0,-0.384149094077237
Morocco,2015.0,-0.3654141985514826
Mozambique,2010.0,-0.31013078595944593
Namibia,2010.0,-0.36246932443330104
Nepal,2010.0,-0.23899665686969665
Nepal,2015.0,-0.25770055915793294
Netherlands (Kingdom of the),2010.0,0.08400995728170704
Netherlands (Kingdom of the),2015.0,0.12631779270979687
New Zealand,2010.0,-0.14458247397215837
New Zealand,2015.0,-0.12074531671998086
Nicaragua,2010.0,-0.3796398362953276
Nicaragua,2015.0,-0.3788867006236369
Norway,2010.0,-0.25379282846085466
Norway,2015.0,-0.19651370964962936
Oman,2015.0,0.09013525412320793
Pakistan,2010.0,0.6292768259850416
Pakistan,2015.0,0.5163682034294939
Panama,2015.0,-0.3415788492381603
Paraguay,2010.0,-0.3478836485802871
Paraguay,2015.0,-0.34887465734992945
Peru,2010.0,-0.3622420406915014
Peru,2015.0,-0.3493106288910179
Philippines,2015.0,-0.33456611269572345
Poland,2010.0,-0.22336366786554898
Poland,2015.0,-0.23125712890745953
Portugal,2010.0,-0.19226505333985158
Portugal,2015.0,-0.1659236424962087
Qatar,2010.0,-0.01312723980877879
Qatar,2015.0,0.04659337128793766
Republic of Korea,2010.0,-0.15167372671630783
Republic of Korea,2015.0,-0.03521198775628505
Republic of Moldova,2010.0,-0.35584142059004775
Republic of Moldova,2015.0,-0.3618112346899993
Romania,2010.0,-0.34351566830606445
Romania,2015.0,-0.3166969616046423
Russian Federation,2015.0,2.617904964555462
Rwanda,2010.0,-0.2790264893402035
Rwanda,2015.0,-0.25636371751298404
Saint Lucia,2010.0,-0.38694778342512465
Saint Lucia,2015.0,-0.3870451538463275
Saint Vincent & Grenadines,2010.0,-0.38810512256944774
San Marino,2010.0,-0.3880247984288799
Sao Tome and Principe,2010.0,-0.38858784224379267
Saudi Arabia,2015.0,2.3927106835184806
Senegal,2010.0,-0.32314252190049725
Senegal,2015.0,-0.3204554082076749
Serbia,2010.0,-0.17587737900213732
Serbia,2015.0,-0.1807417676306087
Sierra Leone,2015.0,-0.37409075539468467
Singapore,2010.0,0.1698312650773422
Singapore,2015.0,0.25212115173476507
Slovakia,2010.0,-0.35149436075114987
Slovakia,2015.0,-0.34340899991360624
Slovenia,2010.0,-0.32373810861480407
Slovenia,2015.0,-0.3279144473703729
South Africa,2010.0,0.1569192240503075
South Africa,2015.0,0.4453957557287975
Spain,2010.0,1.2327102532005376
Spain,2015.0,1.1322782166848946
Sri Lanka,2010.0,-0.37922297725070864
Sri Lanka,2015.0,-0.37903004434715826
Suriname,2015.0,-0.37814647880091207
Sweden,2010.0,-0.04391359746648098
Sweden,2015.0,0.02460935136236534
Switzerland,2010.0,0.1466865484067157
Switzerland,2015.0,0.19395485149958314
Tajikistan,2010.0,-0.3170172250589964
Thailand,2010.0,0.4460809645549277
Thailand,2015.0,0.5069927490802578
Timor-Leste,2010.0,-0.38630467374662336
Timor-Leste,2015.0,-0.3870846702241631
Tunisia,2010.0,-0.3781348563368428
Türkiye,2010.0,-0.034477448027105236
Türkiye,2015.0,0.7332374425921243
Uganda,2010.0,-0.2619727186728286
Uganda,2015.0,-0.16944628221712413
Ukraine,2010.0,0.8552913947083362
United Arab Emirates,2015.0,1.6756718024572372
United Kingdom,2010.0,1.4495601215897194
United Kingdom,2015.0,1.7820483419288586
United Rep. of Tanzania,2010.0,-0.309258842877269
United Rep. of Tanzania,2015.0,-0.28996038698264315
United States of America,2015.0,12.054209628395776
Uruguay,2015.0,-0.36893322239468757
Uzbekistan,2015.0,-0.0868756484831828
Venezuela (Boliv. Rep. of),2010.0,-0.04129647683505373
Viet Nam,2010.0,-0.3733350369532008
Yemen,2010.0,-0.31479965891457373
Zambia,2010.0,-0.3505534577154951
Zambia,2015.0,-0.3551649931812144
