Country,Year,International migrant stock: Both sexes (% total population)
Afghanistan,2010.0,-0.6847345387420635
Afghanistan,2015.0,-0.6356291598796406
Albania,2010.0,-0.5701553213964102
Albania,2015.0,-0.5701553213964102
Angola,2015.0,-0.5292341723443912
Argentina,2010.0,-0.3573653463259112
Argentina,2015.0,-0.324628427084296
Armenia,2010.0,-0.12002268182420085
Armenia,2015.0,-0.1854965203074313
Australia,2010.0,1.459533671583734
Australia,2015.0,1.582297118739791
Austria,2010.0,0.5265314731976998
Austria,2015.0,0.6820318395953723
Azerbaijan,2010.0,-0.4637603338611607
Azerbaijan,2015.0,-0.4964972531027759
Bahamas,2015.0,0.5756368520601227
Bahrain,2015.0,3.595617652099127
Bangladesh,2015.0,-0.6438133896900444
Barbados,2010.0,0.23189920002316278
Barbados,2015.0,0.2728203490751818
Belarus,2010.0,0.23189920002316278
Belarus,2015.0,0.22371497021275902
Belgium,2010.0,0.4037680260416427
Belgium,2015.0,0.5756368520601227
Belize,2010.0,0.4610576347144694
Belize,2015.0,0.518347243387296
Bhutan,2010.0,-0.1363911414450085
Bhutan,2015.0,-0.14457537125541225
Bolivia (Plurin. State of),2010.0,-0.619260700258833
Bolivia (Plurin. State of),2015.0,-0.6110764704484292
Brazil,2010.0,-0.6929187685524673
Brazil,2015.0,-0.6929187685524673
Bulgaria,2010.0,-0.6356291598796406
Bulgaria,2015.0,-0.578339551206814
Burundi,2010.0,-0.4801287934819683
Burundi,2015.0,-0.4801287934819683
Cabo Verde,2010.0,-0.4801287934819683
Cabo Verde,2015.0,-0.48831302329237214
Cambodia,2010.0,-0.6683660791212559
Cameroon,2010.0,-0.6028922406380254
Cameroon,2015.0,-0.537418402154795
Canada,2010.0,0.903006044476275
Canada,2015.0,0.9684798829595055
Chile,2010.0,-0.537418402154795
Chile,2015.0,-0.4228391848091417
China,2010.0,-0.7092872281732749
China,2015.0,-0.7092872281732749
Colombia,2010.0,-0.6929187685524673
Colombia,2015.0,-0.6929187685524673
Costa Rica,2010.0,0.01092499514226008
Costa Rica,2015.0,-0.021811924099355173
Croatia,2010.0,0.36284687698962365
Croatia,2015.0,0.37103110680002754
Cuba,2010.0,-0.7092872281732749
Cyprus,2010.0,0.6656633799745644
Cyprus,2015.0,0.5265314731976998
Czechia,2010.0,-0.40647072518833405
Czechia,2015.0,-0.3982864953779302
Denmark,2010.0,0.019109224952663855
Denmark,2015.0,0.14187267210872095
Dominican Republic,2015.0,-0.28370727803227697
Ecuador,2010.0,-0.5128657127235835
Ecuador,2015.0,-0.5210499425339873
El Salvador,2010.0,-0.6601818493108521
El Salvador,2015.0,-0.6601818493108521
Estonia,2010.0,0.6247422309225453
Estonia,2015.0,0.4937945539560847
Eswatini,2010.0,-0.4637603338611607
Eswatini,2015.0,-0.4801287934819683
Finland,2010.0,-0.36554957613631506
Finland,2015.0,-0.2509703587906617
France,2010.0,0.23189920002316278
France,2015.0,0.2810045788855856
Georgia,2010.0,-0.5701553213964102
Germany,2010.0,0.2728203490751818
Germany,2015.0,0.3055572683167971
Ghana,2015.0,-0.5947080108276216
Greece,2010.0,0.2728203490751818
Greece,2015.0,0.24008342983356656
Guatemala,2010.0,-0.6765503089316597
Guatemala,2015.0,-0.6765503089316597
Guyana,2010.0,-0.6274449300692369
Honduras,2015.0,-0.6847345387420635
Hungary,2010.0,-0.3573653463259112
Hungary,2015.0,-0.31644419727389217
Iceland,2010.0,0.18279382116073997
Iceland,2015.0,0.2482676596439705
India,2010.0,-0.6765503089316597
India,2015.0,-0.6847345387420635
Indonesia,2010.0,-0.7092872281732749
Indonesia,2015.0,-0.7092872281732749
Ireland,2010.0,0.5920053116809303
Ireland,2015.0,0.6165580011121418
Israel,2010.0,1.459533671583734
Israel,2015.0,1.3449544542380805
Italy,2010.0,0.08458306343589436
Italy,2015.0,0.06821460381508666
Jamaica,2010.0,-0.6519976195004482
Jamaica,2015.0,-0.6519976195004482
Japan,2015.0,-0.578339551206814
Kazakhstan,2010.0,0.9602956531491016
Kazakhstan,2015.0,0.9357429637178901
Kenya,2015.0,-0.5210499425339873
Kyrgyzstan,2010.0,-0.36554957613631506
Kyrgyzstan,2015.0,-0.43920764442994925
Latvia,2010.0,0.4937945539560847
