Country,Year,International migrant stock: Female (% total Population)
Afghanistan,2010.0,-0.7402758823868612
Afghanistan,2015.0,-0.6754225612976111
Albania,2010.0,-0.6013044800527539
Albania,2015.0,-0.6013044800527539
Angola,2015.0,-0.5549806792747183
Argentina,2010.0,-0.341891195695754
Argentina,2015.0,-0.2955673949177183
Armenia,2010.0,-0.008359830093896844
Armenia,2015.0,-0.09174267149436108
Australia,2010.0,1.7056207986934246
Australia,2015.0,1.8445922010275317
Austria,2010.0,0.6679676612654247
Austria,2015.0,0.8347333440663534
Azerbaijan,2010.0,-0.4715978378742539
Azerbaijan,2015.0,-0.5086568784966825
Bahamas,2015.0,0.6401733807986032
Bahrain,2015.0,2.6320968142541394
Bangladesh,2015.0,-0.6846873214532182
Barbados,2010.0,0.3714953362859962
Barbados,2015.0,0.4178191370640319
Belarus,2010.0,0.3159067753523532
Belarus,2015.0,0.30664201519674605
Belgium,2010.0,0.5289962589313175
Belgium,2015.0,0.7050267018878533
Belize,2010.0,0.5475257792425318
Belize,2015.0,0.621643860487389
Bhutan,2010.0,-0.5086568784966825
Bhutan,2015.0,-0.5642454394303253
Bolivia (Plurin. State of),2010.0,-0.6568930409863968
Bolivia (Plurin. State of),2015.0,-0.6476282808307897
Brazil,2010.0,-0.7402758823868612
Brazil,2015.0,-0.7402758823868612
Bulgaria,2010.0,-0.666157801142004
Bulgaria,2015.0,-0.6105692402083611
Burundi,2010.0,-0.49939211834107533
Burundi,2015.0,-0.4901273581854682
Cabo Verde,2010.0,-0.49939211834107533
Cabo Verde,2015.0,-0.5086568784966825
Cambodia,2010.0,-0.7217463620756468
Cameroon,2010.0,-0.6476282808307897
Cameroon,2015.0,-0.5642454394303253
Canada,2010.0,1.131205669045782
Canada,2015.0,1.214588510446246
Chile,2010.0,-0.5549806792747183
Chile,2015.0,-0.4438035574074325
China,2010.0,-0.7588054026980754
China,2015.0,-0.7588054026980754
Colombia,2010.0,-0.7402758823868612
Colombia,2015.0,-0.7402758823868612
Costa Rica,2010.0,0.08428777146217459
Costa Rica,2015.0,0.047228730839746144
Croatia,2010.0,0.4919372183088889
Croatia,2015.0,0.501201978464496
Cuba,2010.0,-0.7588054026980754
Cyprus,2010.0,0.9922342667116747
Cyprus,2015.0,0.8162038237551391
Czechia,2010.0,-0.4901273581854682
Czechia,2015.0,-0.4623330777186468
Denmark,2010.0,0.08428777146217459
Denmark,2015.0,0.21399441364067462
Dominican Republic,2015.0,-0.4160092769406111
Ecuador,2010.0,-0.5457159191191111
Ecuador,2015.0,-0.5549806792747183
El Salvador,2010.0,-0.7032168417644326
El Salvador,2015.0,-0.7032168417644326
Estonia,2010.0,0.9273809456224248
Estonia,2015.0,0.7513505026658889
Eswatini,2010.0,-0.5086568784966825
Eswatini,2015.0,-0.5086568784966825
Finland,2010.0,-0.3882149964737897
Finland,2015.0,-0.24924359413968253
France,2010.0,0.30664201519674605
France,2015.0,0.3714953362859962
Georgia,2010.0,-0.5920397198971468
Germany,2010.0,0.34370105581917465
Germany,2015.0,0.39002485659721037
Ghana,2015.0,-0.6383635206751824
Greece,2010.0,0.3714953362859962
Greece,2015.0,0.38076009644160325
Guatemala,2010.0,-0.7217463620756468
Guatemala,2015.0,-0.7217463620756468
Guyana,2010.0,-0.6754225612976111
Honduras,2015.0,-0.7310111222312539
Hungary,2010.0,-0.36968547616257535
Hungary,2015.0,-0.33262643554014676
Iceland,2010.0,0.2510534542631032
Iceland,2015.0,0.3622305761303889
India,2010.0,-0.7217463620756468
India,2015.0,-0.7310111222312539
Indonesia,2010.0,-0.7588054026980754
Indonesia,2015.0,-0.7588054026980754
Ireland,2010.0,0.7328209823546746
Ireland,2015.0,0.7420857425102819
Israel,2010.0,1.8816512416499607
Israel,2015.0,1.7612093596270677
Italy,2010.0,0.17693537301824602
Italy,2015.0,0.17693537301824602
Jamaica,2010.0,-0.6939520816088254
Jamaica,2015.0,-0.6939520816088254
Japan,2015.0,-0.6013044800527539
Kazakhstan,2010.0,1.1219409088901746
Kazakhstan,2015.0,1.0570875878009247
Kenya,2015.0,-0.5549806792747183
Kyrgyzstan,2010.0,-0.30483215507332534
Kyrgyzstan,2015.0,-0.3974797566293968
Latvia,2010.0,0.760615262821496
Latvia,2015.0,0.6123791003317819
Lebanon,2010.0,0.6772324214210318
Lithuania,2010.0,-0.26777311445089674
Lithuania,2015.0,-0.30483215507332534
Luxembourg,2010.0,2.196653086940603
Luxembourg,2015.0,3.262100504835425
Madagascar,2015.0,-0.7588054026980754
Malawi,2010.0,-0.6290987605195754
Malaysia,2010.0,-0.12880171211678962
Malaysia,2015.0,0.03796397068413887
Maldives,2010.0,-0.04541887071632537
Maldives,2015.0,-0.36968547616257535
Malta,2010.0,-0.06394839102753967
Malta,2015.0,0.26958297457431746
Mauritius,2010.0,-0.5920397198971468
Mauritius,2015.0,-0.5827749597415397
Mexico,2010.0,-0.6939520816088254
Mexico,2015.0,-0.6939520816088254
Mongolia,2010.0,-0.7402758823868612
Mongolia,2015.0,-0.7310111222312539
Morocco,2015.0,-0.7402758823868612
Mozambique,2010.0,-0.6476282808307897
Namibia,2010.0,-0.3604207160069682
Nepal,2010.0,-0.5086568784966825
Nepal,2015.0,-0.5457159191191111
Netherlands (Kingdom of the),2010.0,0.27884773472992475
Netherlands (Kingdom of the),2015.0,0.3714953362859962
New Zealand,2010.0,1.270177071379889
New Zealand,2015.0,1.353559912780353
Nicaragua,2010.0,-0.7124816019200397
Nicaragua,2015.0,-0.7124816019200397
Norway,2010.0,0.20472965348506753
Norway,2015.0,0.5104667386201033
Oman,2015.0,1.131205669045782
Pakistan,2010.0,-0.5735101995859325
Pakistan,2015.0,-0.6105692402083611
Panama,2015.0,-0.35115595585136106
Paraguay,2010.0,-0.5364511589635039
Paraguay,2015.0,-0.5549806792747183
Peru,2010.0,-0.7402758823868612
Peru,2015.0,-0.7310111222312539
Philippines,2015.0,-0.7495406425424683
Poland,2010.0,-0.5920397198971468
Poland,2015.0,-0.6013044800527539
Portugal,2010.0,-0.11027219180557539
Portugal,2015.0,0.019434450372924652
Qatar,2010.0,4.531372646153604
Qatar,2015.0,3.3176890657690676
Republic of Korea,2010.0,-0.6198340003639683
Republic of Korea,2015.0,-0.5457159191191111
Republic of Moldova,2010.0,-0.43453879725182537
Republic of Moldova,2015.0,-0.4901273581854682
Romania,2010.0,-0.6846873214532182
Romania,2015.0,-0.6476282808307897
Russian Federation,2015.0,-0.06394839102753967
Rwanda,2010.0,-0.3789502363181825
Rwanda,2015.0,-0.35115595585136106
Saint Lucia,2010.0,-0.2770378746065039
Saint Lucia,2015.0,-0.31409691522893246
Saint Vincent & Grenadines,2010.0,-0.36968547616257535
San Marino,2010.0,0.30664201519674605
Sao Tome and Principe,2010.0,-0.6290987605195754
Saudi Arabia,2015.0,1.474001794803246
Senegal,2010.0,-0.6013044800527539
Senegal,2015.0,-0.6105692402083611
Serbia,2010.0,0.1676706128626389
Serbia,2015.0,0.1584058527070318
Sierra Leone,2015.0,-0.7032168417644326
Singapore,2010.0,3.790191833705032
Singapore,2015.0,4.049605118062032
Slovakia,2010.0,-0.49939211834107533
Slovakia,2015.0,-0.4715978378742539
Slovenia,2010.0,0.20472965348506753
Slovenia,2015.0,0.1491410925514247
South Africa,2010.0,-0.4530683175630396
South Africa,2015.0,-0.28630263476211104
Spain,2010.0,0.4178191370640319
Spain,2015.0,0.4085543769084246
Sri Lanka,2010.0,-0.7495406425424683
Sri Lanka,2015.0,-0.7495406425424683
Suriname,2015.0,-0.1195369519611825
Sweden,2010.0,0.5845848198649604
Sweden,2015.0,0.7791447831327103
Switzerland,2010.0,1.733415079160246
Switzerland,2015.0,1.7890036400938891
Tajikistan,2010.0,-0.3789502363181825
Thailand,2010.0,-0.33262643554014676
Thailand,2015.0,-0.31409691522893246
Timor-Leste,2010.0,-0.666157801142004
Timor-Leste,2015.0,-0.7124816019200397
Tunisia,2010.0,-0.7310111222312539
Türkiye,2010.0,-0.5827749597415397
Türkiye,2015.0,-0.31409691522893246
Uganda,2010.0,-0.6290987605195754
Uganda,2015.0,-0.5642454394303253
Ukraine,2010.0,0.26031821441871034
United Arab Emirates,2015.0,6.347265636652603
United Kingdom,2010.0,0.2881124948855318
United Kingdom,2015.0,0.4456134175308532
United Rep. of Tanzania,2010.0,-0.7032168417644326
United Rep. of Tanzania,2015.0,-0.6939520816088254
United States of America,2015.0,0.6494381409542105
Uruguay,2015.0,-0.5457159191191111
Uzbekistan,2015.0,-0.3974797566293968
Venezuela (Boliv. Rep. of),2010.0,-0.33262643554014676
Viet Nam,2010.0,-0.7588054026980754
Yemen,2010.0,-0.6568930409863968
Zambia,2010.0,-0.666157801142004
Zambia,2015.0,-0.6939520816088254
