Country,Year,International migrant stock: Male (% total Population)
Afghanistan,2010.0,-0.659334642494839
Afghanistan,2015.0,-0.6129406159406284
Albania,2010.0,-0.5510819138683477
Albania,2015.0,-0.5510819138683477
Angola,2015.0,-0.5201525628322072
Argentina,2010.0,-0.36550580765150537
Argentina,2015.0,-0.33457645661536506
Armenia,2010.0,-0.1953943769527333
Armenia,2015.0,-0.2572530790250141
Australia,2010.0,1.3510731748542857
Australia,2015.0,1.4747905789988471
Austria,2010.0,0.45412199480621473
Austria,2015.0,0.6087687499869167
Azerbaijan,2010.0,-0.4660261985189616
Azerbaijan,2015.0,-0.4892232117960669
Bahamas,2015.0,0.5855717367098113
Bahrain,2015.0,4.142447105865955
Bangladesh,2015.0,-0.6206729536996635
Barbados,2010.0,0.15256082220384598
Barbados,2015.0,0.1834901732399864
Belarus,2010.0,0.19122251099902146
Belarus,2015.0,0.1834901732399864
Belgium,2010.0,0.35360160393875845
Belgium,2015.0,0.5237130346375305
Belize,2010.0,0.43865731928814444
Belize,2015.0,0.4927836836013902
Bhutan,2010.0,0.15256082220384598
Bhutan,2015.0,0.1834901732399864
Bolivia (Plurin. State of),2010.0,-0.5897436026635232
Bolivia (Plurin. State of),2015.0,-0.5820112649044881
Brazil,2010.0,-0.667066980253874
Brazil,2015.0,-0.659334642494839
Bulgaria,2010.0,-0.6206729536996635
Bulgaria,2015.0,-0.5588142516273827
Burundi,2010.0,-0.47375853627799674
Burundi,2015.0,-0.4660261985189616
Cabo Verde,2010.0,-0.45829386075992656
Cabo Verde,2015.0,-0.4660261985189616
Cambodia,2010.0,-0.6438699669767688
Cameroon,2010.0,-0.5665465893864179
Cameroon,2015.0,-0.5201525628322072
Canada,2010.0,0.7866125184447239
Canada,2015.0,0.8407388827579695
Chile,2010.0,-0.5278849005912424
Chile,2015.0,-0.411899834205716
China,2010.0,-0.6825316557719443
China,2015.0,-0.6825316557719443
Colombia,2010.0,-0.667066980253874
Colombia,2015.0,-0.659334642494839
Costa Rica,2010.0,-0.025282946253961245
Costa Rica,2015.0,-0.06394463504913672
Croatia,2010.0,0.3072075773845479
Croatia,2015.0,0.2994752396255128
Cuba,2010.0,-0.6825316557719443
Cyprus,2010.0,0.45412199480621473
Cyprus,2015.0,0.3381369284206883
