Country,Year,Labour force participation - Female
Afghanistan,2010.0,-2.8787629621581976
Afghanistan,2015.0,-2.5910316468376946
Albania,2010.0,-0.3850915627138367
Albania,2015.0,-0.361113953103795
Angola,2015.0,1.868803740630105
Argentina,2010.0,-0.30516619734703027
Argentina,2015.0,-0.32115127042039177
Armenia,2010.0,0.31025911597737893
Armenia,2015.0,0.33423672558742124
Australia,2010.0,0.5660202851511598
Australia,2015.0,0.605982967834563
Austria,2010.0,0.21434867753721157
Austria,2015.0,0.31025911597737893
Azerbaijan,2010.0,0.6539381870546469
Azerbaijan,2015.0,0.7578411620314951
Bahamas,2015.0,1.213415744622292
Bahrain,2015.0,-0.6808154145710207
Bangladesh,2015.0,-1.4960541413124466
Barbados,2010.0,0.9096993562284272
Barbados,2015.0,0.7418560889581336
Belarus,2010.0,0.4381397005642693
Belarus,2015.0,0.5340501390044373
Belgium,2010.0,-0.30516619734703027
Belgium,2015.0,-0.28118858773698857
Belize,2010.0,-0.5289572203740887
Belize,2015.0,-0.2332333685169046
Bhutan,2010.0,0.9496620389118304
Bhutan,2015.0,0.28628150636733724
Bolivia (Plurin. State of),2010.0,0.853751600471663
Bolivia (Plurin. State of),2015.0,0.246318823683934
Brazil,2010.0,0.17438599485380835
Brazil,2015.0,0.11044570256036285
Bulgaria,2010.0,-0.29717366081035007
Bulgaria,2015.0,-0.2332333685169046
Burundi,2010.0,2.3563484693676235
Burundi,2015.0,2.332370859757582
Cabo Verde,2010.0,-0.2731960512003078
Cabo Verde,2015.0,-0.049405028173250015
Cambodia,2010.0,0.9576545754485112
Cameroon,2010.0,1.5171321330161562
Cameroon,2015.0,1.2373933542323337
Canada,2010.0,0.8697366735450239
Canada,2015.0,0.7738262351048566
Chile,2010.0,-0.48100200115400465
Chile,2015.0,-0.2492184415902661
China,2010.0,0.9736396485218727
China,2015.0,0.8937142831550663
Colombia,2010.0,0.3022665794406982
Colombia,2015.0,0.5260576024677566
Costa Rica,2010.0,-0.608882585740895
Costa Rica,2015.0,-0.12933039354005646
Croatia,2010.0,-0.43304678193392065
Croatia,2015.0,-0.36910648964047577
Cuba,2010.0,-0.7687333164745079
Cyprus,2010.0,0.47810238324767257
Cyprus,2015.0,0.47810238324767257
Czechia,2010.0,-0.17728561276014043
Czechia,2015.0,-0.025427418563207745
Denmark,2010.0,0.5899978947612015
Denmark,2015.0,0.4141620909542276
Dominican Republic,2015.0,-0.28118858773698857
Ecuador,2010.0,-0.28118858773698857
Ecuador,2015.0,0.03052033719355642
El Salvador,2010.0,-0.4490318550072822
El Salvador,2015.0,-0.5209646838374079
Estonia,2010.0,0.28628150636733724
Estonia,2015.0,0.33423672558742124
Eswatini,2010.0,-0.4010766357871982
Eswatini,2015.0,-0.3770990261771565
Finland,2010.0,0.3502217986607822
Finland,2015.0,0.32624418905074043
France,2010.0,-0.0014498089531660412
France,2015.0,0.006542727583514716
Georgia,2010.0,0.3422292621241014
Germany,2010.0,0.12643077563372437
Germany,2015.0,0.2543113602206148
Ghana,2015.0,1.085535160035401
Greece,2010.0,-0.5928975126675335
Greece,2015.0,-0.5289572203740887
Guatemala,2010.0,-0.7927109260845496
Guatemala,2015.0,-1.0404795587216498
Guyana,2010.0,-1.0644571683316915
Honduras,2015.0,-0.4010766357871982
Hungary,2010.0,-0.6328601953509367
Hungary,2015.0,-0.361113953103795
Iceland,2010.0,1.5251246695528364
Iceland,2015.0,1.7329306195065337
India,2010.0,-1.815755602779672
India,2015.0,-2.2233749661503848
Indonesia,2010.0,-0.049405028173250015
Indonesia,2015.0,-0.06539010124661096
Ireland,2010.0,0.3022665794406982
Ireland,2015.0,0.27029643329397574
Israel,2010.0,0.47810238324767257
Israel,2015.0,0.605982967834563
Italy,2010.0,-1.0644571683316915
Italy,2015.0,-0.9365765837448016
Jamaica,2010.0,0.06249048334027888
Jamaica,2015.0,0.5820053582245207
Japan,2015.0,-0.16929307622345965
Kazakhstan,2010.0,1.2054232080856107
Kazakhstan,2015.0,1.1734530619388888
Kenya,2015.0,1.5890649618462824
Kyrgyzstan,2010.0,0.07847555641364039
Kyrgyzstan,2015.0,-0.1213378570033757
Latvia,2010.0,0.1903710679271693
Latvia,2015.0,0.2063561410005308
Lebanon,2010.0,-2.2873152584438303
Lithuania,2010.0,0.07847555641364039
Lithuania,2015.0,0.2303337506105725
Luxembourg,2010.0,-0.1373229300767372
Luxembourg,2015.0,0.246318823683934
Madagascar,2015.0,2.5401768097112782
Malawi,2010.0,1.5171321330161562
Malaysia,2010.0,-0.6408527318876175
Malaysia,2015.0,-0.06539010124661096
Maldives,2010.0,-1.1603676067718594
Maldives,2015.0,-0.9205915106714401
Malta,2010.0,-1.4241213124823204
Malta,2015.0,-0.6968004876443823
Mauritius,2010.0,-0.6808154145710207
Mauritius,2015.0,-0.4490318550072822
Mexico,2010.0,-0.6888079511077014
Mexico,2015.0,-0.624867658814256
Mongolia,2010.0,0.21434867753721157
Mongolia,2015.0,0.1903710679271693
Morocco,2015.0,-2.1674272103936203
Mozambique,2010.0,2.3483559328309433
Namibia,2010.0,0.04650541026691793
Nepal,2010.0,-2.2313675026870654
Nepal,2015.0,-2.015569016196688
Netherlands (Kingdom of the),2010.0,0.5740128216878405
Netherlands (Kingdom of the),2015.0,0.5820053582245207
New Zealand,2010.0,0.805796381251579
New Zealand,2015.0,0.9496620389118304
Nicaragua,2010.0,-0.5689199030574918
Nicaragua,2015.0,-0.2572109781269469
Norway,2010.0,0.8137889177882598
Norway,2015.0,0.7898113081782175
Oman,2015.0,-1.7358302374128656
Pakistan,2010.0,-2.3592480872739556
Pakistan,2015.0,-2.199397356540343
Panama,2015.0,-0.1213378570033757
Paraguay,2010.0,0.12643077563372437
Paraguay,2015.0,0.262303896757295
Peru,2010.0,1.645012717603046
Peru,2015.0,1.2933411099890983
Philippines,2015.0,-0.24122590505358535
Poland,2010.0,-0.2572109781269469
Poland,2015.0,-0.19327068583350138
Portugal,2010.0,0.3502217986607822
Portugal,2015.0,0.17438599485380835
Qatar,2010.0,-0.06539010124661096
Qatar,2015.0,0.3821919448075046
Republic of Korea,2010.0,-0.12933039354005646
Republic of Korea,2015.0,0.06249048334027888
Republic of Moldova,2010.0,-1.032487022184969
Republic of Moldova,2015.0,-0.8246810722312721
Romania,2010.0,-0.4250542453972399
