Country,Year,Labour force participation - Male
Afghanistan,2010.0,0.875445984206921
Afghanistan,2015.0,0.4695456896179252
Albania,2010.0,-0.9449553369800914
Albania,2015.0,-0.908055310199274
Angola,2015.0,1.035346100257133
Argentina,2010.0,0.2235455110791397
Argentina,2015.0,0.0021453503942331065
Armenia,2010.0,-0.32995489063312766
Armenia,2015.0,-0.2684548459984313
Australia,2010.0,0.10054542180974696
Australia,2015.0,-0.04705468531352469
Austria,2010.0,-0.5390550423910957
Austria,2015.0,-0.6251551048796692
Azerbaijan,2010.0,-1.1417554798111191
Azerbaijan,2015.0,-0.6620551316604885
Bahamas,2015.0,1.2075462252342817
Bahrain,2015.0,1.810246662654307
Bangladesh,2015.0,1.0968461448918292
Barbados,2010.0,0.17434547537138365
Barbados,2015.0,-0.4898550066833379
Belarus,2010.0,-0.31765488170618733
Belarus,2015.0,-0.14545475672903854
Belgium,2010.0,-1.3139556047882697
Belgium,2015.0,-1.5476557744001158
Belize,2010.0,0.9738460556224365
Belize,2015.0,1.0476461091840714
Bhutan,2010.0,0.08824541288280838
Bhutan,2015.0,-0.17005477458291746
Bolivia (Plurin. State of),2010.0,1.2690462698689782
Bolivia (Plurin. State of),2015.0,0.9861460645493751
Brazil,2010.0,0.5556457521065005
Brazil,2015.0,0.4449456717640463
Bulgaria,2010.0,-1.47385572083848
Bulgaria,2015.0,-1.4123556762037834
Burundi,2010.0,0.801645930645286
Burundi,2015.0,0.7770459127914071
Cabo Verde,2010.0,-0.1331547478020982
Cabo Verde,2015.0,-0.4775549977563993
Cambodia,2010.0,0.5556457521065005
Cameroon,2010.0,1.3059462966497957
Cameroon,2015.0,0.7032458592297721
Canada,2010.0,0.014445359321171683
Canada,2015.0,-0.10855472994822107
Chile,2010.0,0.10054542180974696
Chile,2015.0,0.026745368248112005
China,2010.0,0.8139459395722246
China,2015.0,0.5310457342526216
Colombia,2010.0,1.1460461805995854
Colombia,2015.0,1.219846234161222
Costa Rica,2010.0,0.38344562712934993
Costa Rica,2015.0,0.5310457342526216
Croatia,2010.0,-1.449255702984601
Croatia,2015.0,-1.5230557565462368
Cuba,2010.0,-0.3791549263408837
Cyprus,2010.0,-0.05935469424046327
Cyprus,2015.0,-0.5390550423910957
Czechia,2010.0,-0.42835496204864154
Czechia,2015.0,-0.42835496204864154
Denmark,2010.0,-0.39145493526782404
Denmark,2015.0,-0.6743551405874271
Dominican Republic,2015.0,0.5433457431795619
Ecuador,2010.0,0.7524458949375282
Ecuador,2015.0,1.010746082403254
El Salvador,2010.0,0.5802457699603794
El Salvador,2015.0,0.3711456182024114
Estonia,2010.0,-0.5513550513180343
Estonia,2015.0,-0.3053548727792488
Eswatini,2010.0,-1.7321559083042048
Eswatini,2015.0,-1.8920560243544151
Finland,2010.0,-0.9203553191262125
Finland,2015.0,-1.117155461957241
France,2010.0,-1.1663554976649981
France,2015.0,-1.3139556047882697
Georgia,2010.0,0.6786458413758932
Germany,2010.0,-0.6620551316604885
Germany,2015.0,-0.6866551495143656
Ghana,2015.0,0.2481455289330186
Greece,2010.0,-1.0310553994686658
Greece,2015.0,-1.5353557654731762
Guatemala,2010.0,1.0599461181110101
Guatemala,2015.0,1.502746439480825
Guyana,2010.0,0.21124550215220114
Honduras,2015.0,1.2321462430881607
Hungary,2010.0,-1.6460558458156296
Hungary,2015.0,-1.0433554083956054
Iceland,2010.0,0.9492460377685576
Iceland,2015.0,1.182946207380403
India,2010.0,0.9615460466954963
India,2015.0,0.5433457431795619
Indonesia,2010.0,1.3305463145036744
Indonesia,2015.0,1.3428463234306147
Ireland,2010.0,-0.15775476565597712
Ireland,2015.0,-0.2930548638523102
Israel,2010.0,-0.2684548459984313
Israel,2015.0,-0.2684548459984313
Italy,2010.0,-1.5230557565462368
Italy,2015.0,-1.5476557744001158
Jamaica,2010.0,-0.31765488170618733
Jamaica,2015.0,0.17434547537138365
Japan,2015.0,-0.14545475672903854
Kazakhstan,2010.0,0.5433457431795619
Kazakhstan,2015.0,0.45724568069098664
Kenya,2015.0,0.7155458681567107
Kyrgyzstan,2010.0,0.6786458413758932
Kyrgyzstan,2015.0,0.518745725325683
Latvia,2010.0,-0.7973552298568197
Latvia,2015.0,-0.5021550156102764
Lebanon,2010.0,-0.5021550156102764
Lithuania,2010.0,-1.1663554976649981
Lithuania,2015.0,-0.8219552477106987
Luxembourg,2010.0,-0.698955158441306
Luxembourg,2015.0,-0.748155194149062
Madagascar,2015.0,2.154646912608606
Malawi,2010.0,0.9738460556224365
Malaysia,2010.0,0.592545778887318
Malaysia,2015.0,0.8139459395722246
Maldives,2010.0,-0.7112551673682445
Maldives,2015.0,-0.1946547924367946
Malta,2010.0,-0.6620551316604885
Malta,2015.0,-0.4529549799025204
Mauritius,2010.0,0.35884560927547277
Mauritius,2015.0,0.2973455646407764
Mexico,2010.0,0.9738460556224365
Mexico,2015.0,0.8877459931338613
Mongolia,2010.0,-0.8342552566376372
Mongolia,2015.0,-0.6743551405874271
Morocco,2015.0,-0.10855472994822107
Mozambique,2010.0,1.0599461181110101
Namibia,2010.0,-1.1294554708841806
Nepal,2010.0,-1.609155819034812
Nepal,2015.0,-1.9904560957699298
Netherlands (Kingdom of the),2010.0,-0.03475467638658437
Netherlands (Kingdom of the),2015.0,-0.17005477458291746
New Zealand,2010.0,0.32194558249465355
New Zealand,2015.0,0.3711456182024114
Nicaragua,2010.0,1.5396464662616425
Nicaragua,2015.0,1.4043463680653112
Norway,2010.0,-0.2315548192176138
Norway,2015.0,-0.3791549263408837
Oman,2015.0,1.9578467697775785
Pakistan,2010.0,0.8631459752799824
Pakistan,2015.0,0.9123460109877402
Panama,2015.0,0.7401458860105896
Paraguay,2010.0,1.3428463234306147
Paraguay,2015.0,1.182946207380403
Peru,2010.0,1.859446698362063
Peru,2015.0,1.5888465019694002
Philippines,2015.0,0.3342455914215939
Poland,2010.0,-0.8834552923453951
Poland,2015.0,-0.7850552209298812
Portugal,2010.0,-0.5267550334641554
Portugal,2015.0,-0.908055310199274
Qatar,2010.0,2.9910475196404764
Qatar,2015.0,2.9664475017865977
Republic of Korea,2010.0,0.18664548429832223
Republic of Korea,2015.0,0.32194558249465355
Republic of Moldova,2010.0,-3.2573570152446747
Republic of Moldova,2015.0,-2.863756729582618
Romania,2010.0,-0.8834552923453951
Romania,2015.0,-0.8465552655645776
Russian Federation,2015.0,-0.022454667459645795
Rwanda,2010.0,-0.3791549263408837
Rwanda,2015.0,-0.5144550245372168
Saint Lucia,2010.0,0.16204546644444334
Saint Lucia,2015.0,0.518745725325683
Saint Vincent & Grenadines,2010.0,0.518745725325683
San Marino,2010.0,1.0660961225744812
Sao Tome and Principe,2010.0,0.026745368248112005
Saudi Arabia,2015.0,1.035346100257133
Senegal,2010.0,-0.9941553726878484
Senegal,2015.0,-1.6952558815233865
Serbia,2010.0,-1.5845558011809333
Serbia,2015.0,-1.3139556047882697
Sierra Leone,2015.0,-1.7444559172311442
Singapore,2010.0,0.875445984206921
Singapore,2015.0,0.9492460377685576
Slovakia,2010.0,-0.4529549799025204
Slovakia,2015.0,-0.4406549709755801
Slovenia,2010.0,-0.7604552030760023
Slovenia,2015.0,-1.0556554173225448
South Africa,2010.0,-1.1417554798111191
South Africa,2015.0,-0.7973552298568197
Spain,2010.0,-0.5267550334641554
Spain,2015.0,-0.8465552655645776
Sri Lanka,2010.0,0.3342455914215939
Sri Lanka,2015.0,0.2850455557138361
Suriname,2015.0,-0.5759550691719132
Sweden,2010.0,-0.4898550066833379
Sweden,2015.0,-0.5144550245372168
Switzerland,2010.0,0.34654560034853243
Switzerland,2015.0,0.3342455914215939
Tajikistan,2010.0,-1.9166560422082939
Thailand,2010.0,1.0476461091840714
Thailand,2015.0,0.7893459217183474
Timor-Leste,2010.0,0.1989454932252608
Timor-Leste,2015.0,0.14974545751750476
Tunisia,2010.0,-0.2315548192176138
Türkiye,2010.0,-0.2438548281445524
Türkiye,2015.0,-0.022454667459645795
Uganda,2010.0,0.43264566283710776
Uganda,2015.0,0.2973455646407764
Ukraine,2010.0,-1.215555533372755
United Arab Emirates,2015.0,2.4498471268551496
United Kingdom,2010.0,-0.3053548727792488
United Kingdom,2015.0,-0.36685491741394516
United Rep. of Tanzania,2010.0,2.1423469036816676
United Rep. of Tanzania,2015.0,2.043946832266152
