Country,Year,Labour force participation - Total
Afghanistan,2010.0,-1.682410337660192
Afghanistan,2015.0,-1.6481031130576458
Albania,2010.0,-0.7332437903230917
Albania,2015.0,-0.6989365657205463
Angola,2015.0,1.7940550887311133
Argentina,2010.0,-0.1614567136139954
Argentina,2015.0,-0.27581412895581464
Armenia,2010.0,-0.02422781520381277
Armenia,2015.0,-0.001356332135448591
Australia,2010.0,0.4332018461634651
Australia,2015.0,0.38745888002673673
Austria,2010.0,-0.13858523054563204
Austria,2015.0,-0.10427800594308577
Azerbaijan,2010.0,-0.0814065228747224
Azerbaijan,2015.0,0.20448701547982576
Bahamas,2015.0,1.3709326519663818
Bahrain,2015.0,1.062167630543471
Bangladesh,2015.0,-0.6074506334470912
Barbados,2010.0,0.6847881599154662
Barbados,2015.0,0.27310146468491747
Belarus,2010.0,0.0901296001380065
Belarus,2015.0,0.23879424008237202
Belgium,2010.0,-0.8590369471990931
Belgium,2015.0,-0.950522879472549
Belize,2010.0,0.055822375535461044
Belize,2015.0,0.30740868928746296
Bhutan,2010.0,0.7534026091205587
Bhutan,2015.0,0.1701797908772803
Bolivia (Plurin. State of),2010.0,1.1993965289536528
Bolivia (Plurin. State of),2015.0,0.6276094522445566
Brazil,2010.0,0.33028017235582713
Brazil,2015.0,0.23879424008237202
Bulgaria,2010.0,-0.9390871379383668
Bulgaria,2015.0,-0.8590369471990931
Burundi,2010.0,2.045641402483116
Burundi,2015.0,2.0227699194147517
Cabo Verde,2010.0,-0.28724987048999673
Cabo Verde,2015.0,-0.27581412895581464
Cambodia,2010.0,0.9135029905991047
Cameroon,2010.0,1.6682619318551128
Cameroon,2015.0,1.1993965289536528
Canada,2010.0,0.604737969176194
Canada,2015.0,0.4789448123001918
Chile,2010.0,-0.3329928366267243
Chile,2015.0,-0.19576393821654167
China,2010.0,1.0736033720776523
China,2015.0,0.8791957659965592
Colombia,2010.0,0.7076596429838303
Colombia,2015.0,0.9020672490649234
Costa Rica,2010.0,-0.27581412895581464
Costa Rica,2015.0,0.13587256627473404
Croatia,2010.0,-1.0305730702118219
Croatia,2015.0,-1.01913732867764
Cuba,2010.0,-0.7561152733914559
Cyprus,2010.0,0.30740868928746296
Cyprus,2015.0,0.07869385860382441
Czechia,2010.0,-0.36730006122927056
Czechia,2015.0,-0.2529426458874513
Denmark,2010.0,0.21592275701400784
Denmark,2015.0,-0.03566355673799486
Dominican Republic,2015.0,0.04438663400127895
Ecuador,2010.0,0.12443682474055276
Ecuador,2015.0,0.46750907076601056
El Salvador,2010.0,-0.19576393821654167
El Salvador,2015.0,-0.3329928366267243
Estonia,2010.0,-0.12714948901144996
Estonia,2015.0,0.021515150932914773
Eswatini,2010.0,-1.1334947440194592
Eswatini,2015.0,-1.1792377101561875
Finland,2010.0,-0.20719967975072376
Finland,2015.0,-0.3101213535583609
France,2010.0,-0.584579150378727
France,2015.0,-0.6417578580496366
Georgia,2010.0,0.4446375876976464
Germany,2010.0,-0.2529426458874513
Germany,2015.0,-0.1614567136139954
Ghana,2015.0,0.8791957659965592
Greece,2010.0,-0.9390871379383668
Greece,2015.0,-1.122059002485278
Guatemala,2010.0,-0.12714948901144996
Guatemala,2015.0,-0.11571374747726786
Guyana,2010.0,-0.7103723072547283
Honduras,2015.0,0.2845372062190988
Hungary,2010.0,-1.2821593839638246
Hungary,2015.0,-0.8132939810623655
Iceland,2010.0,1.519597291910748
Iceland,2015.0,1.782619347196932
India,2010.0,-0.7904224979940013
India,2015.0,-1.2707236424296426
Indonesia,2010.0,0.570430744573647
Indonesia,2015.0,0.570430744573647
Ireland,2010.0,0.11300108320637067
Ireland,2015.0,0.021515150932914773
Israel,2010.0,0.19305127394564367
Israel,2015.0,0.2845372062190988
Italy,2010.0,-1.5337456977158266
Italy,2015.0,-1.4422597654423714
Jamaica,2010.0,-0.12714948901144996
Jamaica,2015.0,0.46750907076601056
Japan,2015.0,-0.24150690435326921
Kazakhstan,2010.0,1.062167630543471
Kazakhstan,2015.0,1.0049889228725615
Kenya,2015.0,1.4509828427056555
Kyrgyzstan,2010.0,0.30740868928746296
Kyrgyzstan,2015.0,0.0901296001380065
Latvia,2010.0,-0.3101213535583609
Latvia,2015.0,-0.1728924551481775
Lebanon,2010.0,-1.9225609098780128
Lithuania,2010.0,-0.5502719257761816
Lithuania,2015.0,-0.27581412895581464
Luxembourg,2010.0,-0.44735025196854356
Luxembourg,2015.0,-0.18432819668235959
Madagascar,2015.0,2.8004003437391227
Malawi,2010.0,1.4967258088423838
Malaysia,2010.0,-0.13858523054563204
Malaysia,2015.0,0.3531516554241913
Maldives,2010.0,-0.9848301040750944
Maldives,2015.0,-0.45878599350272564
Malta,2010.0,-1.3622095747030976
Malta,2015.0,-0.7103723072547283
Mauritius,2010.0,-0.3444285781609064
Mauritius,2015.0,-0.21863542128490504
Mexico,2010.0,-0.12714948901144996
Mexico,2015.0,-0.11571374747726786
Mongolia,2010.0,-0.2529426458874513
Mongolia,2015.0,-0.20719967975072376
Morocco,2015.0,-1.6137958884551005
Mozambique,2010.0,2.159998817824935
Namibia,2010.0,-0.5274004427078174
Nepal,2010.0,-2.4486050204503806
Nepal,2015.0,-2.5057837281212905
Netherlands (Kingdom of the),2010.0,0.36458739695837256
Netherlands (Kingdom of the),2015.0,0.3188444308216458
New Zealand,2010.0,0.6847881599154662
New Zealand,2015.0,0.8220170583256496
Nicaragua,2010.0,0.22735849854818993
Nicaragua,2015.0,0.39889462156091804
Norway,2010.0,0.45607332923182764
Norway,2015.0,0.3760231384925555
Oman,2015.0,0.8906315075307422
Pakistan,2010.0,-1.213544934758733
Pakistan,2015.0,-1.0991875194169136
