Country,Year,Life expectancy at birth for both sexes (years)
Afghanistan,2010.0,-1.7935585209732834
Afghanistan,2015.0,-1.542670373927573
Albania,2010.0,0.5759406455695318
Albania,2015.0,0.6735082583095285
Angola,2015.0,-1.8214349817561393
Argentina,2010.0,0.26929957695810847
Argentina,2015.0,0.4226201112638192
Armenia,2010.0,-0.07915618282759948
Armenia,2015.0,0.08810258186954073
Australia,2010.0,1.1613463220095197
Australia,2015.0,1.2449757043580907
Austria,2010.0,0.9383346357466674
Austria,2015.0,1.035902248486666
Azerbaijan,2010.0,-0.5948707073104477
Azerbaijan,2015.0,-0.3161060994818813
Bahamas,2015.0,-0.09309441321902899
Bahrain,2015.0,0.7850141014409566
Bangladesh,2015.0,-0.4554884033961645
Barbados,2010.0,0.26929957695810847
Barbados,2015.0,0.40868188087239166
Belarus,2010.0,-0.3718590210475954
Belarus,2015.0,0.03234966030382667
Belgium,2010.0,0.8686434837895258
Belgium,2015.0,0.9940875573123814
Belize,2010.0,-0.20460025635045515
Belize,2015.0,-0.07915618282759948
Bhutan,2010.0,-0.7481912416161584
Bhutan,2015.0,-0.4833648641790215
Bolivia (Plurin. State of),2010.0,-1.0548323102275818
Bolivia (Plurin. State of),2015.0,-0.901511775921871
Brazil,2010.0,-0.07915618282759948
Brazil,2015.0,0.07416435147811123
Bulgaria,2010.0,0.004473199520969635
Bulgaria,2015.0,0.1159790426523958
Burundi,2010.0,-2.323211275847559
Burundi,2015.0,-1.891126133713281
Cabo Verde,2010.0,-0.03734149165331493
Cabo Verde,2015.0,0.1159790426523958
Cambodia,2010.0,-0.845758854356157
Cameroon,2010.0,-2.3929024278047004
Cameroon,2015.0,-1.9608172856704225
Canada,2010.0,1.0498404788780935
Canada,2015.0,1.1334698612266647
Chile,2010.0,0.659570027918101
Chile,2015.0,0.8268287926152412
China,2010.0,0.25536134656667897
China,2015.0,0.4504965720466762
Colombia,2010.0,0.17173196421810985
Colombia,2015.0,0.3529289593066776
Costa Rica,2010.0,0.687446488700958
Costa Rica,2015.0,0.7431994102666701
Croatia,2010.0,0.4226201112638192
Croatia,2015.0,0.5341259543952454
Cuba,2010.0,0.5480641847866748
Cyprus,2010.0,0.8268287926152412
Cyprus,2015.0,1.008025787703809
Czechia,2010.0,0.5341259543952454
Czechia,2015.0,0.6735082583095285
Denmark,2010.0,0.7571376406580996
Denmark,2015.0,0.9662110965295244
Dominican Republic,2015.0,-0.10703264361045652
Ecuador,2010.0,0.22748488578382392
Ecuador,2015.0,0.4226201112638192
El Salvador,2010.0,-0.27429140830759674
El Salvador,2015.0,-0.27429140830759674
Estonia,2010.0,0.26929957695810847
Estonia,2015.0,0.5480641847866748
Eswatini,2010.0,-3.7867254669475323
Eswatini,2015.0,-2.6159141140675537
Finland,2010.0,0.8686434837895258
Finland,2015.0,1.063778709269523
France,2010.0,1.063778709269523
France,2015.0,1.1752845524009492
Georgia,2010.0,-0.23247671713331217
Germany,2010.0,0.8825817141809533
Germany,2015.0,0.9522728661380949
Ghana,2015.0,-1.4729792219704314
Greece,2010.0,0.9383346357466674
Greece,2015.0,0.9662110965295244
Guatemala,2010.0,-0.39973548183045043
Guatemala,2015.0,-0.23247671713331217
Guyana,2010.0,-0.9851411582704402
Honduras,2015.0,-0.17672379556759812
Hungary,2010.0,0.10204081226096826
Hungary,2015.0,0.26929957695810847
Iceland,2010.0,1.1055934004438075
Iceland,2015.0,1.2031610131838062
India,2010.0,-0.9572646974875831
India,2015.0,-0.5809324769190202
Indonesia,2010.0,-0.7063765504418739
Indonesia,2015.0,-0.5669942465275907
Ireland,2010.0,0.9383346357466674
Ireland,2015.0,1.063778709269523
Israel,2010.0,1.1055934004438075
Israel,2015.0,1.1613463220095197
Italy,2010.0,1.1613463220095197
Italy,2015.0,1.2170992435752337
Jamaica,2010.0,-0.16278556517617057
Jamaica,2015.0,-0.19066202595902565
