Country,Year,Life expectancy at birth for females (years)
Afghanistan,2010.0,-1.9333599095774436
Afghanistan,2015.0,-1.6322472203347276
Albania,2010.0,0.5713501873051553
Albania,2015.0,0.6397848894057728
Angola,2015.0,-1.8375513266365788
Argentina,2010.0,0.31129831932280827
Argentina,2015.0,0.5029154852045379
Armenia,2010.0,0.1196811534410806
Armenia,2015.0,0.31129831932280827
Australia,2010.0,1.0503931020094774
Australia,2015.0,1.118827804110095
Austria,2010.0,0.899836757388118
Austria,2015.0,0.9682714594887354
Azerbaijan,2010.0,-0.5099181058846011
Azerbaijan,2015.0,-0.23617929748213126
Bahamas,2015.0,-0.017188250760154282
Bahrain,2015.0,0.585037127725278
Bangladesh,2015.0,-0.5236050463047238
Barbados,2010.0,0.16074197470145069
Barbados,2015.0,0.28392443848256094
Belarus,2010.0,0.06493339176058588
Belarus,2015.0,0.31129831932280827
Belgium,2010.0,0.8314020552875004
Belgium,2015.0,0.899836757388118
Belize,2010.0,-0.15405765496138918
Belize,2015.0,-0.003501310340031572
Bhutan,2010.0,-0.8794654972279357
Bhutan,2015.0,-0.6057266888254659
Bolivia (Plurin. State of),2010.0,-1.0710826631096633
Bolivia (Plurin. State of),2015.0,-0.906839378068181
Brazil,2010.0,0.01018563008009114
Brazil,2015.0,0.14705503428132602
Bulgaria,2010.0,0.1196811534410806
Bulgaria,2015.0,0.21548973638194346
Burundi,2010.0,-2.480837526382383
Burundi,2015.0,-1.96073379041769
Cabo Verde,2010.0,0.21548973638194346
Cabo Verde,2015.0,0.33867220016305566
Cambodia,2010.0,-0.9205263184883057
Cameroon,2010.0,-2.535585288062877
Cameroon,2015.0,-2.097603194618925
Canada,2010.0,0.9545845190686126
Canada,2015.0,1.0093322807491074
Chile,2010.0,0.6397848894057728
Chile,2015.0,0.804028174447255
China,2010.0,0.24286361722219085
China,2015.0,0.44816772352404316
Colombia,2010.0,0.24286361722219085
Colombia,2015.0,0.37973302142342574
Costa Rica,2010.0,0.6260979489856482
Costa Rica,2015.0,0.6945326510862656
Croatia,2010.0,0.47554160436429055
Croatia,2015.0,0.543976306464908
