Country,Year,Life expectancy at birth for males (years)
Afghanistan,2010.0,-1.6363430256610005
Afghanistan,2015.0,-1.4269799272813797
Albania,2010.0,0.6247784368389063
Albania,2015.0,0.7503962958666797
Angola,2015.0,-1.7898759644727218
Argentina,2010.0,0.20605224007966438
Argentina,2015.0,0.3177125592154618
Armenia,2010.0,-0.33829181570735095
Armenia,2015.0,-0.19871641678760363
Australia,2010.0,1.2249526521938194
Australia,2015.0,1.3366129713296169
Austria,2010.0,0.9318443144623508
Austria,2015.0,1.0574621734901222
Azerbaijan,2010.0,-0.6593152332227694
Azerbaijan,2015.0,-0.4080795151672246
Bahamas,2015.0,-0.17080133700365377
Bahrain,2015.0,1.0155895538141984
Bangladesh,2015.0,-0.3522493555993249
Barbados,2010.0,0.35958517889138564
Barbados,2015.0,0.485203037919159
Belarus,2010.0,-0.7709755523585669
Belarus,2015.0,-0.2964191960314252
Belgium,2010.0,0.889971694786427
Belgium,2015.0,1.0574621734901222
Belize,2010.0,-0.19871641678760363
Belize,2015.0,-0.08705609765180419
Bhutan,2010.0,-0.5616124539789459
Bhutan,2015.0,-0.2964191960314252
Bolivia (Plurin. State of),2010.0,-1.0082537305221377
Bolivia (Plurin. State of),2015.0,-0.8547207917104144
Brazil,2010.0,-0.17080133700365377
Brazil,2015.0,0.01064668159201734
Bulgaria,2010.0,-0.08705609765180419
Bulgaria,2015.0,0.02460422148399326
Burundi,2010.0,-2.13881446177209
Burundi,2015.0,-1.7898759644727218
Cabo Verde,2010.0,-0.28246165613945123
Cabo Verde,2015.0,-0.12892871732772998
Cambodia,2010.0,-0.7849330922505408
Cameroon,2010.0,-2.2086021612319637
Cameroon,2015.0,-1.8038335043646967
Canada,2010.0,1.1272498729499958
Canada,2015.0,1.2389101920857952
Chile,2010.0,0.6526935166228561
Chile,2015.0,0.8341415352185273
China,2010.0,0.28979747943151196
China,2015.0,0.4712454980271851
Colombia,2010.0,0.10834946083584085
Colombia,2015.0,0.3177125592154618
Costa Rica,2010.0,0.7364387559747038
Costa Rica,2015.0,0.7922689155426035
Croatia,2010.0,0.35958517889138564
Croatia,2015.0,0.485203037919159
Cuba,2010.0,0.6247784368389063
Cyprus,2010.0,0.889971694786427
Cyprus,2015.0,1.1272498729499958
Czechia,2010.0,0.4712454980271851
Czechia,2015.0,0.6387359767308802
Denmark,2010.0,0.8480990751105012
Denmark,2015.0,1.085377253274072
Dominican Republic,2015.0,-0.17080133700365377
Ecuador,2010.0,0.20605224007966438
Ecuador,2015.0,0.4712454980271851
El Salvador,2010.0,-0.533697374194996
El Salvador,2015.0,-0.5895275337628957
Estonia,2010.0,-0.0451834779758804
Estonia,2015.0,0.28979747943151196
Eswatini,2010.0,-3.6462287701053615
Eswatini,2015.0,-2.6412858978831806
Finland,2010.0,0.7922689155426035
Finland,2015.0,1.0574621734901222
France,2010.0,0.9737169341382746
France,2015.0,1.113292333058022
Georgia,2010.0,-0.47786721462709825
Germany,2010.0,0.889971694786427
Germany,2015.0,0.9876744740302486
Ghana,2015.0,-1.343234687929531
Greece,2010.0,0.9318443144623508
Greece,2015.0,0.9597593942463006
Guatemala,2010.0,-0.47786721462709825
Guatemala,2015.0,-0.2685041162474773
Guyana,2010.0,-1.0361688103060864
Honduras,2015.0,-0.11497117743575405
Hungary,2010.0,-0.05914101786785632
Hungary,2015.0,0.16417962040374057
Iceland,2010.0,1.1970375724098694
Iceland,2015.0,1.4064006707894905
India,2010.0,-0.7988906321425167
