Country,Year,"Maternal mortality ratio (deaths per 100,000 population)"
Afghanistan,2010.0,5.1860923299158195
Afghanistan,2015.0,4.391041827512203
Albania,2010.0,-0.5667121183705113
Albania,2015.0,-0.5796397688160986
Angola,2015.0,1.1462015656698006
Argentina,2010.0,-0.2693761581220043
Argentina,2015.0,-0.3727973616867024
Armenia,2010.0,-0.41158031302346415
Armenia,2015.0,-0.4632909148058132
Australia,2010.0,-0.5925674192616858
Australia,2015.0,-0.5925674192616858
Austria,2010.0,-0.5861035940388922
Austria,2015.0,-0.5861035940388922
Azerbaijan,2010.0,-0.41158031302346415
Azerbaijan,2015.0,-0.4374356139146387
Bahamas,2015.0,-0.08192522666098905
Bahrain,2015.0,-0.5214653418109558
Bangladesh,2015.0,0.7454444018565956
Barbados,2010.0,-0.2823038085675916
Barbados,2015.0,-0.3081591094587661
Belarus,2010.0,-0.6054950697072731
Belarus,2015.0,-0.6184227201528604
Belgium,2010.0,-0.5861035940388922
Belgium,2015.0,-0.5925674192616858
Belize,2010.0,-0.41158031302346415
Belize,2015.0,-0.3081591094587661
Bhutan,2010.0,0.13138100569120073
Bhutan,2015.0,-0.14656347888892535
Bolivia (Plurin. State of),2010.0,0.564457295618374
Bolivia (Plurin. State of),2015.0,0.44164461638529495
Brazil,2010.0,-0.21120173111686164
Brazil,2015.0,-0.2241293815624489
Bulgaria,2010.0,-0.5602482931477176
Bulgaria,2015.0,-0.5731759435933049
Burundi,2010.0,3.305119190082873
Burundi,2015.0,2.6975196191402717
Cabo Verde,2010.0,-0.2758399833447979
Cabo Verde,2015.0,-0.32108675990435337
Cambodia,2010.0,1.1591292161153879
Cameroon,2010.0,2.781549347036589
Cameroon,2015.0,2.2644433292130985
Canada,2010.0,-0.5473206427021304
Canada,2015.0,-0.5473206427021304
Chile,2010.0,-0.4762185652514005
Chile,2015.0,-0.5214653418109558
China,2010.0,-0.41158031302346415
China,2015.0,-0.4568270895830196
Colombia,2010.0,-0.16595495455730624
Colombia,2015.0,-0.17241877978009987
Costa Rica,2010.0,-0.45036326436022595
Costa Rica,2015.0,-0.4956100409197814
Croatia,2010.0,-0.5796397688160986
Croatia,2015.0,-0.5861035940388922
Cuba,2010.0,-0.3598697112411151
Cyprus,2010.0,-0.45036326436022595
Cyprus,2015.0,-0.3534058860183215
Czechia,2010.0,-0.5990312444844794
Czechia,2015.0,-0.5990312444844794
Denmark,2010.0,-0.5796397688160986
Denmark,2015.0,-0.5861035940388922
Dominican Republic,2015.0,0.0150321516809154
Ecuador,2010.0,-0.1336358284433381
Ecuador,2015.0,-0.1982740806712744
El Salvador,2010.0,-0.3921888373550833
El Salvador,2015.0,-0.34047823557273427
Estonia,2010.0,-0.5731759435933049
Estonia,2015.0,-0.5861035940388922
Eswatini,2010.0,3.7188040043416657
Eswatini,2015.0,1.559886379928593
Finland,2010.0,-0.5796397688160986
Finland,2015.0,-0.5796397688160986
France,2010.0,-0.5667121183705113
France,2015.0,-0.5731759435933049
Georgia,2010.0,-0.3598697112411151
Germany,2010.0,-0.5861035940388922
Germany,2015.0,-0.5925674192616858
Ghana,2015.0,1.2237674683433242
Greece,2010.0,-0.6054950697072731
Greece,2015.0,-0.5925674192616858
Guatemala,2010.0,0.17016395702796253
Guatemala,2015.0,0.06674275346326444
Guyana,2010.0,0.3317595875978033
Honduras,2015.0,-0.19181025544848077
Hungary,2010.0,-0.5279291670337495
Hungary,2015.0,-0.5279291670337495
Iceland,2010.0,-0.6054950697072731
Iceland,2015.0,-0.6054950697072731
India,2010.0,0.5321381695044058
India,2015.0,0.20248308314193067
Indonesia,2010.0,0.790691178416151
Indonesia,2015.0,0.6290955478463103
Ireland,2010.0,-0.5796397688160986
Ireland,2015.0,-0.5861035940388922
Israel,2010.0,-0.6054950697072731
Israel,2015.0,-0.6054950697072731
Italy,2010.0,-0.5796397688160986
Italy,2015.0,-0.5796397688160986
Jamaica,2010.0,-0.05606992576981453
Jamaica,2015.0,0.0021045012353281393
Japan,2015.0,-0.5925674192616858
Kazakhstan,2010.0,-0.4956100409197814
Kazakhstan,2015.0,-0.5408568174793368
Kenya,2015.0,2.497141037233669
Kyrgyzstan,2010.0,-0.15949112933451262
Kyrgyzstan,2015.0,-0.23059320678524253
Latvia,2010.0,-0.4632909148058132
Latvia,2015.0,-0.4826823904741941
Lebanon,2010.0,-0.5085376913653686
Lithuania,2010.0,-0.5602482931477176
Lithuania,2015.0,-0.5731759435933049
Luxembourg,2010.0,-0.5731759435933049
Luxembourg,2015.0,-0.5796397688160986
Madagascar,2015.0,2.4906772120108758
Malawi,2010.0,2.691055793917478
Malaysia,2010.0,-0.4632909148058132
Malaysia,2015.0,-0.4826823904741941
Maldives,2010.0,-0.23705703200803616
Maldives,2015.0,-0.2564485076764171
Malta,2010.0,-0.5925674192616858
Malta,2015.0,-0.5990312444844794
Mauritius,2010.0,-0.2693761581220043
Mauritius,2015.0,-0.2564485076764171
Mexico,2010.0,-0.2952314590131788
Mexico,2015.0,-0.2887676337903852
Mongolia,2010.0,-0.204737905894068
Mongolia,2015.0,-0.32108675990435337
Morocco,2015.0,0.0021045012353281393
Mozambique,2010.0,1.4564651763638947
Namibia,2010.0,2.4906772120108758
Nepal,2010.0,1.6309884573793227
Nepal,2015.0,1.0039974107683407
Netherlands (Kingdom of the),2010.0,-0.5861035940388922
Netherlands (Kingdom of the),2015.0,-0.5925674192616858
New Zealand,2010.0,-0.5602482931477176
New Zealand,2015.0,-0.5667121183705113
Nicaragua,2010.0,0.008568326458121769
Nicaragua,2015.0,-0.1142443527749572
Norway,2010.0,-0.5990312444844794
Norway,2015.0,-0.6119588949300667
Oman,2015.0,-0.5279291670337495
Pakistan,2010.0,0.8617932558668808
Pakistan,2015.0,0.5838487712867548
Panama,2015.0,-0.3081591094587661
Paraguay,2010.0,0.021495976903709028
Paraguay,2015.0,-0.10778052755216357
Peru,2010.0,-0.1336358284433381
Peru,2015.0,-0.204737905894068
Philippines,2015.0,-0.05606992576981453
