Country,Year,Other of concern to UNHCR (number)
Afghanistan,2010.0,1.9130447328246316
Afghanistan,2015.0,1.9167512767606874
Albania,2010.0,-0.19952500849065155
Albania,2015.0,-0.19952500849065155
Angola,2015.0,-0.20763986393162723
Argentina,2010.0,-0.20797827976432814
Argentina,2015.0,-0.21093140318863404
Armenia,2010.0,-0.06579375822301863
Armenia,2015.0,-0.21235809309386264
Australia,2010.0,-0.21275528641329583
Australia,2015.0,-0.21275528641329583
Austria,2010.0,-0.2119448695507752
Austria,2015.0,-0.21176675595461683
Azerbaijan,2010.0,0.846938678474817
Azerbaijan,2015.0,0.9030587103523985
Bahamas,2015.0,-0.21272856937387208
Bahrain,2015.0,-0.19096041621937598
Bangladesh,2015.0,-0.2120428320286623
Barbados,2010.0,-0.21277487890887326
Barbados,2015.0,-0.21277487890887326
Belarus,2010.0,-0.19900669792583067
Belarus,2015.0,-0.20155728462281863
Belgium,2010.0,-0.21154233282345727
Belgium,2015.0,-0.20340076034305785
Belize,2010.0,-0.21277844118079642
Belize,2015.0,-0.21277844118079642
Bhutan,2010.0,-0.21277844118079642
Bhutan,2015.0,-0.21277844118079642
Bolivia (Plurin. State of),2010.0,-0.21277666004483484
Bolivia (Plurin. State of),2015.0,-0.21277666004483484
Brazil,2010.0,-0.21276775436502693
Brazil,2015.0,-0.1409345410343533
Bulgaria,2010.0,-0.21266266734329348
Bulgaria,2015.0,-0.21266266734329348
Burundi,2010.0,0.07102063839411582
Burundi,2015.0,-0.06877537982270986
Cabo Verde,2010.0,-0.21257717281713745
Cabo Verde,2015.0,-0.21257717281713745
Cambodia,2010.0,-0.2071482704062301
Cameroon,2010.0,-0.21266444847925506
Cameroon,2015.0,-0.06727566334305632
Canada,2010.0,-0.2127695355009885
Canada,2015.0,-0.2127695355009885
Chile,2010.0,-0.21144347977758937
Chile,2015.0,-0.20834252206847204
China,2010.0,-0.21221293051299359
China,2015.0,-0.21221293051299359
Colombia,2010.0,6.327665021320402
Colombia,2015.0,11.40076593140581
Costa Rica,2010.0,-0.21271075801425623
Costa Rica,2015.0,-0.2081278951851012
Croatia,2010.0,-0.16921007442449573
Croatia,2015.0,-0.1830655310696559
Cuba,2010.0,-0.212780222316758
Cyprus,2010.0,-0.20209518768321694
Cyprus,2015.0,-0.20209518768321694
Czechia,2010.0,-0.212780222316758
Czechia,2015.0,-0.21010673723842077
Denmark,2010.0,-0.20701468520911132
Denmark,2015.0,-0.20390482182018604
Dominican Republic,2015.0,0.025480554128341888
Ecuador,2010.0,-0.0673210823100767
Ecuador,2015.0,-0.21272144483002575
El Salvador,2010.0,-0.21277309777291167
El Salvador,2015.0,-0.2061490531317816
Estonia,2010.0,-0.032917550644105315
Estonia,2015.0,-0.058674557784568274
Eswatini,2010.0,-0.21277487890887326
Eswatini,2015.0,-0.21277487890887326
Finland,2010.0,-0.20720170448507763
Finland,2015.0,-0.20934797331878607
France,2010.0,-0.210696293241705
France,2015.0,-0.2104843380622765
Georgia,2010.0,0.4311823600500092
Germany,2010.0,-0.16936147098123033
Germany,2015.0,-0.19144755690486914
Ghana,2015.0,-0.2104193265996787
Greece,2010.0,-0.21231890810270782
Greece,2015.0,-0.21240084035694065
Guatemala,2010.0,-0.21271966369406414
Guatemala,2015.0,-0.21271966369406414
Guyana,2010.0,-0.21277666004483484
Honduras,2015.0,-0.21277309777291167
Hungary,2010.0,-0.21267157302310138
Hungary,2015.0,-0.21255401804963686
Iceland,2010.0,-0.2125807350890606
Iceland,2015.0,-0.21257004827329112
India,2010.0,-0.2036821798249881
India,2015.0,-0.2036821798249881
Indonesia,2010.0,-0.21276062982118057
Indonesia,2015.0,-0.21276062982118057
Ireland,2010.0,-0.212780222316758
Ireland,2015.0,-0.2126038898565612
Israel,2010.0,-0.21276597322906535
Israel,2015.0,-0.2126252634881002
Italy,2010.0,-0.2112537887976807
Italy,2015.0,-0.2117026350599998
Jamaica,2010.0,-0.21253620669002102
Jamaica,2015.0,-0.21253620669002102
Japan,2015.0,-0.21165810666096022
Kazakhstan,2010.0,-0.1985881309748585
Kazakhstan,2015.0,-0.20024636855509298
Kenya,2015.0,-0.17496670585233448
Kyrgyzstan,2010.0,0.3236320272816962
Kyrgyzstan,2015.0,-0.18841962577017674
Latvia,2010.0,0.3694820292047857
Latvia,2015.0,0.25530408952341943
Lebanon,2010.0,-0.21271075801425623
Lithuania,2010.0,-0.2062292042500529
Lithuania,2015.0,-0.20640019330236492
Luxembourg,2010.0,-0.2124738669313656
Luxembourg,2015.0,-0.2126377314398313
Madagascar,2015.0,-0.21277309777291167
Malawi,2010.0,-0.21254867464175212
Malaysia,2010.0,0.0009810289767570731
Malaysia,2015.0,0.0009543119373333165
Maldives,2010.0,-0.21277844118079642
Maldives,2015.0,0.10920195943460641
Malta,2010.0,-0.21277487890887326
Malta,2015.0,-0.20612678893226183
Mauritius,2010.0,-0.21253620669002102
Mauritius,2015.0,-0.21276330152512296
Mexico,2010.0,-0.2127713166369501
Mexico,2015.0,-0.2126608862073319
Mongolia,2010.0,-0.21231890810270782
Mongolia,2015.0,-0.21275350527733425
