Country,Year,Population annual rate of increase (percent)
Afghanistan,2010.0,1.2851004870581348
Afghanistan,2015.0,0.963918732082838
Albania,2010.0,-1.2843535527442387
Albania,2015.0,-0.8828763590251179
Angola,2015.0,2.007759435752553
Argentina,2010.0,-0.07992197158687614
Argentina,2015.0,-0.07992197158687614
Armenia,2010.0,-1.3646489914880628
Armenia,2015.0,-1.2040581140004147
Australia,2010.0,0.3215552221322447
Australia,2015.0,0.3215552221322447
Austria,2010.0,-0.6419900427936454
Austria,2015.0,0.1609643446445964
Azerbaijan,2010.0,0.1609643446445964
Azerbaijan,2015.0,0.08066890590077216
Bahamas,2015.0,-0.1602174103307003
Bahrain,2015.0,1.927463997008728
Bangladesh,2015.0,0.08066890590077216
Barbados,2010.0,-0.6419900427936454
Barbados,2015.0,-0.7222854815374695
Belarus,2010.0,-1.1237626752565903
Belarus,2015.0,-0.8025809202812937
Belgium,2010.0,-0.3208082878183487
Belgium,2015.0,-0.40110372656217286
Belize,2010.0,0.963918732082838
Belize,2015.0,0.8033278545951898
Bhutan,2010.0,0.0003734671569480985
Bhutan,2015.0,-0.1602174103307003
Bolivia (Plurin. State of),2010.0,0.482146099619893
Bolivia (Plurin. State of),2015.0,0.40185066087606897
Brazil,2010.0,-0.1602174103307003
Brazil,2015.0,-0.24051284907452444
Bulgaria,2010.0,-1.3646489914880628
Bulgaria,2015.0,-1.6055353077195356
Burundi,2010.0,2.0880548744963763
Burundi,2015.0,0.0003734671569480985
Cabo Verde,2010.0,0.08066890590077216
Cabo Verde,2015.0,0.0003734671569480985
Cambodia,2010.0,0.3215552221322447
Cameroon,2010.0,1.445691364545783
Cameroon,2015.0,1.5259868032896073
Canada,2010.0,0.0003734671569480985
Canada,2015.0,-0.07992197158687614
Chile,2010.0,-0.07992197158687614
Chile,2015.0,-0.07992197158687614
China,2010.0,-0.3208082878183487
China,2015.0,-0.40110372656217286
Colombia,2010.0,0.0003734671569480985
Colombia,2015.0,-0.07992197158687614
Costa Rica,2010.0,0.1609643446445964
Costa Rica,2015.0,-0.07992197158687614
Croatia,2010.0,-1.1237626752565903
Croatia,2015.0,-1.5252398689757112
Cuba,2010.0,-0.8025809202812937
Cyprus,2010.0,0.482146099619893
Cyprus,2015.0,-0.1602174103307003
Czechia,2010.0,-0.5616946040498212
Czechia,2015.0,-0.8828763590251179
Denmark,2010.0,-0.481399165305997
Denmark,2015.0,-0.481399165305997
Dominican Republic,2015.0,0.08066890590077216
Ecuador,2010.0,0.40185066087606897
Ecuador,2015.0,0.3215552221322447
El Salvador,2010.0,-0.5616946040498212
El Salvador,2015.0,-0.6419900427936454
Estonia,2010.0,-1.1237626752565903
Estonia,2015.0,-0.7222854815374695
Eswatini,2010.0,-0.481399165305997
Eswatini,2015.0,-0.3208082878183487
Finland,2010.0,-0.5616946040498212
Finland,2015.0,-0.6419900427936454
France,2010.0,-0.40110372656217286
France,2015.0,-0.6419900427936454
Georgia,2010.0,-1.2040581140004147
Germany,2010.0,-0.8025809202812937
Germany,2015.0,-0.6419900427936454
Ghana,2015.0,0.963918732082838
Greece,2010.0,-1.0434672365127662
Greece,2015.0,-1.3646489914880628
Guatemala,2010.0,0.7230324158513656
Guatemala,2015.0,0.5624415383637172
Guyana,2010.0,-1.2843535527442387
Honduras,2015.0,0.5624415383637172
Hungary,2010.0,-1.1237626752565903
Hungary,2015.0,-1.1237626752565903
Iceland,2010.0,-0.6419900427936454
Iceland,2015.0,-0.07992197158687614
India,2010.0,0.24125978338842047
India,2015.0,0.08066890590077216
Indonesia,2010.0,0.08066890590077216
Indonesia,2015.0,0.0003734671569480985
Ireland,2010.0,-0.481399165305997
Ireland,2015.0,-0.07992197158687614
Israel,2010.0,0.5624415383637172
Israel,2015.0,0.6427369771075413
Italy,2010.0,-0.5616946040498212
Italy,2015.0,-1.0434672365127662
Jamaica,2010.0,-0.5616946040498212
Jamaica,2015.0,-0.6419900427936454
Japan,2015.0,-1.0434672365127662
Kazakhstan,2010.0,0.24125978338842047
Kazakhstan,2015.0,0.1609643446445964
Kenya,2015.0,0.883623293339014
Kyrgyzstan,2010.0,0.0003734671569480985
Kyrgyzstan,2015.0,0.482146099619893
Latvia,2010.0,-1.8464216239510078
Latvia,2015.0,-1.6055353077195356
Lebanon,2010.0,-0.481399165305997
Lithuania,2010.0,-1.9267170626948322
Lithuania,2015.0,-1.6858307464633597
Luxembourg,2010.0,0.6427369771075413
Luxembourg,2015.0,0.963918732082838
Madagascar,2015.0,1.2048050483143107
Malawi,2010.0,1.445691364545783
Malaysia,2010.0,0.40185066087606897
Malaysia,2015.0,0.3215552221322447
Maldives,2010.0,1.927463997008728
Maldives,2015.0,2.5698275069593213
Malta,2010.0,-0.1602174103307003
Malta,2015.0,0.963918732082838
Mauritius,2010.0,-0.6419900427936454
Mauritius,2015.0,-0.8025809202812937
Mexico,2010.0,0.24125978338842047
Mexico,2015.0,0.0003734671569480985
Mongolia,2010.0,0.1609643446445964
Mongolia,2015.0,0.883623293339014
Morocco,2015.0,0.08066890590077216
Mozambique,2010.0,1.445691364545783
Namibia,2010.0,0.3215552221322447
Nepal,2010.0,-0.481399165305997
Nepal,2015.0,-0.3208082878183487
Netherlands (Kingdom of the),2010.0,-0.481399165305997
Netherlands (Kingdom of the),2015.0,-0.481399165305997
New Zealand,2010.0,-0.1602174103307003
New Zealand,2015.0,0.482146099619893
Nicaragua,2010.0,0.3215552221322447
Nicaragua,2015.0,0.24125978338842047
Norway,2010.0,0.1609643446445964
Norway,2015.0,-0.1602174103307003
Oman,2015.0,3.2121910169099146
Pakistan,2010.0,0.883623293339014
Pakistan,2015.0,0.08066890590077216
Panama,2015.0,0.482146099619893
Paraguay,2010.0,0.1609643446445964
Paraguay,2015.0,0.24125978338842047
Peru,2010.0,-0.24051284907452444
Peru,2015.0,0.08066890590077216
Philippines,2015.0,0.5624415383637172
Poland,2010.0,-0.8025809202812937
Poland,2015.0,-0.9631717977689421
Portugal,2010.0,-1.0434672365127662
Portugal,2015.0,-1.1237626752565903
Qatar,2010.0,2.8910092619346184
Qatar,2015.0,5.781645056712288
Republic of Korea,2010.0,-0.481399165305997
Republic of Korea,2015.0,-0.24051284907452444
Republic of Moldova,2010.0,-2.64937601138925
Republic of Moldova,2015.0,-2.2478988176701287
Romania,2010.0,-1.444944430231887
Romania,2015.0,-1.2843535527442387
Russian Federation,2015.0,-0.6419900427936454
Rwanda,2010.0,1.2048050483143107
Rwanda,2015.0,1.0442141708266621
Saint Lucia,2010.0,-0.24051284907452444
Saint Lucia,2015.0,-0.481399165305997
Saint Vincent & Grenadines,2010.0,-1.2843535527442387
San Marino,2010.0,0.883623293339014
Sao Tome and Principe,2010.0,0.883623293339014
Saudi Arabia,2015.0,0.6427369771075413
Senegal,2010.0,1.2851004870581348
Senegal,2015.0,1.2851004870581348
Serbia,2010.0,-1.2040581140004147
Serbia,2015.0,-1.1237626752565903
Sierra Leone,2015.0,1.0442141708266621
Singapore,2010.0,1.2048050483143107
Singapore,2015.0,0.08066890590077216
Slovakia,2010.0,-0.8025809202812937
Slovakia,2015.0,-0.8025809202812937
Slovenia,2010.0,-0.40110372656217286
Slovenia,2015.0,-0.481399165305997
South Africa,2010.0,0.08066890590077216
South Africa,2015.0,1.0442141708266621
Spain,2010.0,-0.5616946040498212
Spain,2015.0,-0.8828763590251179
Sri Lanka,2010.0,-0.1602174103307003
Sri Lanka,2015.0,-0.5616946040498212
Suriname,2015.0,-0.07992197158687614
Sweden,2010.0,-0.1602174103307003
Sweden,2015.0,-0.07992197158687614
