Country,Year,Public expenditure on education (% of GDP)
Afghanistan,2010.0,-0.7536671409052873
Afghanistan,2015.0,-0.8787691947903573
Albania,2010.0,-0.8162181678478223
Albania,2015.0,-0.8162181678478223
Angola,2015.0,-1.003871248675427
Argentina,2010.0,0.18459826323273684
Argentina,2015.0,0.6850064787730162
Armenia,2010.0,-0.941320221732892
Armenia,2015.0,-1.191524329503032
Australia,2010.0,0.49735339794541156
Australia,2015.0,0.37225134406034155
Austria,2010.0,0.6224554518304816
Austria,2015.0,0.49735339794541156
Azerbaijan,2010.0,-1.191524329503032
Azerbaijan,2015.0,-1.066422275617962
Bahamas,2015.0,-1.5668304911582414
Bahrain,2015.0,-1.2540753564455667
Bangladesh,2015.0,-1.7544835719858465
Barbados,2010.0,0.872659559600621
Barbados,2015.0,0.43480237100287683
Belarus,2010.0,0.3097003171178068
Belarus,2015.0,0.05949620934766685
Belgium,2010.0,1.0603126404282264
Belgium,2015.0,1.122863667370761
Belize,2010.0,0.37225134406034155
Belize,2015.0,0.43480237100287683
Bhutan,2010.0,-0.37836097925007783
Bhutan,2015.0,0.997761613485691
Bolivia (Plurin. State of),2010.0,1.4356188020834357
Bolivia (Plurin. State of),2015.0,2.1236800984513198
Brazil,2010.0,0.5599044248879462
Brazil,2015.0,0.9352105865431563
Bulgaria,2010.0,-0.5034630331351476
Bulgaria,2015.0,-0.5034630331351476
Burundi,2010.0,1.3105167481983657
Burundi,2015.0,1.0603126404282264
Cabo Verde,2010.0,0.5599044248879462
Cabo Verde,2015.0,0.37225134406034155
Cambodia,2010.0,-2.0046876797559863
Cameroon,2010.0,-1.191524329503032
Cameroon,2015.0,-1.2540753564455667
Canada,2010.0,0.43480237100287683
Canada,2015.0,-0.003054817594867869
Chile,2010.0,-0.3158099523075426
Chile,2015.0,0.12204723629020213
China,2010.0,-0.5660140600776826
China,2015.0,-0.5660140600776826
Colombia,2010.0,0.05949620934766685
Colombia,2015.0,-0.12815687147993787
Costa Rica,2010.0,1.1854146943132957
Costa Rica,2015.0,1.373067775140901
Croatia,2010.0,-0.3158099523075426
Croatia,2015.0,0.12204723629020213
Cuba,2010.0,5.063578364750462
Cyprus,2010.0,1.122863667370761
Cyprus,2015.0,0.997761613485691
Czechia,2010.0,-0.44091200619261256
Czechia,2015.0,0.6850064787730162
Denmark,2010.0,2.4364352331639947
Denmark,2015.0,1.4356188020834357
Dominican Republic,2015.0,-0.6911161139627523
Ecuador,2010.0,-0.12815687147993787
Ecuador,2015.0,0.18459826323273684
El Salvador,2010.0,-0.44091200619261256
El Salvador,2015.0,-0.5034630331351476
Estonia,2010.0,0.49735339794541156
Estonia,2015.0,0.24714929017527157
Eswatini,2010.0,0.872659559600621
Eswatini,2015.0,0.43480237100287683
Finland,2010.0,1.122863667370761
Finland,2015.0,1.4356188020834357
France,2010.0,0.5599044248879462
France,2015.0,0.43480237100287683
Georgia,2010.0,-1.191524329503032
Germany,2010.0,0.24714929017527157
Germany,2015.0,0.12204723629020213
Ghana,2015.0,-0.19070789842247257
Greece,2010.0,-0.37836097925007783
Greece,2015.0,-0.6285650870202173
Guatemala,2010.0,-1.191524329503032
Guatemala,2015.0,-1.066422275617962
Guyana,2010.0,-1.4417284372731718
Honduras,2015.0,1.0603126404282264
Hungary,2010.0,-0.003054817594867869
Hungary,2015.0,-0.12815687147993787
Iceland,2010.0,1.373067775140901
Iceland,2015.0,1.7483739367961104
India,2010.0,-0.8162181678478223
India,2015.0,-0.37836097925007783
Indonesia,2010.0,-1.191524329503032
Indonesia,2015.0,-0.6911161139627523
Ireland,2010.0,0.872659559600621
Ireland,2015.0,-0.5660140600776826
Israel,2010.0,0.43480237100287683
Israel,2015.0,0.6850064787730162
Italy,2010.0,-0.2532589253650079
Italy,2015.0,-0.37836097925007783
Jamaica,2010.0,1.0603126404282264
Jamaica,2015.0,0.49735339794541156
Japan,2015.0,-0.8787691947903573
Kazakhstan,2010.0,-0.7536671409052873
Kazakhstan,2015.0,-1.191524329503032
Kenya,2015.0,-0.003054817594867869
Kyrgyzstan,2010.0,0.6850064787730162
Kyrgyzstan,2015.0,0.8101085326580862
Latvia,2010.0,0.18459826323273684
Latvia,2015.0,0.37225134406034155
Lebanon,2010.0,-1.9421366528134512
Lithuania,2010.0,0.37225134406034155
Lithuania,2015.0,-0.3158099523075426
Luxembourg,2010.0,0.37225134406034155
