Country,Year,"Seats held by women in national parliament, as of February (%)"
Afghanistan,2010.0,0.4476838107520078
Afghanistan,2015.0,0.48246008003632945
Albania,2010.0,-0.49996952724576094
Albania,2015.0,-0.12612463243930172
Angola,2015.0,1.2736202062546498
Argentina,2010.0,1.4214193507130177
Argentina,2015.0,1.2214558023281676
Armenia,2010.0,-1.125942374363553
Armenia,2015.0,-0.9955313645473463
Australia,2010.0,0.4476838107520078
Australia,2015.0,0.395519406825525
Austria,2010.0,0.4998482146784903
Austria,2015.0,0.7345880323476626
Azerbaijan,2010.0,-0.9346728932997831
Azerbaijan,2015.0,-0.5695220658144045
Bahamas,2015.0,-0.7781796815203351
Bahrain,2015.0,-1.2737415188219205
Bangladesh,2015.0,-0.1869831036868648
Barbados,2010.0,-1.0563898357949093
Barbados,2015.0,-0.47388732528251953
Belarus,2010.0,0.8389168402006278
Belarus,2015.0,0.4476838107520078
Belgium,2010.0,1.3779490141076154
Belgium,2015.0,1.490971889281661
Belize,2010.0,-1.9257965679029538
Belize,2015.0,-1.65628048094946
Bhutan,2010.0,-1.186800845611116
Bhutan,2015.0,-1.186800845611116
Bolivia (Plurin. State of),2010.0,0.01298044469798552
Bolivia (Plurin. State of),2015.0,2.6907531795907627
Brazil,2010.0,-1.1607186436478747
Brazil,2015.0,-1.1433305090057138
Bulgaria,2010.0,-0.11743056511822117
Bulgaria,2015.0,-0.15220683440254312
Burundi,2010.0,0.8041405709163059
Burundi,2015.0,0.725893965026582
Cabo Verde,2010.0,-0.35217038278739315
Cabo Verde,2015.0,-0.11743056511822117
Cambodia,2010.0,-0.09134836315497977
Cameroon,2010.0,-0.717321210272772
Cameroon,2015.0,0.7780583689530648
Canada,2010.0,-0.0044076899441753085
Canada,2015.0,0.2651083970093183
Chile,2010.0,-0.6912390083095307
Chile,2015.0,-0.5521339311722434
China,2010.0,-0.07396022851281893
China,2015.0,0.12600331987203137
Colombia,2010.0,-1.1954949129321966
Colombia,2015.0,-0.19567717100794535
Costa Rica,2010.0,1.2736202062546498
