Country,Year,Students enrolled in lower secondary education (thousands)
Afghanistan,2010.0,-0.10895434526014086
Afghanistan,2015.0,-0.08453290623132952
Albania,2010.0,-0.26947442887659884
Albania,2015.0,-0.2745622286742678
Angola,2015.0,-0.2722091212678459
Argentina,2010.0,0.04571476858899771
Argentina,2015.0,0.049530618437249485
Armenia,2010.0,-0.27023759884624915
Armenia,2015.0,-0.27023759884624915
Australia,2010.0,-0.11773079991111994
Australia,2015.0,-0.11773079991111994
Austria,2010.0,-0.25090395961510686
Austria,2015.0,-0.25433822447853344
Azerbaijan,2010.0,-0.21210948615788047
Azerbaijan,2015.0,-0.22381142569251927
Bahamas,2015.0,-0.29516781785482743
Bahrain,2015.0,-0.29084318802680875
Bangladesh,2015.0,0.7521557704953428
Barbados,2010.0,-0.2954222078447109
Barbados,2015.0,-0.29529501284976917
Belarus,2010.0,-0.2372940951563422
Belarus,2015.0,-0.24021958004000188
Belgium,2010.0,-0.2537022495038248
Belgium,2015.0,-0.24021958004000188
Belize,2010.0,-0.293514282920585
Belize,2015.0,-0.2931326979357598
Bhutan,2010.0,-0.29084318802680875
Bhutan,2015.0,-0.28995282306221665
Bolivia (Plurin. State of),2010.0,-0.24149152998941914
Bolivia (Plurin. State of),2015.0,-0.2392020200804681
Brazil,2010.0,1.5163433001052316
Brazil,2015.0,1.460377502330872
Bulgaria,2010.0,-0.2682024789271816
Bulgaria,2015.0,-0.2683296739221233
Burundi,2010.0,-0.263369069119396
Burundi,2015.0,-0.23322385531820697
Cabo Verde,2010.0,-0.2919879429812843
Cabo Verde,2015.0,-0.2923695279661095
Cambodia,2010.0,-0.22126752579368475
Cameroon,2010.0,-0.17344220769559585
Cameroon,2015.0,-0.10984471022473294
Canada,2010.0,-0.19519255183063094
Canada,2015.0,-0.15029271861620175
Chile,2010.0,-0.22978959045478037
Chile,2015.0,-0.2314431253890228
China,2010.0,6.638485746408529
China,2015.0,5.352035567567914
Colombia,2010.0,0.1713834235914228
Colombia,2015.0,0.14301893971941795
Costa Rica,2010.0,-0.2603163892407946
Costa Rica,2015.0,-0.25980760926102764
Croatia,2010.0,-0.2703647938411909
Croatia,2015.0,-0.27405344869450093
Cuba,2010.0,-0.24403542988825366
Cyprus,2010.0,-0.2928783079458764
Cyprus,2015.0,-0.2933870879256433
Czechia,2010.0,-0.2486144497061558
Czechia,2015.0,-0.2497592046606313
Denmark,2010.0,-0.2652769940435219
Denmark,2015.0,-0.2660401640131722
Dominican Republic,2015.0,-0.2521759095645241
Ecuador,2010.0,-0.17535013261972174
Ecuador,2015.0,-0.16415697306484986
El Salvador,2010.0,-0.2477240847415637
El Salvador,2015.0,-0.25026798464039823
Estonia,2010.0,-0.2914791630015174
Estonia,2015.0,-0.292115137976226
Eswatini,2010.0,-0.2890624580976246
Eswatini,2015.0,-0.2881720931330325
Finland,2010.0,-0.2722727187653168
Finland,2015.0,-0.27418064368944267
France,2010.0,0.11643518577659726
France,2015.0,0.13258895013419644
Georgia,2010.0,-0.27557978863380167
Germany,2010.0,0.32859643733939586
Germany,2015.0,0.28102550923119046
Ghana,2015.0,-0.09445411583678412
Greece,2010.0,-0.25192151957464065
Greece,2015.0,-0.2559917594127759
Guatemala,2010.0,-0.2038418114866683
Guatemala,2015.0,-0.19264865193179645
Guyana,2010.0,-0.28982562806727497
Honduras,2015.0,-0.24607054980732126
Hungary,2010.0,-0.24352664990848677
Hungary,2015.0,-0.24785127973650545
Iceland,2010.0,-0.29516781785482743
Iceland,2015.0,-0.29516781785482743
India,2010.0,7.261232441643219
India,2015.0,8.156558011038026
Indonesia,2010.0,1.2036980025384696
Indonesia,2015.0,1.407591579430056
Ireland,2010.0,-0.27354466871473404
Ireland,2015.0,-0.272654303750142
Israel,2010.0,-0.2501407896454565
Israel,2015.0,-0.24505298984778748
Italy,2010.0,-0.07066865178268139
Italy,2015.0,-0.07130462675739002
Jamaica,2010.0,-0.2772333235680441
Jamaica,2015.0,-0.28015880845170377
Japan,2015.0,0.15484807424899844
Kazakhstan,2010.0,-0.13719163413720398
Kazakhstan,2015.0,-0.14304260390452336
Kenya,2015.0,-0.021062603755408336
Kyrgyzstan,2010.0,-0.23118873539913937
Kyrgyzstan,2015.0,-0.23678531517657528
Latvia,2010.0,-0.28868087311279944
Latvia,2015.0,-0.28982562806727497
Lebanon,2010.0,-0.26947442887659884
Lithuania,2010.0,-0.2665489439929391
Lithuania,2015.0,-0.27354466871473404
Luxembourg,2010.0,-0.29415025789529364
Luxembourg,2015.0,-0.2940230629003519
Madagascar,2015.0,-0.14889357367184275
Malawi,2010.0,-0.22190350076839338
Malaysia,2010.0,-0.10386654546247183
Malaysia,2015.0,-0.1145509250375768
Maldives,2010.0,-0.29364147791552675
Maldives,2015.0,-0.2945318428801188
Malta,2010.0,-0.293514282920585
Malta,2015.0,-0.29516781785482743
Mauritius,2010.0,-0.28944404308244975
Mauritius,2015.0,-0.28868087311279944
Mexico,2010.0,0.6732948736314728
Mexico,2015.0,0.8046873034062756
Mongolia,2010.0,-0.27405344869450093
Mongolia,2015.0,-0.27405344869450093
Morocco,2015.0,-0.08478729622121296
Mozambique,2010.0,-0.22610093560147032
Namibia,2010.0,-0.27990441846182035
Nepal,2010.0,-0.09280058090254169
Nepal,2015.0,-0.06341853707100302
Netherlands (Kingdom of the),2010.0,-0.1998987666434748
Netherlands (Kingdom of the),2015.0,-0.1930302369166216
New Zealand,2010.0,-0.26514979904858016
New Zealand,2015.0,-0.2660401640131722
Nicaragua,2010.0,-0.2561189544077176
Nicaragua,2015.0,-0.2561189544077176
Norway,2010.0,-0.2723999137602585
Norway,2015.0,-0.27201832877543336
Oman,2015.0,-0.2778692985427527
Pakistan,2010.0,0.40287831438536376
Pakistan,2015.0,0.5403761039173693
Panama,2015.0,-0.27201832877543336
Paraguay,2010.0,-0.25471980946335865
Paraguay,2015.0,-0.25471980946335865
Peru,2010.0,-0.07054145678773967
Peru,2015.0,-0.08237059131732018
Philippines,2015.0,0.4276813383990003
Poland,2010.0,-0.1273976195266911
Poland,2015.0,-0.15474454343916216
Portugal,2010.0,-0.2486144497061558
Portugal,2015.0,-0.24785127973650545
Qatar,2010.0,-0.292115137976226
Qatar,2015.0,-0.2902072130521001
Republic of Korea,2010.0,-0.04421209283480243
Republic of Korea,2015.0,-0.09356375087219204
Republic of Moldova,2010.0,-0.2703647938411909
Republic of Moldova,2015.0,-0.2762157636085103
Romania,2010.0,-0.18628890218471014
Romania,2015.0,-0.19697328175981513
Russian Federation,2015.0,0.5361786690842923
Rwanda,2010.0,-0.25879004930149385
Rwanda,2015.0,-0.25408383448865
Saint Lucia,2010.0,-0.2955494028396526
Saint Lucia,2015.0,-0.29580379282953606
Saint Vincent & Grenadines,2010.0,-0.29580379282953606
San Marino,2010.0,-0.29669415779412817
Sao Tome and Principe,2010.0,-0.2956765978345943
Saudi Arabia,2015.0,-0.08860314606946473
Senegal,2010.0,-0.19430218686603887
Senegal,2015.0,-0.19430218686603887
Serbia,2010.0,-0.2581540743267852
Serbia,2015.0,-0.2599348042559694
Sierra Leone,2015.0,-0.2600619992509111
Singapore,2010.0,-0.24759688974662197
Singapore,2015.0,-0.07244938171186556
Slovakia,2010.0,-0.26120675420538664
Slovakia,2015.0,-0.26451382407387153
Slovenia,2010.0,-0.28982562806727497
Slovenia,2015.0,-0.28982562806727497
South Africa,2010.0,-0.04103221796125928
South Africa,2015.0,-0.038361123067483044
Spain,2010.0,-0.04103221796125928
Spain,2015.0,-0.09012948600876544
Sri Lanka,2010.0,-0.13337578428895222
Sri Lanka,2015.0,-0.1253624996076235
Suriname,2015.0,-0.29186074798634254
Sweden,2010.0,-0.2539566394937083
Sweden,2015.0,-0.25433822447853344
Switzerland,2010.0,-0.2599348042559694
Switzerland,2015.0,-0.2634962641143377
Tajikistan,2010.0,-0.19175828696720434
Thailand,2010.0,0.05907024305787892
Thailand,2015.0,0.12165018056920801
Timor-Leste,2010.0,-0.2890624580976246
Timor-Leste,2015.0,-0.28690014318361523
Tunisia,2010.0,-0.22266667073804372
Türkiye,2010.0,0.19822156752412695
Türkiye,2015.0,0.3745138305133589
Uganda,2010.0,-0.19239426194191298
Uganda,2015.0,-0.06545365699007064
Ukraine,2010.0,-0.005672009367459514
United Arab Emirates,2015.0,-0.26375065410422116
United Kingdom,2010.0,0.015823944777692146
United Kingdom,2015.0,0.0001789603998598727
United Rep. of Tanzania,2010.0,-0.08453290623132952
United Rep. of Tanzania,2015.0,-0.08720400112510575
United States of America,2015.0,1.2993486387346473
Uruguay,2015.0,-0.2739262536995592
Uzbekistan,2015.0,0.00908261004578068
Venezuela (Boliv. Rep. of),2010.0,-0.10882715026519914
Viet Nam,2010.0,0.36637335083708844
Yemen,2010.0,-0.17267903772594548
Zambia,2010.0,-0.24060116502482706
Zambia,2015.0,-0.23691251017151702
