Country,Year,Students enrolled in primary education (thousands)
Afghanistan,2010.0,0.03702898711020115
Afghanistan,2015.0,0.0940325722450982
Albania,2010.0,-0.27611896861998325
Albania,2015.0,-0.27841150410910415
Angola,2015.0,0.058219450279912884
Argentina,2010.0,0.016458128126738306
Argentina,2015.0,0.006358579890881547
Armenia,2010.0,-0.2837401001108445
Armenia,2015.0,-0.28107580210997435
Australia,2010.0,-0.16520981928143358
Australia,2015.0,-0.15740280653469768
Austria,2010.0,-0.2697370455016198
Austria,2015.0,-0.2697370455016198
Azerbaijan,2010.0,-0.26019514103338703
Azerbaijan,2015.0,-0.2559198721482698
Bahamas,2015.0,-0.2880153689959618
Bahrain,2015.0,-0.2833683375990952
Bangladesh,2015.0,-0.17276899035366994
Barbados,2010.0,-0.28863497318221065
Barbados,2015.0,-0.2887588940194604
Belarus,2010.0,-0.26787823294287316
Belarus,2015.0,-0.2660813808027514
Belgium,2010.0,-0.244705036377165
Belgium,2015.0,-0.24154505502729573
Belize,2010.0,-0.286776160623464
Belize,2015.0,-0.2868381210420889
Bhutan,2010.0,-0.2832444167618454
Bhutan,2015.0,-0.28392598136671915
Bolivia (Plurin. State of),2010.0,-0.20058921831624468
Bolivia (Plurin. State of),2015.0,-0.20672329976010861
Brazil,2010.0,0.7566372890196514
Brazil,2015.0,0.7198328003564679
Bulgaria,2010.0,-0.2739503539681122
Bulgaria,2015.0,-0.2738264331308624
Burundi,2010.0,-0.1754332883545401
Burundi,2015.0,-0.16167807541981496
Cabo Verde,2010.0,-0.285660873088216
Cabo Verde,2015.0,-0.2859706751813405
Cambodia,2010.0,-0.14922403127621245
Cameroon,2010.0,-0.07257899343722589
Cameroon,2015.0,-0.019293033419822123
Canada,2010.0,-0.15572987523182572
Canada,2015.0,-0.14730325829884092
Chile,2010.0,-0.1942072951978812
Chile,2015.0,-0.1984825640829985
China,2010.0,5.969119466256988
China,2015.0,5.655537787596429
Colombia,2010.0,0.025008665896972863
Colombia,2015.0,-0.012539347789709322
Costa Rica,2010.0,-0.2577786847070164
Costa Rica,2015.0,-0.26075278480101105
Croatia,2010.0,-0.2797126729002268
Croatia,2015.0,-0.2800224749933512
Cuba,2010.0,-0.23720782572355356
Cyprus,2010.0,-0.28665223978621424
Cyprus,2015.0,-0.2867142002048391
Czechia,2010.0,-0.2613723889872599
Czechia,2015.0,-0.256911238846268
Denmark,2010.0,-0.2650900141047532
Denmark,2015.0,-0.2610006264755106
Dominican Republic,2015.0,-0.20907779566785437
Ecuador,2010.0,-0.15907573783756968
Ecuador,2015.0,-0.16626314639805667
El Salvador,2010.0,-0.2318172693031883
El Salvador,2015.0,-0.24414739260954102
Estonia,2010.0,-0.28553695225096626
Estonia,2015.0,-0.28510322932059207
Eswatini,2010.0,-0.27512760192198504
Eswatini,2015.0,-0.27512760192198504
Finland,2010.0,-0.26855979754774695
Finland,2015.0,-0.2680641141987478
France,2010.0,-0.03236668174967351
France,2015.0,-0.026356521143059367
Georgia,2010.0,-0.2721535018279904
Germany,2010.0,-0.09996549846942643
Germany,2015.0,-0.11167601758953027
Ghana,2015.0,-0.02102792514131899
Greece,2010.0,-0.25021951363478007
Greece,2015.0,-0.2501575532161552
Guatemala,2010.0,-0.125679072198755
Guatemala,2015.0,-0.14247034564609964
Guyana,2010.0,-0.28392598136671915
Honduras,2015.0,-0.21855773971746223
Hungary,2010.0,-0.2660194203841265
Hungary,2015.0,-0.26552373703512744
Iceland,2010.0,-0.28820125025183646
Iceland,2015.0,-0.28820125025183646
India,2010.0,8.286129320734679
India,2015.0,7.6302163291716125
Indonesia,2010.0,1.5899429591057714
Indonesia,2015.0,1.5501643703485932
Ireland,2010.0,-0.25870809098638975
Ireland,2015.0,-0.2562916346600191
Israel,2010.0,-0.24005800498029842
Israel,2015.0,-0.23528705274618203
Italy,2010.0,-0.11520776145114889
Italy,2015.0,-0.1131011072179027
