Country,Year,Students enrolled in upper secondary education (thousands)
Afghanistan,2010.0,-0.1924308138825757
Afghanistan,2015.0,-0.13206679620306083
Albania,2010.0,-0.25439484166925846
Albania,2015.0,-0.2545402971335465
Angola,2015.0,-0.24850389536559497
Argentina,2010.0,-0.053811756416123444
Argentina,2015.0,-0.016138791165534634
Armenia,2010.0,-0.26079488209792995
Armenia,2015.0,-0.26079488209792995
Australia,2010.0,-0.08566650309519275
Australia,2015.0,-0.08566650309519275
Austria,2010.0,-0.21919461931156545
Austria,2015.0,-0.22283100591876515
Azerbaijan,2010.0,-0.2724313192409689
Azerbaijan,2015.0,-0.2724313192409689
Bahamas,2015.0,-0.2730131410981209
Bahrain,2015.0,-0.26835856624090526
Bangladesh,2015.0,0.6443744721662173
Barbados,2010.0,-0.2737404184195608
Barbados,2015.0,-0.2737404184195608
Belarus,2010.0,-0.23214015563319634
Belarus,2015.0,-0.2458129692762672
Belgium,2010.0,-0.14923054098904337
Belgium,2015.0,-0.16246698823925024
Belize,2010.0,-0.27388587388384883
Belize,2015.0,-0.27359496295527286
Bhutan,2010.0,-0.2730131410981209
Bhutan,2015.0,-0.271849497383817
Bolivia (Plurin. State of),2010.0,-0.17293978166798538
Bolivia (Plurin. State of),2015.0,-0.16130334452494635
Brazil,2010.0,1.0755044683158128
Brazil,2015.0,1.134123020423872
Bulgaria,2010.0,-0.2302492345974525
Bulgaria,2015.0,-0.23446744306180414
Burundi,2010.0,-0.26399490231226563
Burundi,2015.0,-0.25104936599063477
Cabo Verde,2010.0,-0.27141313099095304
Cabo Verde,2015.0,-0.27141313099095304
Cambodia,2010.0,-0.25810395600860214
Cameroon,2010.0,-0.2138127671329099
Cameroon,2015.0,-0.1821034759181286
Canada,2010.0,-0.011338760844031041
Canada,2015.0,-0.05817542034476308
Chile,2010.0,-0.13061224156018095
Chile,2015.0,-0.12479402298866143
China,2010.0,6.225937003289169
China,2015.0,5.79291608610383
Colombia,2010.0,-0.07155732305925795
Colombia,2015.0,-0.08072101730940116
Costa Rica,2010.0,-0.2564312181692903
Costa Rica,2015.0,-0.2503220886691948
Croatia,2010.0,-0.24857662309773895
Croatia,2015.0,-0.24843116763345097
Cuba,2010.0,-0.21759460920439758
Cyprus,2010.0,-0.27010403181236115
Cyprus,2015.0,-0.27054039820522513
Czechia,2010.0,-0.20828545948996638
Czechia,2015.0,-0.21672187641866966
Denmark,2010.0,-0.23766746327613988
Denmark,2015.0,-0.22952195727601257
Dominican Republic,2015.0,-0.19068534831111986
Ecuador,2010.0,-0.17308523713227336
Ecuador,2015.0,-0.14559415438184367
El Salvador,2010.0,-0.2471220684548591
El Salvador,2015.0,-0.24086748349047563
Estonia,2010.0,-0.2671949225266014
Estonia,2015.0,-0.26894038809805726
Eswatini,2010.0,-0.2708313091338011
Eswatini,2015.0,-0.2702494872766491
Finland,2010.0,-0.24086748349047563
Finland,2015.0,-0.2222491840616132
France,2010.0,0.10677107615781496
France,2015.0,0.10429833326491918
Georgia,2010.0,-0.2724313192409689
Germany,2010.0,0.12466209826523744
Germany,2015.0,0.09891648108626362
Ghana,2015.0,-0.15155782841765117
Greece,2010.0,-0.2219582731330372
Greece,2015.0,-0.22515829334737295
Guatemala,2010.0,-0.22384919416878105
Guatemala,2015.0,-0.21657642095438168
Guyana,2010.0,-0.27126767552666503
Honduras,2015.0,-0.24014020616903567
Hungary,2010.0,-0.20421270648990272
Hungary,2015.0,-0.21075820238286216
Iceland,2010.0,-0.271704041919529
Iceland,2015.0,-0.27141313099095304
India,2010.0,6.74564937719015
India,2015.0,8.900862991545262
Indonesia,2010.0,0.9147761802775866
Indonesia,2015.0,1.2314327260325357
Ireland,2010.0,-0.2525039206335146
Ireland,2015.0,-0.25090391052634675
Israel,2010.0,-0.22530374881166093
Israel,2015.0,-0.21992189663300538
Italy,2010.0,0.13949855562261218
Italy,2015.0,0.13717126819400438
Jamaica,2010.0,-0.25948578291933805
Jamaica,2015.0,-0.2626858031336738
Japan,2015.0,0.25891749180305007
Kazakhstan,2010.0,-0.19301263573972766
Kazakhstan,2015.0,-0.20653999391851052
Kenya,2015.0,0.2056080641415026
Kyrgyzstan,2010.0,-0.24915844495489092
Kyrgyzstan,2015.0,-0.25003117774061884
Latvia,2010.0,-0.26283125859796175
Latvia,2015.0,-0.2658858233480095
Lebanon,2010.0,-0.2504675441334828
Lithuania,2010.0,-0.259631238383626
Lithuania,2015.0,-0.2631221695265377
Luxembourg,2010.0,-0.271849497383817
Luxembourg,2015.0,-0.27126767552666503
Madagascar,2015.0,-0.22050371849015735
Malawi,2010.0,-0.259922149312202
Malaysia,2010.0,-0.11504850688136627
Malaysia,2015.0,-0.0757755315236096
Maldives,2010.0,-0.27272223016954494
Maldives,2015.0,-0.2626130754015298
Malta,2010.0,-0.2733040520266969
Malta,2015.0,-0.2724313192409689
Mauritius,2010.0,-0.2648676350979936
Mauritius,2015.0,-0.26544945695514555
Mexico,2010.0,0.3149178455539253
Mexico,2015.0,0.42517308748422
Mongolia,2010.0,-0.26079488209792995
Mongolia,2015.0,-0.25701304002644226
Morocco,2015.0,-0.1901762541861119
Mozambique,2010.0,-0.25803122827645814
Namibia,2010.0,-0.26246761993724177
Nepal,2010.0,-0.11635760605995815
Nepal,2015.0,-0.07984828452367325
Netherlands (Kingdom of the),2010.0,-0.17119431609652952
Netherlands (Kingdom of the),2015.0,-0.15897605709633855
New Zealand,2010.0,-0.23664927502612398
New Zealand,2015.0,-0.23926747338330775
Nicaragua,2010.0,-0.2536675643478185
Nicaragua,2015.0,-0.2536675643478185
Norway,2010.0,-0.23955838431188373
Norway,2015.0,-0.2386856515261558
Oman,2015.0,-0.25483120806212245
Pakistan,2010.0,0.3293179365184361
Pakistan,2015.0,0.5245191695929156
Panama,2015.0,-0.2571584954907302
Paraguay,2010.0,-0.24144930534762757
Paraguay,2015.0,-0.23810382966900384
Peru,2010.0,-0.14457596613182777
Peru,2015.0,-0.130030419703029
Philippines,2015.0,-0.03868438813017273
Poland,2010.0,-0.05526631105900332
Poland,2015.0,-0.06661183727346637
Portugal,2010.0,-0.22530374881166093
Portugal,2015.0,-0.21759460920439758
Qatar,2010.0,-0.2702494872766491
Qatar,2015.0,-0.2685040217051933
Republic of Korea,2010.0,0.012225024370622964
Republic of Korea,2015.0,-0.013229681879774881
Republic of Moldova,2010.0,-0.26035851570506596
Republic of Moldova,2015.0,-0.26457672416941763
Romania,2010.0,-0.13628500466741247
Romania,2015.0,-0.1617397109178103
Russian Federation,2015.0,0.13760763458686834
Rwanda,2010.0,-0.2564312181692903
Rwanda,2015.0,-0.24130384988333958
Saint Lucia,2010.0,-0.2740313293481368
Saint Lucia,2015.0,-0.2741767848124248
Saint Vincent & Grenadines,2010.0,-0.27432224027671276
San Marino,2010.0,-0.27475860666957674
Sao Tome and Principe,2010.0,-0.27475860666957674
Saudi Arabia,2015.0,-0.030102515737181455
Senegal,2010.0,-0.2269037589188288
Senegal,2015.0,-0.2269037589188288
Serbia,2010.0,-0.23315834388321227
Serbia,2015.0,-0.23664927502612398
Sierra Leone,2015.0,-0.2516311878477867
Singapore,2010.0,-0.22261282272233315
Singapore,2015.0,-0.0001386900938559898
Slovakia,2010.0,-0.23577654224039604
Slovakia,2015.0,-0.2458129692762672
Slovenia,2010.0,-0.26283125859796175
Slovenia,2015.0,-0.26195852581223383
South Africa,2010.0,0.11477112669365429
South Africa,2015.0,0.1975352858735193
Spain,2010.0,-0.10413934705976718
Spain,2015.0,-0.029375238415741516
Sri Lanka,2010.0,-0.09468474188104799
