Country,Year,Total fertility rate (children per women)
Afghanistan,2010.0,3.206363319461652
Afghanistan,2015.0,2.603919275043452
Albania,2010.0,-0.5804278168813224
Albania,2015.0,-0.6664912517982081
Angola,2015.0,2.948173014710995
Argentina,2010.0,-0.06404720738000784
Argentina,2015.0,-0.06404720738000784
Armenia,2010.0,-0.752554686715094
Armenia,2015.0,-0.6664912517982081
Australia,2010.0,-0.32223751213066504
Australia,2015.0,-0.49436438196443655
Austria,2010.0,-0.8386181216319798
Austria,2015.0,-0.752554686715094
Azerbaijan,2010.0,-0.23617407721377917
Azerbaijan,2015.0,-0.23617407721377917
Bahamas,2015.0,-0.6664912517982081
Bahrain,2015.0,-0.23617407721377917
Bangladesh,2015.0,-0.23617407721377917
Barbados,2010.0,-0.5804278168813224
Barbados,2015.0,-0.6664912517982081
Belarus,2010.0,-0.752554686715094
Belarus,2015.0,-0.5804278168813224
Belgium,2010.0,-0.4083009470475509
Belgium,2015.0,-0.5804278168813224
Belize,2010.0,0.19414309737064975
Belize,2015.0,0.022016227536878027
Bhutan,2010.0,-0.06404720738000784
Bhutan,2015.0,-0.32223751213066504
Bolivia (Plurin. State of),2010.0,0.7105237068719645
Bolivia (Plurin. State of),2015.0,0.45233340212130696
Brazil,2010.0,-0.49436438196443655
Brazil,2015.0,-0.49436438196443655
Bulgaria,2010.0,-0.6664912517982081
Bulgaria,2015.0,-0.752554686715094
Burundi,2010.0,3.3784901892954236
Burundi,2015.0,2.862109579794109
Cabo Verde,2010.0,0.1080796624537639
Cabo Verde,2015.0,-0.23617407721377917
Cambodia,2010.0,0.36626996720442107
Cameroon,2010.0,2.43179240520968
Cameroon,2015.0,2.087538665542137
Canada,2010.0,-0.6664912517982081
Canada,2015.0,-0.6664912517982081
Chile,2010.0,-0.49436438196443655
Chile,2015.0,-0.5804278168813224
China,2010.0,-0.5804278168813224
China,2015.0,-0.5804278168813224
Colombia,2010.0,-0.32223751213066504
Colombia,2015.0,-0.4083009470475509
Costa Rica,2010.0,-0.4083009470475509
Costa Rica,2015.0,-0.49436438196443655
Croatia,2010.0,-0.752554686715094
Croatia,2015.0,-0.8386181216319798
Cuba,2010.0,-0.5804278168813224
Cyprus,2010.0,-0.8386181216319798
Cyprus,2015.0,-0.9246815565488655
Czechia,2010.0,-0.752554686715094
Czechia,2015.0,-0.6664912517982081
Denmark,2010.0,-0.4083009470475509
Denmark,2015.0,-0.5804278168813224
Dominican Republic,2015.0,0.022016227536878027
Ecuador,2010.0,0.19414309737064975
Ecuador,2015.0,-0.06404720738000784
El Salvador,2010.0,-0.1501106422968933
El Salvador,2015.0,-0.23617407721377917
Estonia,2010.0,-0.5804278168813224
Estonia,2015.0,-0.6664912517982081
Eswatini,2010.0,0.8826505767057359
Eswatini,2015.0,0.6244602719550787
Finland,2010.0,-0.4083009470475509
Finland,2015.0,-0.6664912517982081
France,2010.0,-0.32223751213066504
France,2015.0,-0.4083009470475509
Georgia,2010.0,-0.4083009470475509
Germany,2010.0,-0.8386181216319798
Germany,2015.0,-0.752554686715094
Ghana,2015.0,1.4850946211239362
Greece,2010.0,-0.8386181216319798
Greece,2015.0,-0.9246815565488655
Guatemala,2010.0,0.8826505767057359
Guatemala,2015.0,0.5383968370381929
Guyana,2010.0,0.2802065322875356
Honduras,2015.0,0.19414309737064975
Hungary,2010.0,-0.9246815565488655
Hungary,2015.0,-0.8386181216319798
Iceland,2010.0,-0.1501106422968933
Iceland,2015.0,-0.49436438196443655
India,2010.0,0.19414309737064975
India,2015.0,-0.06404720738000784
Indonesia,2010.0,0.1080796624537639
Indonesia,2015.0,-0.06404720738000784
Ireland,2010.0,-0.23617407721377917
Ireland,2015.0,-0.4083009470475509
Israel,2010.0,0.5383968370381929
Israel,2015.0,0.7105237068719645
Italy,2010.0,-0.752554686715094
Italy,2015.0,-0.9246815565488655
Jamaica,2010.0,-0.5804278168813224
Jamaica,2015.0,-0.6664912517982081
Japan,2015.0,-0.8386181216319798
Kazakhstan,2010.0,0.19414309737064975
Kazakhstan,2015.0,0.2802065322875356
Kenya,2015.0,1.226904316373279
Kyrgyzstan,2010.0,0.6244602719550787
Kyrgyzstan,2015.0,0.7105237068719645
Latvia,2010.0,-0.8386181216319798
Latvia,2015.0,-0.5804278168813224
Lebanon,2010.0,-0.23617407721377917
Lithuania,2010.0,-0.752554686715094
Lithuania,2015.0,-0.5804278168813224
Luxembourg,2010.0,-0.6664912517982081
Luxembourg,2015.0,-0.752554686715094
Madagascar,2015.0,1.5711580560408225
Malawi,2010.0,2.5178558401265656
Malaysia,2010.0,-0.23617407721377917
Malaysia,2015.0,-0.32223751213066504
Maldives,2010.0,-0.06404720738000784
Maldives,2015.0,-0.32223751213066504
Malta,2010.0,-0.8386181216319798
Malta,2015.0,-0.8386181216319798
Mauritius,2010.0,-0.6664912517982081
Mauritius,2015.0,-0.8386181216319798
Mexico,2010.0,-0.06404720738000784
Mexico,2015.0,-0.23617407721377917
Mongolia,2010.0,0.1080796624537639
Mongolia,2015.0,0.5383968370381929
Morocco,2015.0,0.1080796624537639
Mozambique,2010.0,2.776046144877223
Namibia,2010.0,1.0547774465395077
Nepal,2010.0,0.1080796624537639
Nepal,2015.0,-0.06404720738000784
Netherlands (Kingdom of the),2010.0,-0.49436438196443655
Netherlands (Kingdom of the),2015.0,-0.5804278168813224
New Zealand,2010.0,-0.1501106422968933
New Zealand,2015.0,-0.32223751213066504
Nicaragua,2010.0,0.19414309737064975
Nicaragua,2015.0,0.1080796624537639
Norway,2010.0,-0.4083009470475509
Norway,2015.0,-0.5804278168813224
Oman,2015.0,0.5383968370381929
Pakistan,2010.0,1.6572214909577079
Pakistan,2015.0,1.3129677512901647
Panama,2015.0,0.19414309737064975
Paraguay,2010.0,0.2802065322875356
Paraguay,2015.0,0.19414309737064975
Peru,2010.0,0.19414309737064975
Peru,2015.0,-0.06404720738000784
Philippines,2015.0,0.5383968370381929
Poland,2010.0,-0.8386181216319798
Poland,2015.0,-0.9246815565488655
Portugal,2010.0,-0.8386181216319798
Portugal,2015.0,-0.9246815565488655
Qatar,2010.0,-0.23617407721377917
Qatar,2015.0,-0.4083009470475509
Republic of Korea,2010.0,-1.0107449914657514
Republic of Korea,2015.0,-1.0107449914657514
Republic of Moldova,2010.0,-0.5804278168813224
Republic of Moldova,2015.0,-0.4083009470475509
Romania,2010.0,-0.6664912517982081
Romania,2015.0,-0.6664912517982081
Russian Federation,2015.0,-0.49436438196443655
Rwanda,2010.0,1.8293483607914796
Rwanda,2015.0,1.4850946211239362
Saint Lucia,2010.0,-0.752554686715094
Saint Lucia,2015.0,-0.752554686715094
Saint Vincent & Grenadines,2010.0,-0.23617407721377917
San Marino,2010.0,-0.752554686715094
Sao Tome and Principe,2010.0,2.0014752306252515
Saudi Arabia,2015.0,0.19414309737064975
Senegal,2010.0,2.345728970292794
Senegal,2015.0,2.087538665542137
Serbia,2010.0,-0.8386181216319798
Serbia,2015.0,-0.752554686715094
Sierra Leone,2015.0,1.8293483607914796
Singapore,2010.0,-1.0107449914657514
Singapore,2015.0,-1.0107449914657514
Slovakia,2010.0,-0.8386181216319798
Slovakia,2015.0,-0.8386181216319798
Slovenia,2010.0,-0.6664912517982081
Slovenia,2015.0,-0.6664912517982081
South Africa,2010.0,0.022016227536878027
South Africa,2015.0,0.022016227536878027
Spain,2010.0,-0.8386181216319798
Spain,2015.0,-0.9246815565488655
Sri Lanka,2010.0,-0.1501106422968933
Sri Lanka,2015.0,-0.23617407721377917
Suriname,2015.0,0.1080796624537639
Sweden,2010.0,-0.32223751213066504
Sweden,2015.0,-0.49436438196443655
Switzerland,2010.0,-0.752554686715094
Switzerland,2015.0,-0.752554686715094
Tajikistan,2010.0,0.9687140116226217
Thailand,2010.0,-0.6664912517982081
Thailand,2015.0,-0.752554686715094
Timor-Leste,2010.0,2.087538665542137
Timor-Leste,2015.0,1.3129677512901647
Tunisia,2010.0,-0.23617407721377917
Türkiye,2010.0,-0.23617407721377917
Türkiye,2015.0,-0.1501106422968933
Uganda,2010.0,3.206363319461652
Uganda,2015.0,2.5178558401265656
Ukraine,2010.0,-0.8386181216319798
United Arab Emirates,2015.0,-0.752554686715094
United Kingdom,2010.0,-0.4083009470475509
United Kingdom,2015.0,-0.49436438196443655
United Rep. of Tanzania,2010.0,2.5178558401265656
United Rep. of Tanzania,2015.0,2.345728970292794
United States of America,2015.0,-0.49436438196443655
Uruguay,2015.0,-0.32223751213066504
Uzbekistan,2015.0,0.1080796624537639
Venezuela (Boliv. Rep. of),2010.0,0.1080796624537639
Viet Nam,2010.0,-0.4083009470475509
Yemen,2010.0,2.173602100459023
Zambia,2010.0,2.603919275043452
Zambia,2015.0,2.087538665542137
