Country,Year,Total population of concern to UNHCR (number)
Afghanistan,2010.0,1.529543817075459
Afghanistan,2015.0,1.8673755648752448
Albania,2010.0,-0.30108707730290313
Albania,2015.0,-0.2888832578429764
Angola,2015.0,-0.23151813574105823
Argentina,2010.0,-0.2947952218893842
Argentina,2015.0,-0.2944946652656055
Armenia,2010.0,-0.1702686625521325
Armenia,2015.0,-0.27676335013080516
Australia,2010.0,-0.2622115274018665
Australia,2015.0,-0.21211011131928956
Austria,2010.0,-0.19638657545805635
Austria,2015.0,-0.16054557948948556
Azerbaijan,2010.0,0.6093981045518452
Azerbaijan,2015.0,0.6570279382459884
Bahamas,2015.0,-0.30115268103296644
Bahrain,2015.0,-0.30069650625880495
Bangladesh,2015.0,0.05422119905213471
Barbados,2010.0,-0.30123659278072196
Barbados,2015.0,-0.30123659278072196
Belarus,2010.0,-0.28843928841394295
Belarus,2015.0,-0.28914262142694785
Belgium,2010.0,-0.24497758008103487
Belgium,2015.0,-0.23139608228977754
Belize,2010.0,-0.3009848575374555
Belize,2015.0,-0.3010153709002757
Bhutan,2010.0,-0.30100011421886563
Bhutan,2015.0,-0.30100011421886563
Bolivia (Plurin. State of),2010.0,-0.30011064969265766
Bolivia (Plurin. State of),2015.0,-0.3000557256395814
Brazil,2010.0,-0.29324819439440164
Brazil,2015.0,-0.2005409698060224
Bulgaria,2010.0,-0.2906469302139822
Bulgaria,2015.0,-0.27232213017232954
Burundi,2010.0,0.005062645880701038
Burundi,2015.0,-0.09113835875058757
Cabo Verde,2010.0,-0.30106266661264697
Cabo Verde,2015.0,-0.30106266661264697
Cambodia,2010.0,-0.3009634981834814
Cameroon,2010.0,-0.13841271176787578
Cameroon,2015.0,0.29655069822921387
Canada,2010.0,0.029192613198890882
Canada,2015.0,-0.06347952102224515
Chile,2010.0,-0.2983469773216519
Chile,2015.0,-0.2973980117379446
China,2010.0,0.1581527641539132
China,2015.0,0.15893543191025053
Colombia,2010.0,5.301692691988819
Colombia,2015.0,9.647001522779956
Costa Rica,2010.0,-0.2708468090799744
Costa Rica,2015.0,-0.289174660457909
Croatia,2010.0,-0.2623640942159673
Croatia,2015.0,-0.274563336671471
Cuba,2010.0,-0.30059276082521635
Cyprus,2010.0,-0.28782749548939857
Cyprus,2015.0,-0.2797231463243616
Czechia,2010.0,-0.2958753949332182
Czechia,2015.0,-0.2935365456730522
Denmark,2010.0,-0.2638241586269124
Denmark,2015.0,-0.25953397981439663
Dominican Republic,2015.0,-0.0950730568862484
Ecuador,2010.0,-0.040141375469238696
Ecuador,2015.0,-0.09814422685409843
El Salvador,2010.0,-0.30115268103296644
El Salvador,2015.0,-0.3011648863780945
Estonia,2010.0,-0.14709681482649595
Estonia,2015.0,-0.16887725320753277
Eswatini,2010.0,-0.3000801363298375
Eswatini,2015.0,-0.2999199411750316
Finland,2010.0,-0.27994894520923086
Finland,2015.0,-0.2762964956796566
France,2010.0,0.08084105677645036
France,2015.0,0.18711147113839482
Georgia,2010.0,0.25140465226863246
Germany,2010.0,0.7219329123007704
Germany,2015.0,0.5742329795697411
Ghana,2015.0,-0.2686940913330114
Greece,2010.0,-0.21362204844702895
Greece,2015.0,-0.24386994501066273
Guatemala,2010.0,-0.30102452490912174
Guatemala,2015.0,-0.3008185597100856
Guyana,2010.0,-0.30122743877187586
Honduras,2015.0,-0.30117404038694057
Hungary,2010.0,-0.29232363950095047
Hungary,2015.0,-0.2573736337267286
Iceland,2010.0,-0.30087958643572593
Iceland,2015.0,-0.3005546191216911
India,2010.0,-0.0057528155709079525
India,2015.0,0.012689460917602343
Indonesia,2010.0,-0.29682283484878447
Indonesia,2015.0,-0.28111760700524335
Ireland,2010.0,-0.2795171811253255
Ireland,2015.0,-0.28523080831340214
Israel,2010.0,-0.25385849432984514
Israel,2015.0,-0.23230995750624162
Italy,2010.0,-0.2076673656926729
Italy,2015.0,-0.08363512283310795
Jamaica,2010.0,-0.3012060794179018
Jamaica,2015.0,-0.3012106564223248
Japan,2015.0,-0.28025255316929154
Kazakhstan,2010.0,-0.28187891540760657
Kazakhstan,2015.0,-0.2892631492100875
Kenya,2015.0,0.6352841159003357
Kyrgyzstan,2010.0,0.16283351401052715
Kyrgyzstan,2015.0,-0.2794531030634031
Latvia,2010.0,0.19769655670071154
Latvia,2015.0,0.10026891488405212
Lebanon,2010.0,-0.28671375774646235
Lithuania,2010.0,-0.2942917514028514
Lithuania,2015.0,-0.29407968353125125
Luxembourg,2010.0,-0.29494626303534405
Luxembourg,2015.0,-0.29802811268018115
Madagascar,2015.0,-0.30120913075418376
Malawi,2010.0,-0.277997615656881
Malaysia,2010.0,0.023530858727608475
Malaysia,2015.0,0.11370242286563163
Maldives,2010.0,-0.30006869381877993
Maldives,2015.0,-0.30006869381877993
Malta,2010.0,-0.28990087849302903
Malta,2015.0,-0.29129076216948774
Mauritius,2010.0,-0.3011976882431262
Mauritius,2015.0,-0.3012083679201133
Mexico,2010.0,-0.2988382424630566
Mexico,2015.0,-0.2978419811669781
Mongolia,2010.0,-0.3008216110463676
Mongolia,2015.0,-0.3011892970683507
Morocco,2015.0,-0.29458620535406604
Mozambique,2010.0,-0.2859936423839064
Namibia,2010.0,-0.2878610601885007
Nepal,2010.0,1.058615831990377
Nepal,2015.0,-0.2451652372623789
Netherlands (Kingdom of the),2010.0,-0.1637616879307314
Netherlands (Kingdom of the),2015.0,-0.1600497373436578
New Zealand,2010.0,-0.2973873320609576
New Zealand,2015.0,-0.2987970494232494
Nicaragua,2010.0,-0.30112216767014627
Nicaragua,2015.0,-0.3006415822057286
Norway,2010.0,-0.21597920572488702
