Country,Year,Total refugees and people in refugee-like situations (number)
Afghanistan,2010.0,-0.27140982931926816
Afghanistan,2015.0,0.7198875614487206
Albania,2010.0,-0.30015239047624953
Albania,2015.0,-0.2997997764828169
Angola,2015.0,-0.23017659554877004
Argentina,2010.0,-0.28568617536106544
Argentina,2015.0,-0.28456956438186215
Armenia,2010.0,-0.28559576151659555
Armenia,2015.0,-0.2295663020985982
Australia,2010.0,-0.20192226915192615
Australia,2015.0,-0.1396406923888352
Austria,2010.0,-0.10777885359764228
Austria,2015.0,-0.02587747258458294
Azerbaijan,2010.0,-0.291947334090606
Azerbaijan,2015.0,-0.2943613837379524
Bahamas,2015.0,-0.3004643182396707
Bahrain,2015.0,-0.299243731339327
Bangladesh,2015.0,0.7527123076835179
Barbados,2010.0,-0.3004914423930116
Barbados,2015.0,-0.3004914423930116
Belarus,2010.0,-0.29783327536559656
Belarus,2015.0,-0.29430713543127046
Belgium,2010.0,-0.21961173782246216
Belgium,2015.0,-0.15983462455118747
Belize,2010.0,-0.2998901903272868
Belize,2015.0,-0.2998901903272868
Bhutan,2010.0,-0.2998901903272868
Bhutan,2015.0,-0.2998901903272868
Bolivia (Plurin. State of),2010.0,-0.2973540819899061
Bolivia (Plurin. State of),2015.0,-0.2970285921498144
Brazil,2010.0,-0.2807993070674673
Brazil,2015.0,-0.26540635004646673
Bulgaria,2010.0,-0.27549653508930766
Bulgaria,2015.0,-0.2505603967845091
Burundi,2010.0,-0.16774583594230377
Burundi,2015.0,-0.05580897579634349
Cabo Verde,2010.0,-0.3004914423930116
Cabo Verde,2015.0,-0.3004914423930116
Cambodia,2010.0,-0.29991279378840424
Cameroon,2010.0,0.17089921851970843
Cameroon,2015.0,1.066077651231746
Canada,2010.0,0.4479001138221425
Canada,2015.0,0.31381186178105663
Chile,2010.0,-0.2931679209909497
Chile,2015.0,-0.29236775846739105
China,2010.0,1.060169106495638
China,2015.0,1.060490075643506
Colombia,2010.0,-0.2995375763338542
Colombia,2015.0,-0.2995059314882897
Costa Rica,2010.0,-0.2123198612659647
Costa Rica,2015.0,-0.2847865576085899
Croatia,2010.0,-0.2962645951640438
Croatia,2015.0,-0.29728627160655363
Cuba,2010.0,-0.29863795858137865
Cyprus,2010.0,-0.28515273367869304
Cyprus,2015.0,-0.2744432138012333
Czechia,2010.0,-0.28942478782989584
Czechia,2015.0,-0.28631455158013125
Denmark,2010.0,-0.2194761170557573
Denmark,2015.0,-0.22009545189037613
Dominican Republic,2015.0,-0.29774286152112667
Ecuador,2010.0,0.24763344832131295
Ecuador,2015.0,0.24892636629723255
El Salvador,2010.0,-0.3003241767807423
El Salvador,2015.0,-0.3002789698585074
Estonia,2010.0,-0.3003196560885188
Estonia,2015.0,-0.29996704209508623
Eswatini,2010.0,-0.2970647576876024
Eswatini,2015.0,-0.2980593099767713
Finland,2010.0,-0.26105744412746457
Finland,2015.0,-0.24716083623244084
France,2010.0,0.6067481971713107
France,2015.0,0.8973608967586882
Georgia,2010.0,-0.2976072407544218
Germany,2010.0,2.386011283878929
Germany,2015.0,0.8310287797633458
Ghana,2015.0,-0.21697165356394107
Greece,2010.0,-0.2939680835145083
Greece,2015.0,-0.2632861453936476
Guatemala,2010.0,-0.29987210755839283
Guatemala,2015.0,-0.2995827832560891
Guyana,2010.0,-0.3004643182396707
Honduras,2015.0,-0.30039198716409476
Hungary,2010.0,-0.27602093538723305
Hungary,2015.0,-0.281545221284344
Iceland,2010.0,-0.300120745630685
Iceland,2015.0,-0.3000258110939916
India,2010.0,0.5350228943533386
India,2015.0,0.6053739067353682
Indonesia,2010.0,-0.29682968169198065
Indonesia,2015.0,-0.2766402702218519
Ireland,2010.0,-0.25932601900586594
Ireland,2015.0,-0.2728067232163281
Israel,2010.0,-0.1853494114605934
Israel,2015.0,-0.12644931248067673
Italy,2010.0,-0.04554248375678629
Italy,2015.0,0.12316070863960099
Jamaica,2010.0,-0.3004010285485417
Jamaica,2015.0,-0.3004281527018827
Japan,2015.0,-0.28956040859660065
Kazakhstan,2010.0,-0.28057779314851605
Kazakhstan,2015.0,-0.29750326483328143
Kenya,2015.0,2.1961557725688086
Kyrgyzstan,2010.0,-0.28938410159988437
Kyrgyzstan,2015.0,-0.2985385033524618
Latvia,2010.0,-0.3001885560140375
Latvia,2015.0,-0.2996144281016536
Lebanon,2010.0,-0.26404562168719475
Lithuania,2010.0,-0.2968658472297686
Lithuania,2015.0,-0.2957266327894479
Luxembourg,2010.0,-0.2857856305899823
Luxembourg,2015.0,-0.29510729795482904
Madagascar,2015.0,-0.30045075616300015
Malawi,2010.0,-0.2745471897223737
Malaysia,2010.0,0.06801278420518521
Malaysia,2015.0,0.1406015392378448
Maldives,2010.0,-0.2970941421870551
Maldives,2015.0,-0.2970941421870551
Malta,2010.0,-0.27275699560186967
Malta,2015.0,-0.27294234398303296
Mauritius,2010.0,-0.3004236320096592
Mauritius,2015.0,-0.3004145906252122
Mexico,2010.0,-0.29418959743345957
Mexico,2015.0,-0.29074030926693284
Mongolia,2010.0,-0.3004417147785532
Mongolia,2015.0,-0.3004462354707767
Morocco,2015.0,-0.2908035989580618
Mozambique,2010.0,-0.28206510089004594
Namibia,2010.0,-0.2677028616960022
Nepal,2010.0,0.10549836412240593
Nepal,2015.0,-0.13645360437127121
Netherlands (Kingdom of the),2010.0,0.03837964668017532
Netherlands (Kingdom of the),2015.0,0.07243402119976333
New Zealand,2010.0,-0.2900667261256321
New Zealand,2015.0,-0.29439754927574036
Nicaragua,2010.0,-0.30020663878293147
Nicaragua,2015.0,-0.2988639931925534
Norway,2010.0,-0.11849289416732549
Norway,2015.0,-0.08782903881535874
Oman,2015.0,-0.29994443863396875
Pakistan,2010.0,8.2916266114261
Pakistan,2015.0,6.665230732255965
Panama,2015.0,-0.22227442554210072
Paraguay,2010.0,-0.30001224901732115
Paraguay,2015.0,-0.2997681316372524
Peru,2010.0,-0.2953152497971098
Peru,2015.0,-0.29413534912677763
Philippines,2015.0,-0.2993477072604674
Poland,2010.0,-0.23017659554877004
Poland,2015.0,-0.22933574679519997
Portugal,2010.0,-0.29876001727141305
Portugal,2015.0,-0.2973359992210121
Qatar,2010.0,-0.30026540778183686
Qatar,2015.0,-0.29989471101951026
Republic of Korea,2010.0,-0.2988775552692239
Republic of Korea,2015.0,-0.29456029419578617
Republic of Moldova,2010.0,-0.29982690063615786
Republic of Moldova,2015.0,-0.29873741381029556
Romania,2010.0,-0.29588033632504673
Romania,2015.0,-0.2895287637510362
Russian Federation,2015.0,1.1249370639816512
Rwanda,2010.0,-0.05005865528805782
Rwanda,2015.0,0.29959428473816474
Saint Lucia,2010.0,-0.3004869217007881
Saint Lucia,2015.0,-0.3004869217007881
Saint Vincent & Grenadines,2010.0,-0.3004756199702294
San Marino,2010.0,-0.3000732783623383
Sao Tome and Principe,2010.0,-0.30047788031634115
Saudi Arabia,2015.0,-0.2995420970260777
Senegal,2010.0,-0.207044213441146
Senegal,2015.0,-0.2358319815203623
Serbia,2010.0,0.032263150101786556
Serbia,2015.0,-0.14087484136584935
Sierra Leone,2015.0,-0.29429809404682344
Singapore,2010.0,-0.3004643182396707
Singapore,2015.0,-0.3004643182396707
Slovakia,2010.0,-0.29841192397020394
Slovakia,2015.0,-0.2968839299986626
Slovenia,2010.0,-0.2990764657270577
Slovenia,2015.0,-0.299216607185986
South Africa,2010.0,-0.03875240403709677
South Africa,2015.0,0.217177544811627
Spain,2010.0,-0.28322691879148415
Spain,2015.0,-0.27428498957341096
Sri Lanka,2010.0,-0.2994878487193957
Sri Lanka,2015.0,-0.29666241607971133
Suriname,2015.0,-0.3004914423930116
Sweden,2010.0,0.07304431464993516
Sweden,2015.0,0.34237811594132167
Switzerland,2010.0,-0.07982741357977255
Switzerland,2015.0,0.013194870303084548
Tajikistan,2010.0,-0.2863416757334722
Thailand,2010.0,0.13654195762114626
Thailand,2015.0,0.1984618790063576
Timor-Leste,2010.0,-0.3004914423930116
Timor-Leste,2015.0,-0.3004914423930116
Tunisia,2010.0,-0.3000936214773441
Türkiye,2010.0,-0.25514437869913303
Türkiye,2015.0,8.012369890704141
Uganda,2010.0,0.31341856155761255
Uganda,2015.0,1.6361550233833626
Ukraine,2010.0,-0.2868344311858332
United Arab Emirates,2015.0,-0.29857918958247326
United Kingdom,2010.0,0.7761068899401047
United Kingdom,2015.0,0.22948286904398044
United Rep. of Tanzania,2010.0,0.193552407251642
United Rep. of Tanzania,2015.0,0.4183573901416025
United States of America,2015.0,0.907532454261552
Uruguay,2015.0,-0.2991894830326451
Uzbekistan,2015.0,-0.2999625214028627
Venezuela (Boliv. Rep. of),2010.0,0.6106359924835164
Viet Nam,2010.0,-0.2917800684783367
Yemen,2010.0,0.5588514630633808
Zambia,2010.0,-0.08414919534543379
Zambia,2015.0,-0.1841469073291437
