Country,Year,Unemployment rate - Female
Afghanistan,2010.0,0.3605709255680604
Afghanistan,2015.0,0.5238531022528713
Albania,2010.0,1.3221215216008355
Albania,2015.0,1.539831090513917
Angola,2015.0,0.106576428502799
Argentina,2010.0,0.106576428502799
Argentina,2015.0,-0.0022783559537415056
Armenia,2010.0,0.2517161411115199
Armenia,2015.0,0.4149983177963308
Australia,2010.0,-0.5828372063886245
Australia,2015.0,-0.4558399578559939
Austria,2010.0,-0.7279769189973453
Austria,2015.0,-0.6009796704647146
Azerbaijan,2010.0,-0.310700245247273
Azerbaijan,2015.0,-0.5102673500842642
Bahamas,2015.0,0.7959900633942227
Bahrain,2015.0,-0.873116631606066
Bangladesh,2015.0,-0.21998792486682253
Barbados,2010.0,0.34242846149197037
Barbados,2015.0,0.07029150035061894
Belarus,2010.0,-0.7098344549212551
Belarus,2015.0,-0.8005467753017056
Belgium,2010.0,-0.020420820029831536
Belgium,2015.0,-0.14741806856246223
Belize,2010.0,0.7234202070898623
Belize,2015.0,0.4512832459485109
Bhutan,2010.0,-0.8186892393777958
Bhutan,2015.0,-0.9638289519865165
Bolivia (Plurin. State of),2010.0,-0.9819714160626065
Bolivia (Plurin. State of),2015.0,-0.873116631606066
Brazil,2010.0,0.43314078187242083
Brazil,2015.0,0.30614353333979033
Bulgaria,2010.0,0.17914628480715944
Bulgaria,2015.0,-0.038563284105921566
Burundi,2010.0,-1.3629631616604987
Burundi,2015.0,-1.3629631616604987
Cabo Verde,2010.0,0.46942571002460093
Cabo Verde,2015.0,0.6689928148615922
Cambodia,2010.0,-1.417390553888769
Cameroon,2010.0,-0.6735495267690749
Cameroon,2015.0,-0.8186892393777958
Canada,2010.0,-0.25627285301900277
Canada,2015.0,-0.41955502970381364
Chile,2010.0,0.23357367703542986
Chile,2015.0,-0.2744153170950929
China,2010.0,-0.8549741675299759
China,2015.0,-0.8368317034538858
Colombia,2010.0,1.0136996323073038
Colombia,2015.0,0.4149983177963308
Costa Rica,2010.0,0.08843396442670896
Costa Rica,2015.0,0.3242859974158803
Croatia,2010.0,0.6689928148615922
Croatia,2015.0,1.503546162361736
Cuba,2010.0,-1.072683736443057
Cyprus,2010.0,-0.4014125656277235
Cyprus,2015.0,1.1225544167638446
Czechia,2010.0,-0.020420820029831536
Czechia,2015.0,-0.4558399578559939
Denmark,2010.0,-0.3288427093233632
Denmark,2015.0,-0.38327010155163344
