Country,Year,Unemployment rate - Male
Afghanistan,2010.0,0.01895184770522439
Afghanistan,2015.0,0.1580861442728476
Albania,2010.0,1.0525209079218525
Albania,2015.0,1.927079343489768
Angola,2015.0,0.4959837216513604
Argentina,2010.0,-0.15993510502457647
Argentina,2015.0,-0.15993510502457647
Armenia,2010.0,0.6947470024622504
Armenia,2015.0,1.1916552044894753
Australia,2010.0,-0.47795635432200057
Australia,2015.0,-0.29906940159219947
Austria,2010.0,-0.4978326824030895
Austria,2015.0,-0.27919307351111056
Azerbaijan,2010.0,-0.6170906508896233
Azerbaijan,2015.0,-0.6767196351328905
Bahamas,2015.0,0.7146233305433393
Bahrain,2015.0,-1.3922674460520943
Bangladesh,2015.0,-0.8754829159437805
Barbados,2010.0,0.6748706743811614
Barbados,2015.0,0.6152416901378943
Belarus,2010.0,0.05870450386740242
Belarus,2015.0,-0.02080080845695346
Belgium,2010.0,0.11833348811066938
Belgium,2015.0,0.31709676892155936
Belize,2010.0,-0.3388220577543775
Belize,2015.0,-0.3984510419976445
Bhutan,2010.0,-0.9351119001870475
Bhutan,2015.0,-1.1139988529168483
Bolivia (Plurin. State of),2010.0,-1.0543698686735814
Bolivia (Plurin. State of),2015.0,-0.9748645563492254
Brazil,2010.0,-0.31894572967328844
Brazil,2015.0,-0.06055346461913149
Bulgaria,2010.0,0.6748706743811614
Bulgaria,2015.0,0.4562310654891825
Burundi,2010.0,-1.0742461967546704
Burundi,2015.0,-1.1139988529168483
Cabo Verde,2010.0,0.5556127058946275
Cabo Verde,2015.0,0.7742523147866064
Cambodia,2010.0,-1.3326384618088274
Cameroon,2010.0,-0.8158539317005133
Cameroon,2015.0,-0.8754829159437805
Canada,2010.0,0.25746778467829257
Canada,2015.0,-0.0009244803758645356
Chile,2010.0,-0.02080080845695346
Chile,2015.0,-0.29906940159219947
China,2010.0,-0.4978326824030895
China,2015.0,-0.47795635432200057
Colombia,2010.0,0.2375914565972033
Colombia,2015.0,-0.21956408926784343
Costa Rica,2010.0,-0.29906940159219947
Costa Rica,2015.0,-0.08042979270022059
Croatia,2010.0,0.6947470024622504
Croatia,2015.0,1.6090580941923442
