Country,Year,Unemployment rate - Total
Afghanistan,2010.0,0.04801518929436633
Afghanistan,2015.0,0.22668709561090286
Albania,2010.0,1.2391612314046094
Albania,2015.0,1.8545866864949014
Angola,2015.0,0.3458016998219271
Argentina,2010.0,-0.031394546846316436
Argentina,2015.0,-0.0710994149166579
Armenia,2010.0,0.5244736061384636
Armenia,2015.0,0.8619649847363656
Australia,2010.0,-0.5277053977255843
Australia,2015.0,-0.349033491409048
Austria,2010.0,-0.6071151338662673
Austria,2015.0,-0.4284432275497308
Azerbaijan,2010.0,-0.4482956615849016
Azerbaijan,2015.0,-0.5674102657959258
Bahamas,2015.0,0.8222601166660244
Bahrain,2015.0,-1.321802759132413
Bangladesh,2015.0,-0.6865248700069501
Barbados,2010.0,0.564178474208805
Barbados,2015.0,0.3855065678922687
Belarus,2010.0,-0.30932862333870653
Belarus,2015.0,-0.4085907935145601
Belgium,2010.0,0.08772005736470798
Belgium,2015.0,0.12742492543504927
Belize,2010.0,0.06786762332953698
Belize,2015.0,-0.051246980881487256
Bhutan,2010.0,-0.904901644393828
Bhutan,2015.0,-1.0637211166751939
Bolivia (Plurin. State of),2010.0,-1.0438686826400232
Bolivia (Plurin. State of),2015.0,-0.9446065124641695
Brazil,2010.0,0.028162755259195683
Brazil,2015.0,0.14727735947021992
Bulgaria,2010.0,0.4847687380681223
Bulgaria,2015.0,0.2465395296460735
Burundi,2010.0,-1.2423930229917304
Burundi,2015.0,-1.2622454570269008
Cabo Verde,2010.0,0.564178474208805
Cabo Verde,2015.0,0.782555248595683
Cambodia,2010.0,-1.401212495273096
Cameroon,2010.0,-0.7460821721124623
Cameroon,2015.0,-0.8651967763234866
Canada,2010.0,0.04801518929436633
Canada,2015.0,-0.19021401912768213
Chile,2010.0,0.10757249139987862
Chile,2015.0,-0.2696237552683651
China,2010.0,-0.6666724359717794
China,2015.0,-0.6269675679014379
Colombia,2010.0,0.6237357763143172
Colombia,2015.0,0.08772005736470798
Costa Rica,2010.0,-0.13065671702217002
Costa Rica,2015.0,0.10757249139987862
Croatia,2010.0,0.7428503805253415
Croatia,2015.0,1.6560623461431943
Cuba,2010.0,-1.0637211166751939
Cyprus,2010.0,-0.30932862333870653
Cyprus,2015.0,1.3979807036859753
Czechia,2010.0,-0.11080428298699938
Czechia,2015.0,-0.5475578317607552
Denmark,2010.0,-0.011542112811145786
Denmark,2015.0,-0.30932862333870653
Dominican Republic,2015.0,-0.051246980881487256
Ecuador,2010.0,-0.7460821721124623
Ecuador,2015.0,-0.8453443422883159
El Salvador,2010.0,-0.5872626998310965
El Salvador,2015.0,-0.765934606147633
Estonia,2010.0,1.7553245163190478
Estonia,2015.0,-0.28947618930353575
Eswatini,2010.0,3.6810106177306077
Eswatini,2015.0,3.0655851626403154
Finland,2010.0,0.10757249139987862
Finland,2015.0,0.3060968317515858
France,2010.0,0.20683466157573221
France,2015.0,0.5046211721032929
Georgia,2010.0,2.450159707550023
Germany,2010.0,-0.17036158509251148
Germany,2015.0,-0.6468200019366088
Ghana,2015.0,-0.21006645316285297
Greece,2010.0,0.9612271549122192
Greece,2015.0,3.383224107203047
Guatemala,2010.0,-0.8651967763234866
Guatemala,2015.0,-1.0637211166751939
Guyana,2010.0,0.782555248595683
Honduras,2015.0,-0.3291810573738772
Hungary,2010.0,0.6634406443846584
Hungary,2015.0,-0.21006645316285297
Iceland,2010.0,-0.051246980881487256
Iceland,2015.0,-0.765934606147633
India,2010.0,0.08772005736470798
India,2015.0,0.008310321224025037
Indonesia,2010.0,-0.4482956615849016
Indonesia,2015.0,-0.6666724359717794
Ireland,2010.0,1.3185709675452923
Ireland,2015.0,0.4053590019274394
Israel,2010.0,0.12742492543504927
Israel,2015.0,-0.5078529636904138
Italy,2010.0,0.10757249139987862
Italy,2015.0,0.8024076826308537
Jamaica,2010.0,-0.051246980881487256
Jamaica,2015.0,0.18698222754056157
Japan,2015.0,-0.8850492103586572
Kazakhstan,2010.0,-0.4085907935145601
Kazakhstan,2015.0,-0.5872626998310965
Kenya,2015.0,-1.0041638145696816
Kyrgyzstan,2010.0,-1.0041638145696816
Kyrgyzstan,2015.0,-0.8850492103586572
Latvia,2010.0,2.311192669303828
Latvia,2015.0,0.4053590019274394
Lebanon,2010.0,-0.21006645316285297
Lithuania,2010.0,1.9737012907059261
Lithuania,2015.0,0.2465395296460735
Luxembourg,2010.0,-0.6865248700069501
Luxembourg,2015.0,-0.2299188871980236
Madagascar,2015.0,-1.2026881549213888
Malawi,2010.0,-0.5872626998310965
Malaysia,2010.0,-0.8850492103586572
Malaysia,2015.0,-0.9446065124641695
Maldives,2010.0,0.6237357763143172
Maldives,2015.0,-0.24977132123319443
Malta,2010.0,-0.19021401912768213
Malta,2015.0,-0.4880005296552429
Mauritius,2010.0,-0.031394546846316436
Mauritius,2015.0,-0.09095184895182855
Mexico,2010.0,-0.5078529636904138
Mexico,2015.0,-0.7063773040421208
Mongolia,2010.0,-0.24977132123319443
Mongolia,2015.0,-0.5872626998310965
Morocco,2015.0,0.3259492657867564
Mozambique,2010.0,-0.9247540784289987
Namibia,2010.0,2.827355954218267
Nepal,2010.0,0.5244736061384636
Nepal,2015.0,0.5244736061384636
Netherlands (Kingdom of the),2010.0,-0.5674102657959258
Netherlands (Kingdom of the),2015.0,-0.19021401912768213
New Zealand,2010.0,-0.24977132123319443
New Zealand,2015.0,-0.4880005296552429
Nicaragua,2010.0,-0.011542112811145786
Nicaragua,2015.0,-0.6269675679014379
Norway,2010.0,-0.8651967763234866
Norway,2015.0,-0.7063773040421208
Oman,2015.0,-0.8850492103586572
Pakistan,2010.0,-1.4210649293082667
Pakistan,2015.0,-0.8453443422883159
Panama,2015.0,-0.6865248700069501
Paraguay,2010.0,-0.6468200019366088
Paraguay,2015.0,-0.6468200019366088
Peru,2010.0,-0.8453443422883159
Peru,2015.0,-0.904901644393828
Philippines,2015.0,-0.9446065124641695
Poland,2010.0,0.3458016998219271
Poland,2015.0,-0.0710994149166579
Portugal,2010.0,0.5840309082439759
Portugal,2015.0,0.921522286841878
Qatar,2010.0,-1.460769797378608
Qatar,2015.0,-1.5203270994841203
Republic of Korea,2010.0,-0.904901644393828
Republic of Korea,2015.0,-0.8453443422883159
Republic of Moldova,2010.0,-0.0710994149166579
Republic of Moldova,2015.0,-0.6269675679014379
Romania,2010.0,-0.17036158509251148
Romania,2015.0,-0.21006645316285297
Russian Federation,2015.0,-0.4482956615849016
Rwanda,2010.0,0.8024076826308537
Rwanda,2015.0,0.782555248595683
Saint Lucia,2010.0,1.8347342524597312
Saint Lucia,2015.0,2.5295694436907064
Saint Vincent & Grenadines,2010.0,2.2119304991279747
San Marino,2010.0,-0.6865248700069501
Sao Tome and Principe,2010.0,1.338423401580463
Saudi Arabia,2015.0,-0.4482956615849016
Senegal,2010.0,0.4649163040329513
Senegal,2015.0,-0.21006645316285297
Serbia,2010.0,2.251635367198316
Serbia,2015.0,1.953848856670755
Sierra Leone,2015.0,-0.6865248700069501
Singapore,2010.0,-0.7460821721124623
Singapore,2015.0,-0.8056394742179744
Slovakia,2010.0,1.2987185335101217
Slovakia,2015.0,0.7229979464901708
Slovenia,2010.0,-0.13065671702217002
Slovenia,2015.0,0.22668709561090286
South Africa,2010.0,3.0457327286051448
South Africa,2015.0,2.9861754264996323
Spain,2010.0,2.3906024054445107
Spain,2015.0,2.827355954218267
Sri Lanka,2010.0,-0.6071151338662673
Sri Lanka,2015.0,-0.6666724359717794
Suriname,2015.0,-0.13065671702217002
Sweden,2010.0,0.14727735947021992
Sweden,2015.0,-0.09095184895182855
Switzerland,2010.0,-0.6071151338662673
Switzerland,2015.0,-0.6071151338662673
Tajikistan,2010.0,0.6038833422791465
Thailand,2010.0,-1.4409173633434376
Thailand,2015.0,-1.4409173633434376
Timor-Leste,2010.0,-0.904901644393828
Timor-Leste,2015.0,-0.6666724359717794
Tunisia,2010.0,1.0406368910529022
Türkiye,2010.0,0.564178474208805
Türkiye,2015.0,0.4649163040329513
