Country,Year,Current health expenditure (% of GDP),Domestic general government health expenditure (% of total government expenditure),Employment by industry: Agriculture (%) Female,Employment by industry: Agriculture (%) Male,Employment by industry: Agriculture (%) Male and Female,Employment by industry: Industry (%) Female,Employment by industry: Industry (%) Male,Employment by industry: Industry (%) Male and Female,Employment by industry: Services (%) Female,Employment by industry: Services (%) Male,Employment by industry: Services (%) Male and Female,GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),All staff compensation as % of total expenditure in public institutions (%),Capital expenditure as % of total expenditure in public institutions (%),Current expenditure other than staff compensation as % of total expenditure in public institutions (%),Public expenditure on education (% of GDP),"Infant mortality for both sexes (per 1,000 live births)",Life expectancy at birth for both sexes (years),Life expectancy at birth for females (years),Life expectancy at birth for males (years),"Maternal mortality ratio (deaths per 100,000 population)",Population annual rate of increase (percent),Total fertility rate (children per women),Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)","Asylum seekers, including pending cases (number)",International migrant stock: Both sexes (% total population),International migrant stock: Both sexes (number),International migrant stock: Female (% total Population),International migrant stock: Male (% total Population),Other of concern to UNHCR (number),Total population of concern to UNHCR (number),Total refugees and people in refugee-like situations (number),Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000"
Afghanistan,2010.0,0.6661991409757343,-1.8333177919005519,2.267129722624432,1.5028978741021057,1.5928444668291937,0.9894598846312384,-1.183712819535139,-0.6472472925889523,-2.547252255127146,-1.0925493520536855,-1.5782384087870258,-0.30200116729315474,-0.30908803322527095,-0.8003229512037624,0.3795872032225043,0.3962654919330685,2.0668478305127307,-1.0656398305892778,-0.7536671409052873,2.77482036556963,-1.7935585209732834,-1.9333599095774436,-1.6363430256610005,5.1860923299158195,1.2851004870581348,3.206363319461652,-2.3718636969999993,-0.4662507836610493,-2.270179599906789,1.1731035092467441,-1.9926913053846391,-1.2757137407379016,-0.10895434526014086,0.03702898711020115,-0.1924308138825757,0.4476838107520078,-0.22049252466996408,-0.6847345387420635,-0.36286965375124364,-0.7402758823868612,-0.659334642494839,1.9130447328246316,1.529543817075459,-0.27140982931926816,-2.8787629621581976,0.875445984206921,-1.682410337660192,0.3605709255680604,0.01895184770522439,0.04801518929436633,-0.2430194525859447,-0.2909911001765525
Albania,2010.0,-0.26262754571294183,-0.6270985725157641,1.3344533546457118,0.6712194979965007,1.022992482657158,-0.1406005413752223,0.12704243207958027,0.03947364773238028,-1.291333720987584,-0.8937265366465676,-1.2058126379330143,-0.3046532183874419,-0.3108077661505518,-0.6312559814120521,0.011968965867376346,0.9353914040862131,-0.19560464643366965,-0.8206365044032353,-0.8162181678478223,-0.29656630224602365,0.5759406455695318,0.5713501873051553,0.6247784368389063,-0.5667121183705113,-1.2843535527442387,-0.5804278168813224,0.007528223382824474,-0.16509106438807478,-1.0217380848775846,-1.2396860747678964,-0.24499377522292742,-0.14144677286501092,-0.26947442887659884,-0.27611896861998325,-0.25439484166925846,-0.49996952724576094,-0.2206044564539067,-0.5701553213964102,-0.3756522980116401,-0.6013044800527539,-0.5510819138683477,-0.19952500849065155,-0.30108707730290313,-0.30015239047624953,-0.3850915627138367,-0.9449553369800914,-0.7332437903230917,1.3221215216008355,1.0525209079218525,1.2391612314046094,-0.557795083857478,-0.24372313830187484
Argentina,2010.0,0.9758080365386267,1.1614333734685762,-0.6444425913265304,-0.4483475467610451,-0.564800225377746,-0.34463922940416636,0.32869708617415244,-0.8545592745727509,0.7852840532827812,0.5127607871593387,0.6740507768539011,0.05655626332103242,-0.05361711625718151,-0.33395741684409364,1.5804734452492555,1.4213640572946824,-1.0606600052661166,-1.019701706929395,0.18459826323273684,-0.22689401488536612,0.26929957695810847,0.31129831932280827,0.20605224007966438,-0.2693761581220043,-0.07992197158687614,-0.06404720738000784,1.7327085159618165,1.5678981973932562,1.096829334565914,1.0876109649312655,-0.27926235424570617,-0.6258732903940578,0.04571476858899771,0.016458128126738306,-0.053811756416123444,1.4214193507130177,-0.20582946097348118,-0.3573653463259112,0.07715192864988155,-0.341891195695754,-0.36550580765150537,-0.20797827976432814,-0.2947952218893842,-0.28568617536106544,-0.30516619734703027,0.2235455110791397,-0.1614567136139954,0.106576428502799,-0.15993510502457647,-0.031394546846316436,1.0819755753893112,-0.10979724632362145
Armenia,2010.0,0.8984058126479032,-0.9806455850940637,1.0992567053293385,0.5379377069539355,0.8525239403834719,-0.8939741587128626,-0.6392452534797938,-0.3881073151092042,-0.8519694813215986,-0.6286294494370774,-0.8097407863898589,-0.30582039073536704,-0.31208081519913633,-0.6663658866976522,-0.3556492714877516,1.6187904476606225,-0.12906192652348128,-0.8895436898930599,-0.941320221732892,-0.04110124859027924,-0.07915618282759948,0.1196811534410806,-0.33829181570735095,-0.41158031302346415,-1.3646489914880628,-0.752554686715094,0.5599735979727268,0.5957334895647047,-0.3691436565668637,-0.8122233531904993,0.28902491454870677,0.467040194275134,-0.27023759884624915,-0.2837401001108445,-0.26079488209792995,-1.125942374363553,-0.2206044564539067,-0.12002268182420085,-0.33475078073593567,-0.008359830093896844,-0.1953943769527333,-0.06579375822301863,-0.1702686625521325,-0.28559576151659555,0.31025911597737893,-0.32995489063312766,-0.02422781520381277,0.2517161411115199,0.6947470024622504,0.5244736061384636,-0.5609706261653875,-0.4170389985090262
Australia,2010.0,0.5887969170850116,1.0366520749115296,-0.7255448841942452,-1.1414128601823827,-0.8716436014703808,-0.45450621526590573,-0.7400725805270799,-0.28445132411730484,0.8971975860278902,1.0797740014685262,1.0701226283970566,0.3546317183316475,0.4889859190169419,1.970993669776055,-0.30663350650706794,-0.15045374292645922,-0.28432827298058716,0.2971911713205839,0.49735339794541156,-0.7494361700902978,1.1613463220095197,1.0503931020094774,1.2249526521938194,-0.5925674192616858,0.3215552221322447,-0.32223751213066504,1.0251907555221178,1.8320733897379713,0.08483507617102844,-0.05228962594179332,3.2875255790418394,4.546265930297172,-0.11773079991111994,-0.16520981928143358,-0.08566650309519275,0.4476838107520078,-0.16084887408339785,1.459533671583734,1.1301531136990677,1.7056207986934246,1.3510731748542857,-0.21275528641329583,-0.2622115274018665,-0.20192226915192615,0.5660202851511598,0.10054542180974696,0.4332018461634651,-0.5828372063886245,-0.47795635432200057,-0.5277053977255843,0.6556590205524554,-0.48794094132104276
Austria,2010.0,1.2854169321015183,0.5999175299618648,-0.8107022917053459,-0.8641867348138476,-0.7742330058854174,0.0006570118755853255,0.8227509887058545,0.5836676004398512,0.6650806292232189,0.5790350589617111,0.7213429382321891,-0.0888471605859406,-0.07507903574389334,1.39239000153843,-0.4536808014491191,0.2292123923926571,-0.9053936588090107,0.12875138456767943,0.6224554518304816,-0.7552421940370192,0.9383346357466674,0.899836757388118,0.9318443144623508,-0.5861035940388922,-0.6419900427936454,-0.8386181216319798,0.3128269830246123,0.30514077798551825,-0.5204699008128286,-0.5557457202440608,0.13481630894620264,0.405009969469585,-0.25090395961510686,-0.2697370455016198,-0.21919461931156545,0.4998482146784903,0.1887780481887928,0.5265314731976998,-0.06000761087871092,0.6679676612654247,0.45412199480621473,-0.2119448695507752,-0.19638657545805635,-0.10777885359764228,0.21434867753721157,-0.5390550423910957,-0.13858523054563204,-0.7279769189973453,-0.4978326824030895,-0.6071151338662673,-0.4109262521166617,-0.5115749222583815
Azerbaijan,2010.0,-1.694568687691318,-1.646145844064981,0.9857134953145379,0.569925336804151,0.8330418212664792,-0.8468883076292602,-0.5585833918419653,-0.8675162734467383,-0.7483458398909416,-0.25307524255696673,-0.567368459326137,-0.2820807307780408,-0.28538462922952607,-0.5539857990247409,0.3305714382418205,-0.18082703375198894,-1.4377354180905166,0.7182906382028446,-1.191524329503032,0.8878625828851546,-0.5948707073104477,-0.5099181058846011,-0.6593152332227694,-0.41158031302346415,0.1609643446445964,-0.23617407721377917,-0.23477237950748345,-0.17565807208186277,-1.0784854264698207,-1.1446943588618081,-0.970345364538409,-0.8710403693874172,-0.21210948615788047,-0.26019514103338703,-0.2724313192409689,-0.9346728932997831,-0.22070039798300037,-0.4637603338611607,-0.3177680362378732,-0.4715978378742539,-0.4660261985189616,0.846938678474817,0.6093981045518452,-0.291947334090606,0.6539381870546469,-1.1417554798111191,-0.0814065228747224,-0.310700245247273,-0.6170906508896233,-0.4482956615849016,-0.5744666809740031,-0.3934050175716874
Barbados,2010.0,-0.030420874040772882,-0.08637961210189384,-0.745820457411174,-0.9441558094393867,-0.8862551908081253,-1.3020515347707509,0.2883661553552382,-0.14192433650344366,0.9096324229995695,1.227050161029354,1.194264552015061,-0.30814001544364505,-0.31539682258933327,-0.04470290065693303,-1.4585039835531355,1.2315309896351243,-0.6170418725315283,-0.9814199372128257,0.872659559600621,-0.20366991909848026,0.26929957695810847,0.16074197470145069,0.35958517889138564,-0.2823038085675916,-0.6419900427936454,-0.5804278168813224,0.0899104283655293,0.28929026644483546,-0.39751732736298173,-0.7077324656938028,0.6231435600207988,0.467040194275134,-0.2954222078447109,-0.28863497318221065,-0.2737404184195608,-1.0563898357949093,-0.2080521063974846,0.23189920002316278,-0.38080724824184403,0.3714953362859962,0.15256082220384598,-0.21277487890887326,-0.30123659278072196,-0.3004914423930116,0.9096993562284272,0.17434547537138365,0.6847881599154662,0.34242846149197037,0.6748706743811614,0.564178474208805,1.6011767427325212,0.32349240419425723
Belarus,2010.0,-0.4561331054397494,-0.5023172739587172,-0.7985369477751886,-0.4003661019857217,-0.41868433200030086,1.9468721899978225,1.4075494855801136,1.5424855171149194,-0.09758937170641628,-0.35616855424954613,-0.1417390069215526,-0.27840318721621243,-0.282700803603709,-0.5466988375503711,1.0167921479713926,-0.3478801332923998,0.425460739394754,0.25125304766070083,0.3097003171178068,-0.7320180982501334,-0.3718590210475954,0.06493339176058588,-0.7709755523585669,-0.6054950697072731,-1.1237626752565903,-0.752554686715094,0.14806257305920334,0.15191916642558323,-0.02865960701344494,-0.16627968502909948,1.0115207889456235,1.3709091842988441,-0.2372940951563422,-0.26787823294287316,-0.23214015563319634,0.8389168402006278,-0.21991687549540206,0.23189920002316278,-0.10766565393336894,0.3159067753523532,0.19122251099902146,-0.19900669792583067,-0.28843928841394295,-0.29783327536559656,0.4381397005642693,-0.31765488170618733,0.0901296001380065,-0.7098344549212551,0.05870450386740242,-0.30932862333870653,-0.5347724021251338,-0.24372313830187484
Belgium,2010.0,1.2854169321015183,0.6831050623332295,-0.7823164892016456,-1.061443785556844,-0.9593131374968479,-0.21907695984789316,0.802585523296397,0.38931261733004013,0.8930526403706641,1.0134997296661532,1.040565027535627,-0.0453299706595154,-0.01982734216792444,1.2670921185245905,-0.18409409405535862,1.2998708939925645,-1.1493836318130344,-0.8665746280631184,1.0603126404282264,-0.7784662898239051,0.8686434837895258,0.8314020552875004,0.889971694786427,-0.5861035940388922,-0.3208082878183487,-0.4083009470475509,2.139773528817534,2.032846535919954,-0.2651068636477639,-0.4037589747943201,2.656412582038999,1.9705346907524814,-0.2537022495038248,-0.244705036377165,-0.14923054098904337,1.3779490141076154,0.07145754836208057,0.4037680260416427,-0.0008867189279703945,0.5289962589313175,0.35360160393875845,-0.21154233282345727,-0.24497758008103487,-0.21961173782246216,-0.30516619734703027,-1.3139556047882697,-0.8590369471990931,-0.020420820029831536,0.11833348811066938,0.08772005736470798,2.2553384581618863,-0.5076359254354917
