Region/Country/Area,Country,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),31269041.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),47775404.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),66578017.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),75283835.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2019,GDP in current prices (millions of US dollars),87728744.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2020,GDP in current prices (millions of US dollars),85311030.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2021,GDP in current prices (millions of US dollars),96698005.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),5446.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),7287.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),9533.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),10140.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2019,GDP per capita (US dollars),11301.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2020,GDP per capita (US dollars),10883.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2021,GDP per capita (US dollars),12229.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",1995,GDP in constant 2015 prices (millions of US dollars),40355817.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2005,GDP in constant 2015 prices (millions of US dollars),56455926.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2010,GDP in constant 2015 prices (millions of US dollars),64907975.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2015,GDP in constant 2015 prices (millions of US dollars),75283835.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
