,Natural Language Query,Generated SQL Query,Result
0,On which day and in which zip code was the min dew point lower than any day in zip code 94107?,"SELECT date, zip_code
FROM weather
WHERE min_dew_point_f < (SELECT MIN(min_dew_point_f) FROM weather WHERE zip_code = 94107)","      date  zip_code
12/20/2013     94301
12/20/2013     95113
12/31/2014     95113"
1,"Which days had a minimum dew point smaller than any day in zip code 94107, and in which zip codes were those measurements taken?","SELECT date, zip_code
FROM weather
WHERE min_dew_point_f < (SELECT MIN(min_dew_point_f) FROM weather WHERE zip_code = 94107)","      date  zip_code
12/20/2013     94301
12/20/2013     95113
12/31/2014     95113"
2,"For each trip, return its ending station's installation date.","SELECT trip.id, station.installation_date
FROM trip
JOIN station
ON trip.end_station_id = station.id;","    id installation_date
900504         8/23/2013
900505         8/23/2013
900506         8/20/2013
900507         8/22/2013
900508         8/23/2013
900509         8/22/2013
900511         8/20/2013
900514         8/23/2013
900515         8/23/2013
900518         8/23/2013
900519         8/25/2013
900520         8/22/2013
900521         8/20/2013
900522         8/23/2013
900523         8/14/2013
900524         8/23/2013
900527         8/23/2013
900528         8/20/2013
900529         8/21/2013
900530         8/25/2013
900531         8/21/2013
900534         8/23/2013
900536         8/23/2013
900537         8/25/2013
900538         8/20/2013
900539         8/20/2013
900540         8/22/2013
900541         8/23/2013
900542         8/25/2013
900543         8/23/2013
900544         8/20/2013
900545         8/23/2013
900546         8/23/2013
900547         8/23/2013
900548         8/23/2013
900549         8/25/2013
900550         8/22/2013
900551         8/23/2013
900552         8/25/2013
900553         8/23/2013
900554         8/25/2013
900555         8/20/2013
900556         8/23/2013
900557         8/15/2013
900558         8/23/2013
900560         8/19/2013
900561         8/15/2013
900562         8/23/2013
900563         8/23/2013
900564         8/25/2013
900565         8/23/2013
900566         8/20/2013
900567         8/19/2013
900568         8/23/2013
900569         8/15/2013
900570          8/6/2013
900571         8/20/2013
900572         8/25/2013
900573         8/22/2013
900574         8/22/2013
900576         8/23/2013
900577         8/21/2013
900578         8/23/2013
900579         8/23/2013
900580         8/22/2013
900581         8/25/2013
900583         8/20/2013
900584         8/25/2013
900585         8/25/2013
900586         8/20/2013
900587         8/22/2013
900588         8/23/2013
900589         8/20/2013
900590         8/25/2013
900591         8/22/2013
900592         8/21/2013
900594          8/6/2013
900598         8/23/2013
900601         8/23/2013
900604         8/25/2013
900607         8/20/2013
900610         8/23/2013
900613         8/20/2013
900616         8/23/2013
900617         8/22/2013
900618         8/21/2013
900619         8/23/2013
900620         8/23/2013
900621         8/19/2013
900622         8/23/2013
900623         8/23/2013
900624         8/25/2013
900625         8/19/2013
900626         8/23/2013
900629         8/22/2013
900630         8/16/2013
900631         8/15/2013
900632         8/20/2013
900635         8/25/2013
900636         8/23/2013
900639         8/22/2013
900640         8/20/2013
900641         8/23/2013
900644         8/23/2013
900645         8/23/2013
900646         8/23/2013
900647         8/21/2013
900648          8/7/2013
900649         8/23/2013
900650         1/22/2014
900651         8/23/2013
900656          4/9/2014
900660         8/22/2013
900661         8/25/2013
900662         8/23/2013
900663         8/22/2013
900664         8/23/2013
900665         8/20/2013
900666          8/7/2013
900667         8/21/2013
900668         8/19/2013
900669         8/19/2013
900670         8/19/2013
900671         8/19/2013
900672         8/22/2013
900673         8/22/2013
900674         8/23/2013
900675         8/19/2013
900676          8/7/2013
900677         8/23/2013
900678         8/23/2013
900679         8/22/2013
900680         8/20/2013
900683         8/25/2013
900684          4/9/2014
900685         8/22/2013
900688         8/25/2013
900689         8/23/2013
900692         8/22/2013
900693         8/25/2013
900694          8/6/2013
900699         8/20/2013
900700         8/23/2013
900701         8/23/2013
900704         8/23/2013
900705         8/23/2013
900706         8/20/2013
900707         8/14/2013
900709         8/25/2013
900711         8/23/2013
900712         8/22/2013
900713         8/20/2013
900714         8/25/2013
900715         8/22/2013
900716         8/20/2013
900717         8/23/2013
